,target_name,query
73,CP2CI,cp2ci_human
74,CP2F1,cp2f1_human
75,CP343,cp343_human
76,CYP4Z1,cp4z1_human
77,CP4FB,cp4fb_human
78,CP4FC,cp4fc_human
79,CP4FN,cp4fn_human
80,"Cholesterol 7-alpha-monooxygenase, Cholesterol 7-alpha-hydroxylase",cp7a1_human
81,"Cholesterol side-chain cleavage enzyme, Cholesterol desmolase",cp11a_human
82,CYP20A1,cp20a_human
83,CYP26C1,cp26c_human
84,"Calcidiol 1-monooxygenase, 25-OHD-1 alpha-hydroxylase, 25-hydroxyvitamin D(3) 1-alpha-hydroxylase, VD3 1A hydroxylase, P450C1 alpha, 50VD1-alpha",cp27b_human
85,Cholesterol 24-hydroxylase,cp46a_human
86,Chromaffin granule amine transporter,VMAT1_HUMAN
87,Canalicular multispecific organic anion transporter 2,MRP3_HUMAN
88,Canalicular multispecific organic anion transporter 1,MRP2_HUMAN
89,Choline transporter-like protein 2,CTL2_HUMAN
90,Copper-transporting ATPase 2,ATP7B_HUMAN
91,Copper-transporting ATPase 1,ATP7A_HUMAN
92,Equilibrative nucleoside transporter 1,S29A1_HUMAN
93,Electrogenic sodium bicarbonate cotransporter 1,S4A4_HUMAN
94,Electroneutral sodium bicarbonate exchanger 1,S4A8_HUMAN
95,HLp2,cp3a5_human
96,High affinity copper uptake protein 1,COPT1_HUMAN
97,Ileal sodium/bile acid cotransporter,NTCP2_HUMAN
98,Methyltransferase,tpmt_human
99,Multidrug resistance protein 1,MDR1_HUMAN
100,Multidrug resistance-associated protein 1,MRP1_HUMAN
101,Monocarboxylate transporter 1,MOT1_HUMAN
102,Multidrug resistance-associated protein 4,MRP4_HUMAN
103,Multidrug resistance-associated protein 5,MRP5_HUMAN
104,Monocarboxylate transporter 2,MOT2_HUMAN
105,Multidrug resistance-associated protein 7,MRP7_HUMAN
106,Multidrug resistance protein 3,MDR3_HUMAN
107,Multidrug and toxin extrusion protein 1,S47A1_HUMAN
108,Monocarboxylate transporter 4,MOT4_HUMAN
109,Monocarboxylate transporter 10,MOT10_HUMAN
110,N-acetyltransferase,nat10_human
111,Neutral amino acid transporter B(0),AAAT_HUMAN
112,P450-HFLA,cp3a7_human
113,P450-HP,cp4b1_human
114,"Prostacyclin synthase, Prostaglandin I2 synthase, PTGIS",ptgis_human
115,Proton-coupled folate transporter,PCFT_HUMAN
116,Proton-coupled amino acid transporter 1,S36A1_HUMAN
117,Probable low affinity copper uptake protein 2,COPT2_HUMAN
118,S-mephenytoin 4-hydroxylase,cp2c8_human
119,Steroid 11-beta-hydroxylase,c11b1_human
120,"Steroid 17-alpha-monooxygenase, Steroid 17-alpha-hydroxylase/17,20 lyase",cp17a_human
121,"Steroid 21-hydroxylase, 21-OHase",cp21a_human
122,"Sterol 26-hydroxylase, Sterol 27-hydroxylase, Vitamin D(3) 25-hydroxylase, 5-beta-cholestane-3-alpha, 7-alpha,12-alpha-triol 27-hydroxylase",cp27a_human
123,"Sterol 14-alpha demethylase, Lanosterol 14-alpha demethylase",cp51a_human
124,Sulfotransferase,st1a1_human
125,Solute carrier family 22 member 1,S22A1_HUMAN
126,Solute carrier family 15 member 1,S15A1_HUMAN
127,Solute carrier organic anion transporter family member 2B1,SO2B1_HUMAN
128,Solute carrier organic anion transporter family member 1B1,SO1B1_HUMAN
129,Solute carrier organic anion transporter family member 1A2,SO1A2_HUMAN
130,Sodium/bile acid cotransporter,NTCP_HUMAN
131,Solute carrier family 22 member 6,S22A6_HUMAN
132,Solute carrier family 22 member 8,S22A8_HUMAN
133,Solute carrier organic anion transporter family member 1B3,SO1B3_HUMAN
134,Solute carrier family 12 member 1,S12A1_HUMAN
135,Solute carrier family 12 member 2,S12A2_HUMAN
136,Solute carrier family 22 member 3,S22A3_HUMAN
137,Solute carrier family 12 member 5,S12A5_HUMAN
138,Solute carrier family 22 member 11,S22AB_HUMAN
139,Sodium-coupled neutral amino acid transporter 3,S38A3_HUMAN
140,Solute carrier family 22 member 2,S22A2_HUMAN
141,Solute carrier organic anion transporter family member 2A1,SO2A1_HUMAN
142,Solute carrier family 22 member 5,S22A5_HUMAN
143,Solute carrier organic anion transporter family member 3A1,SO3A1_HUMAN
144,Solute carrier family 22 member 7,S22A7_HUMAN
145,Solute carrier family 28 member 3,S28A3_HUMAN
146,Solute carrier organic anion transporter family member 1C1,SO1C1_HUMAN
147,Solute carrier family 15 member 2,S15A2_HUMAN
148,Solute carrier family 12 member 4,S12A4_HUMAN
149,Solute carrier organic anion transporter family member 4C1,SO4C1_HUMAN
150,Solute carrier family 22 member 4,S22A4_HUMAN
151,Sodium-dependent serotonin transporter,SC6A4_HUMAN
152,Sodium-dependent noradrenaline transporter,SC6A2_HUMAN
153,Solute carrier organic anion transporter family member 4A1,SO4A1_HUMAN
