CMPD_CHEMBLID,COMPOUND_KEY,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,Km,Vmax,pKm
CHEMBL1405,17-beta-estrone,270.37,3.82,37.3,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,,,
CHEMBL90593,Dehydroepiandrosterone,288.43,3.88,37.3,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,,,
CHEMBL112118,1,621.11,6.9,93.62,Oc1c(Br)cc(\C=N\OCCCCCO\N=C\C2=COc3c(Cl)cc(Cl)cc3C2=O)cc1Br,,,
CHEMBL113219,2,587.21,6.05,136.76,Oc1c(\C=N\OCCCCCO\N=C\C2=COc3c(Cl)cc(Cl)cc3C2=O)cc(Br)cc1[N+](=O)[O-],,,
CHEMBL43326,"3-Methoxy-13-methyl-4-nitro-6,7,8,9,11,12,13,14,15,16-decahydro-cyclopenta[a]phenanthren-17-one",329.4,4.03,69.44,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CCc2c1[N+](=O)[O-],,,
CHEMBL2367720,1,838.44,3.65,285.2,C[C@]12CC[C@H]3[C@@H](CCc4cc(OP(=O)(O)OP(=O)(O)OC[C@H]5O[C@H]([C@H](O)[C@@H]5OP(=O)(O)O)n6c(Br)nc7c(N)ncnc67)ccc34)[C@@H]1CCC2=O,,,
CHEMBL1628095,12b,622.68,2.85,197.98,C[C@]12CC[C@H]3[C@@H](CCc4c3ccc(OCCCOC[C@H]5OC([C@H](O)[C@@H]5O)n6cnc7c(N)ncnc67)c4[N+](=O)[O-])[C@@H]1CCC2=O,,,
CHEMBL1628097,12a,608.65,2.46,197.98,C[C@]12CC[C@H]3[C@@H](CCc4c3ccc(OCCOC[C@H]5OC([C@H](O)[C@@H]5O)n6cnc7c(N)ncnc67)c4[N+](=O)[O-])[C@@H]1CCC2=O,,,
CHEMBL1628164,4b,490.56,4.21,139.06,C[C@]12CC[C@H]3[C@@H](CCc4c3ccc(OCCCn5cnc6c(N)ncnc56)c4[N+](=O)[O-])[C@@H]1CCC2=O,,,
CHEMBL2067994,4a,476.54,3.82,139.06,C[C@]12CC[C@H]3[C@@H](CCc4c3ccc(OCCn5cnc6c(N)ncnc56)c4[N+](=O)[O-])[C@@H]1CCC2=O,,,
CHEMBL2067995,4c,504.59,4.6,139.06,C[C@]12CC[C@H]3[C@@H](CCc4c3ccc(OCCCCn5cnc6c(N)ncnc56)c4[N+](=O)[O-])[C@@H]1CCC2=O,,,
CHEMBL2067996,4d,445.57,4.3,95.92,C[C@]12CC[C@H]3[C@@H](CCc4cc(OCCCn5cnc6c(N)ncnc56)ccc34)[C@@H]1CCC2=O,,,
CHEMBL109983,45,218.21,1.36,77.82,CO\N=C\C1=C(N)Oc2ccccc2C1=O,,,
CHEMBL110066,4,275.06,2.04,84.96,CO\N=C\c1cc(Br)cc(c1O)[N+](=O)[O-],,,
CHEMBL112651,47,196.16,1.83,77.87,CO\N=C\C=C\c1oc(cc1)[N+](=O)[O-],,,
CHEMBL112745,50,235.67,3.58,34.73,CO\N=C\c1oc(cc1)c2cccc(Cl)c2,,,
CHEMBL112928,25,169.16,1.51,41.82,CO\N=C\c1cccc(F)c1O,,,
CHEMBL112963,3,308.96,2.9,41.82,CO\N=C\c1cc(Br)c(O)c(Br)c1,,,
CHEMBL113020,85,282.09,2.54,51.8,CO\N=C\C1=COc2ccc(Br)cc2C1=O,,,
CHEMBL113037,55,227.26,3.45,34.73,CO\N=C\C(=C\c1occc1)\c2ccccc2,,,
CHEMBL113199,48,402.96,2.58,41.82,CO\N=C\c1cc(I)cc(I)c1O,,,
CHEMBL113206,35,231.25,2.39,51.8,CO\N=C\C1=COc2cc(C)c(C)cc2C1=O,,,
CHEMBL113406,70,235.67,3.58,34.73,CO\N=C\c1oc(cc1)c2ccc(Cl)cc2,,,
CHEMBL114016,59,165.19,2.32,34.73,CO\N=C\C(=C\c1occc1)\C,,,
CHEMBL115044,31,244.09,2.44,41.82,CO\N=C\c1cc(C)cc(Br)c1O,,,
CHEMBL431637,5,272.09,3.08,51.8,CO\N=C\C1=COc2c(Cl)cc(Cl)cc2C1=O,,,
CHEMBL321249,65,186.19,1.64,64.73,CO\N=C\c1ccc(s1)[N+](=O)[O-],,,
CHEMBL323013,34,201.22,2.53,41.82,CO\N=C\c1c(O)ccc2ccccc12,,,
CHEMBL325510,37,211.22,1.39,60.28,CO\N=C\c1cc(OC)c(O)c(OC)c1,,,
CHEMBL326040,53,307.09,1.99,51.05,CO\N=C\c1cc(I)c(O)c(OC)c1,,,
CHEMBL76784,NG38,394.52,4.41,68.1,COc1ccc(CNc2nc(nc3c2ncn3C(C)C)N4CCCCCC4)cc1,,,
CHEMBL76921,NG13,395.51,2.78,71.34,COc1ccc(CNc2nc(nc3c2ncn3C(C)C)N4CCN(C)CC4)cc1,,,
CHEMBL93782,YTB6,380.24,2.18,110.75,Cn1cnc2c(NCc3cc(Cl)cc(Cl)c3)nc(NCC(=O)N)nc12,,,
CHEMBL91450,NG20,425.49,3.33,131.03,OCCn1cnc2c(NCC3CCCCC3)nc(NCc4ccc(cc4)[N+](=O)[O-])nc12,,,
CHEMBL91548,NG30,482.61,3.58,139.85,CC(C)n1cnc2c(NCc3ccc(N)cc3)nc(NCCCCC(=O)C4CSC(=O)N4)nc12,,,
CHEMBL91816,NG17,404.47,3.05,97.12,COc1ccc(CNc2nc(NCc3ccccc3)nc4c2ncn4CCO)cc1,,,
CHEMBL92115,YTC27,309.33,-1.95,142.42,Cn1cnc2c(nc(NCC(=O)N)nc12)N(CCO)CCO,,,
CHEMBL89567,YTB1,326.36,0.45,136.77,Cn1cnc2c(NCc3ccccc3N)nc(NCC(=O)N)nc12,,,
CHEMBL89926,YTC21,279.3,-0.95,130.98,CC(O)CNc1nc(NCC(=O)N)nc2c1ncn2C,,,
CHEMBL90365,NG14,412.54,3.85,97.12,COc1ccc(CNc2nc(N[C@H](CO)CC(C)C)nc3c2ncn3C(C)C)cc1,,,
CHEMBL90592,YTB5,345.79,1.53,110.75,Cn1cnc2c(NCc3ccc(Cl)cc3)nc(NCC(=O)N)nc12,,,
CHEMBL316097,YTC25,352.4,-2.36,154.45,Cn1cnc2c(nc(NCC(=O)N)nc12)N(CCO)CCNCCO,,,
CHEMBL135,E2,272.39,3.61,40.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,4.0,16.0,-1.3862943611198906
CHEMBL1412489,4-hydroxy-estradiol,288.39,3.31,60.69,C[C@]12CC[C@H]3[C@@H](CCc4c(O)c(O)ccc34)[C@@H]1CC[C@@H]2O,,,
CHEMBL9352,naringenin,272.26,2.51,86.99,Oc1ccc(cc1)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2,,,
CHEMBL225546,equilenin,266.34,3.94,37.3,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,,,
CHEMBL213764,16,172.19,-1.96,87.46,CN1CNC(=O)N[C@@H](CN)C1=O,,,
CHEMBL214030,29,275.31,-0.17,81.67,O[C@@H]1C[C@H]2NC(=O)N[C@@H](Cc3ccccc3)C(=O)N2C1,,,
CHEMBL214133,1,233.27,0.33,61.44,CN1CNC(=O)N[C@@H](Cc2ccccc2)C1=O,,,
CHEMBL214182,5,291.31,0.12,89.95,CN1CN(CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C1=O,,,
CHEMBL216493,37,271.32,1.08,52.65,O=C1N[C@@H]2CCCN2C(=O)[C@@H]3Cc4ccccc4CN13,,,
CHEMBL83,tamoxifen,371.52,6.0,12.47,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,,
CHEMBL1743300,4-hydroxy-estrone,286.37,3.52,57.53,C[C@]12CC[C@H]3[C@@H](CCc4c(O)c(O)ccc34)[C@@H]1CCC2=O,,,
CHEMBL1743301,4-hydroxylonazolac,328.76,3.53,75.35,OC(=O)Cc1cn(nc1c2ccc(Cl)cc2)c3ccc(O)cc3,,,
CHEMBL467987,2-hydroxy-estradiol,288.39,3.31,60.69,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2O,,,
CHEMBL122617,1-naphthol,144.17,2.55,20.23,Oc1cccc2ccccc12,,,
CHEMBL438632,28,365.43,2.05,70.67,O=C1N[C@@H](Cc2ccccc2)C(=O)N3C[C@@H](C[C@H]3N1)OCc4ccccc4,,,
CHEMBL1627343,2-hydroxy-estrone,286.37,3.52,57.53,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CCC2=O,,,
CHEMBL411,diethylstilbestrol,268.36,4.83,40.46,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,,,
CHEMBL384032,36,245.28,0.6,61.44,C[C@@H]1NC(=O)NC2Cc3ccccc3CN2C1=O,,,
CHEMBL385732,14,199.25,0.13,61.44,CC(C)C[C@@H]1NC(=O)NCN(C)C1=O,,,
CHEMBL387087,33,365.43,1.74,72.88,O[C@@H]1C[C@H]2N(Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N2C1,,,
CHEMBL691,ethinyl estradiol,296.41,3.61,40.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,450.0,11.0,-6.1092475827643655
CHEMBL1402,4-OH TOR,421.97,5.92,32.7,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccc(O)cc3,6400.0,5.5,-8.764053269347762
CHEMBL194749,4a,256.39,3.9,20.23,C[C@]12CC[C@H]3[C@@H](CCc4ccccc34)[C@@H]1CC[C@@H]2O,,,
CHEMBL1627562,11b,301.39,3.81,63.37,C[C@]12CC[C@H]3[C@@H](CCc4ccc(cc34)[N+](=O)[O-])[C@@H]1CC[C@@H]2O,,,
CHEMBL1627565,11a,301.39,3.81,63.37,C[C@]12CC[C@H]3[C@@H](CCc4c3cccc4[N+](=O)[O-])[C@@H]1CC[C@@H]2O,,,
CHEMBL1627683,10b,274.38,4.04,20.23,C[C@]12CC[C@H]3[C@@H](CCc4ccc(F)cc34)[C@@H]1CCC2O,,,
CHEMBL1627685,12,269.39,3.69,43.09,C[C@]12CC[C@H]3[C@@H](CCc4c(N)cccc34)[C@@H]1CCC2=O,,,
CHEMBL1627689,9b,271.4,3.49,46.25,C[C@]12CC[C@H]3[C@@H](CCc4ccc(N)cc34)[C@@H]1CCC2O,,,
CHEMBL1627690,6,272.36,4.25,17.07,C[C@]12CC[C@H]3[C@@H](CCc4c(F)cccc34)[C@@H]1CCC2=O,,,
CHEMBL1627697,9a,271.4,3.49,46.25,C[C@]12CC[C@H]3[C@@H](CCc4c(N)cccc34)[C@@H]1CCC2O,,,
CHEMBL1627698,"Estra-1,3,5(10)-trien-17-one",254.37,4.11,17.07,C[C@]12CC[C@H]3[C@@H](CCc4ccccc34)[C@@H]1CCC2=O,,,
CHEMBL1627977,10a,274.38,4.04,20.23,C[C@]12CC[C@H]3[C@@H](CCc4c(F)cccc34)[C@@H]1CC[C@@H]2O,,,
CHEMBL1159897,6,647.47,5.74,132.13,Cc1c(c2ccc(OS(=O)(=O)O)cc2)n(Cc3c(F)c(F)c(F)c(F)c3F)c4cc(OS(=O)(=O)O)cc(c14)C(F)(F)F,,,
CHEMBL201333,9,272.18,-1.98,118.89,O[C@H]1[C@H](O)[C@H](CN[C@@H]1NC(=O)C(F)(F)F)C(=O)O,,,
CHEMBL201657,8,218.21,-2.53,118.89,CC(=O)N[C@H]1NC[C@@H]([C@H](O)[C@@H]1O)C(=O)O,,,
CHEMBL201744,4,315.37,-0.88,132.96,CCC(CC)C(=O)N1C[C@H]([C@H](N)[C@H](O)[C@H]1NC(=O)C)C(=O)O,,,
CHEMBL202303,1,217.22,-2.56,124.68,CC(=O)N[C@H]1NC[C@H]([C@H](N)[C@@H]1O)C(=O)O,,,
CHEMBL202309,3,357.41,-1.57,171.34,CCC(CC)C(=O)N1C[C@H]([C@H](N=C(N)N)[C@H](O)[C@H]1NC(=O)C)C(=O)O,,,
CHEMBL380552,5,313.24,-2.49,160.56,NC(=N)N[C@@H]1[C@H](O)[C@@H](NC(=O)C(F)(F)F)NC[C@H]1C(=O)O,,,
CHEMBL370619,2,259.27,-3.24,163.06,CC(=O)N[C@H]1NC[C@H]([C@H](N=C(N)N)[C@@H]1O)C(=O)O,,,
CHEMBL370990,6,272.18,-1.98,118.89,O[C@H]1[C@H](O)[C@@H](CN[C@@H]1NC(=O)C(F)(F)F)C(=O)O,,,
CHEMBL371321,10,272.18,-1.98,118.89,O[C@H]1[C@@H](O)[C@H](CN[C@@H]1NC(=O)C(F)(F)F)C(=O)O,,,
CHEMBL371971,7,272.18,-1.98,118.89,O[C@H]1[C@H](O)[C@@H](CN[C@H]1NC(=O)C(F)(F)F)C(=O)O,,,
CHEMBL14130,4-Nitrophenol,139.11,1.3,63.37,Oc1ccc(cc1)[N+](=O)[O-],,,
CHEMBL261886,2-nitropropane,89.09,0.67,43.14,CC(C)[N+](=O)[O-],,,
CHEMBL112,acetaminophen,151.16,1.35,49.33,CC(=O)Nc1ccc(O)cc1,92000.0,181.0,-11.429543856031177
CHEMBL1743302,N-hydroxy-PhIP,240.27,2.44,62.97,Cn1c(NO)nc2ncc(cc12)c3ccccc3,,,
CHEMBL1743303,di-iodothyronine (T2),525.08,3.35,92.78,NC(Cc1ccc(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,,,
CHEMBL59,Dopamine,153.18,0.6,66.48,NCCc1ccc(O)c(O)c1,,,
CHEMBL53,apomorphine,267.33,2.85,43.7,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34,,,
CHEMBL108475,4-ethylphenol,122.17,1.95,20.23,CCc1ccc(O)cc1,10000.0,410.0,-9.210340371976184
CHEMBL1544,tri-iodothyronine (T3),650.98,3.95,92.78,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,,,
CHEMBL408,troglitazone,441.55,4.37,84.86,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,,,
CHEMBL802,minoxidil,209.25,-0.13,95.11,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,,,
CHEMBL691,EE2,296.41,3.61,40.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,450.0,11.0,-6.1092475827643655
CHEMBL16645,4-cresol,108.14,1.7,20.23,Cc1ccc(O)cc1,10000.0,320.0,-9.210340371976184
CHEMBL284464,N-hydroxy-2-acetylaminofluorene,239.27,3.0,40.54,CC(=O)N(O)c1ccc2c(Cc3ccccc23)c1,,,
CHEMBL926,dobutamine,301.39,2.96,72.72,CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,,,
CHEMBL714,salbutamol,239.31,1.31,72.72,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,,,
CHEMBL1437,norepinephrine,169.18,0.09,86.71,NC[C@H](O)c1ccc(O)c(O)c1,,,
CHEMBL1743304,reverse tri-iodothyronine (r-T3),650.98,3.95,92.78,N[C@@H](Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,,,
CHEMBL1624,thyroxine,776.87,4.56,92.78,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,,,
CHEMBL195437,4-octylphenol,206.33,4.3,20.23,CCCCCCCCc1ccc(O)cc1,,,
CHEMBL153062,nonylphenol,220.36,4.69,20.23,CCCCCCCCCc1ccc(O)cc1,109000.0,91.0,-11.59910316121128
CHEMBL418971,bisphenol-A,228.29,3.42,40.46,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,,,
CHEMBL112570,Cholesterol,386.66,7.39,20.23,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,
CHEMBL278164,2-naphthylamine,143.19,2.42,26.02,Nc1ccc2ccccc2c1,,,
