CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS,,,,,,,,,
CHEMBL14126	13336	CHEMBL14126	13336	BETANAPHTHOL	2-naphthol	144.17	2.55	20.23	0	Oc1ccc2ccccc2c1	227336	Vmax	=	1130	nM min-1		Vmax	=	1130	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL14126	13336	CHEMBL14126	13336	BETANAPHTHOL	2-naphthol	144.17	2.55	20.23	0	Oc1ccc2ccccc2c1	227337	Ratio	=	4790	-		Ratio	=	4790				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL3085280	1595171	CHEMBL3085280	1595171		4-ethylbenzyl alcohol	488.55	.27	163.53	0	N[C@@H](C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc5OCCc5c4	255213	Km	=	60000	nM		Km	=	.06	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL3085280	1595171	CHEMBL3085280	1595171		4-ethylbenzyl alcohol	488.55	.27	163.53	0	N[C@@H](C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc5OCCc5c4	255214	Vmax	=	182	nM min-1		Vmax	=	182	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL3085280	1595171	CHEMBL3085280	1595171		4-ethylbenzyl alcohol	488.55	.27	163.53	0	N[C@@H](C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc5OCCc5c4	255215	Ratio	=	103	-		Ratio	=	103				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL112	16450	CHEMBL112	16450	ACETAMINOPHEN	N-(4-Hydroxy-phenyl)-acetamide	151.16	1.35	49.33	0	CC(=O)Nc1ccc(O)cc1	248343	Km	=	92000	nM		Km	=	.092	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL112	16450	CHEMBL112	16450	ACETAMINOPHEN	N-(4-Hydroxy-phenyl)-acetamide	151.16	1.35	49.33	0	CC(=O)Nc1ccc(O)cc1	248344	Vmax	=	181	nM min-1		Vmax	=	181	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL112	16450	CHEMBL112	16450	ACETAMINOPHEN	N-(4-Hydroxy-phenyl)-acetamide	151.16	1.35	49.33	0	CC(=O)Nc1ccc(O)cc1	248345	Ratio	=	66.7	-		Ratio	=	66.7				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL73380	116940	CHEMBL73380	116940		4-biphenylmethanol	170.21	3.06	20.23	0	Oc1ccc(cc1)c2ccccc2	252501	Km	=	91000	nM		Km	=	.091	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL73380	116940	CHEMBL73380	116940		4-biphenylmethanol	170.21	3.06	20.23	0	Oc1ccc(cc1)c2ccccc2	252502	Vmax	=	212	nM min-1		Vmax	=	212	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL73380	116940	CHEMBL73380	116940		4-biphenylmethanol	170.21	3.06	20.23	0	Oc1ccc(cc1)c2ccccc2	252503	Ratio	=	79.1	-		Ratio	=	79.1				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL35297	49972	CHEMBL35297	49972		4-Propyl-phenol	136.19	2.34	20.23	0	CCCc1ccc(O)cc1	223324	Km	=	6000	nM		Km	=	.006	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL35297	49972	CHEMBL35297	49972		4-Propyl-phenol	136.19	2.34	20.23	0	CCCc1ccc(O)cc1	223325	Vmax	=	427	nM min-1		Vmax	=	427	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL35297	49972	CHEMBL35297	49972		4-Propyl-phenol	136.19	2.34	20.23	0	CCCc1ccc(O)cc1	223326	Ratio	=	2410	-		Ratio	=	2410				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149740	252900	CHEMBL149740	252900		(1S)-1-Phenyl-1-hexanol	178.28	3.3	20.23	0	CCCCC[C@H](O)c1ccccc1	245698	Km	=	7000	nM		Km	=	.007	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149740	252900	CHEMBL149740	252900		(1S)-1-Phenyl-1-hexanol	178.28	3.3	20.23	0	CCCCC[C@H](O)c1ccccc1	245699	Vmax	=	2.1	nM min-1		Vmax	=	2.1	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149740	252900	CHEMBL149740	252900		(1S)-1-Phenyl-1-hexanol	178.28	3.3	20.23	0	CCCCC[C@H](O)c1ccccc1	245700	Ratio	=	10.2	-		Ratio	=	10.2				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149752	253190	CHEMBL149752	253190		4-Heptyl-phenol	192.3	3.91	20.23	0	CCCCCCCc1ccc(O)cc1	244278	Km	=	61000	nM		Km	=	.061	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149752	253190	CHEMBL149752	253190		4-Heptyl-phenol	192.3	3.91	20.23	0	CCCCCCCc1ccc(O)cc1	244279	Vmax	=	132	nM min-1		Vmax	=	132	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149752	253190	CHEMBL149752	253190		4-Heptyl-phenol	192.3	3.91	20.23	0	CCCCCCCc1ccc(O)cc1	244280	Ratio	=	73.4	-		Ratio	=	73.4				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149802	253265	CHEMBL149802	253265		4-(-1adamantyl)phenol	228.34	3.86	20.23	0	Oc1ccc(cc1)C23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3	248352	Km	=	1000	nM		Km	=	.001	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149802	253265	CHEMBL149802	253265		4-(-1adamantyl)phenol	228.34	3.86	20.23	0	Oc1ccc(cc1)C23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3	248353	Vmax	=	47.2	nM min-1		Vmax	=	47.2	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL149802	253265	CHEMBL149802	253265		4-(-1adamantyl)phenol	228.34	3.86	20.23	0	Oc1ccc(cc1)C23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3	248354	Ratio	=	1600	-		Ratio	=	1600				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150411	253354	CHEMBL150411	253354		N-Methyl-N-phenyl-hydroxylamine	123.15	1.51	23.47	0	CN(O)c1ccccc1	231109	Km	=	119000	nM		Km	=	.119	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150411	253354	CHEMBL150411	253354		N-Methyl-N-phenyl-hydroxylamine	123.15	1.51	23.47	0	CN(O)c1ccccc1	231110	Vmax	=	85	nM min-1		Vmax	=	85	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150411	253354	CHEMBL150411	253354		N-Methyl-N-phenyl-hydroxylamine	123.15	1.51	23.47	0	CN(O)c1ccccc1	231111	Ratio	=	24.2	-		Ratio	=	24.2				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150445	253240	CHEMBL150445	253240		2-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1ccc2ccccc2c1	233692	Km	=	26000	nM		Km	=	.026	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150445	253240	CHEMBL150445	253240		2-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1ccc2ccccc2c1	233693	Vmax	=	77.6	nM min-1		Vmax	=	77.6	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150445	253240	CHEMBL150445	253240		2-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1ccc2ccccc2c1	233694	Ratio	=	101	-		Ratio	=	101				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150465	253514	CHEMBL150465	253514		N-(4-Chloro-phenyl)-hydroxylamine	143.57	2.14	32.26	0	ONc1ccc(Cl)cc1	228633	Km	=	26000	nM		Km	=	.026	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL150465	253514	CHEMBL150465	253514		N-(4-Chloro-phenyl)-hydroxylamine	143.57	2.14	32.26	0	ONc1ccc(Cl)cc1	228634	Vmax	=	35	nM min-1		Vmax	=	35	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
