"SUPPORTING INFORMATION
TREND ANALYSIS OF A DATABASE OF INTRAVENOUS PHARMACOKINETIC PARAMETERS IN HUMANS FOR 670 DRUG COMPOUNDS
9,"Acetylmethadol, L-",1477-40-3,8.3,5.4,0.20,26,18,"Walsh SL, Johnson RE, Cone EJ, and Bigelow GE (1998) Intravenous and oral l-.alpha.-acetylmethadol: pharmacodynamics and pharmacokinetics in humans.  J. Pharmacol. Exp. Ther.  285: 71-82.  Toro-Goyco E, Martin BR, and Harris LS (1980) Binding of 1-alpha-acetylmethadol and its metabolites to blood constituents.  Biochem. Pharmacol. 29: 1897-1902.",
10,Acetylsalicylic Acid,50-78-2,0.22,12,0.68,0.30,0.26,"Aarons L, Hopkins K, Rowland M, Brossel S, and Thiercelin JF (1989) Route of administration and sex differences in the pharmacokinetics of aspirin, administered as its lysine salt.   Pharm. Res. 6: 660-666.  Lee S, Johnson D, Klein J, and Eppler J (1995) Protein binding of acetylsalicylic acid and salicylic acid in porcine and human serum.  Vet. Human Toxicol. 37: 224-225",
11,Acivicin,42228-92-2,0.50,0.69,NF,12,9.9,"McGovern JP, Pratt EA, Belt RJ, Taylor SA, Benjamin RS, Ardalan B, and Ohnuma T (1985) Pharmacokinetic and biochemical studies on acivicin in phase I clinical trials.  Canc. Res.  45: 4460-4463.",VDss was calculated from C vs t data obtained by digitization of a plot for one subjected that was included in the reference.  Plasma concentrations were determined by bioassay.
12,Acyclovir,59277-89-3,0.71,4.7,0.85,2.5,2.5,De Miranda P and Blum MR (1983) Pharmacokinetics of acyclovir after intravenous and oral administration.  J. Antimic. Chemother. 12(Suppl B): 29-37.,
13,Adefovir,106941-25-7,0.42,3.7,0.96,1.9,1.6,"Cundy KC, Barditch-Crovo P, Walker RE, Collier AC, Ebeling D, Toole J, and Jaffe HS. (1995) Clinical pharmacokinetics of adefovir in human immunodeficiency virus type 1-infected patients.  Antimic. Ag. Chemother. 39: 2401-2405.   Hepsera Product Label.",
14,Adinazolam,37115-32-5,0.98,6.2,0.31,2.6,2.1,"Fleishaker JC, Friedman H, and Pollock SR (1991)  Extent and variability of the first-pass elimination of adinazolam mesylate in healthy male volunteers.  Pharm. Res.  8: 162-167.",
15,Albuterol (salbutamol),18559-94-9,1.9,7.8,0.92,4.1,2.4,"Boulton DW and Fawcett JP (1996) Enantioselective disposition of salbutamol in man following oral and intravenous administration.  Br. J. Clin. Pharmacol. 1996, 41, 35-40.  Morgan DJ, Paull JD, Richmond BH, Wilson-Evered E, and Ziccone SP (1986) Pharmacokinetics of intravenous and oral salbutamol and its sulphate conjugate.  Br. J. Clin. Pharmacol.  22: 587-593.",Data for enantiomers were averaged.
16,Alcuronium,23214-96-2,0.32,1.3,NF,4.1,3.6,"Walker J, Shanks CA, and Triggs EJ (1980)  Clinical pharmacokinetics of alcuronium chloride in man.  Eur. J. Clin. Pharmacol. 17: 449-457. ",
17,Alfentanil,71195-58-9,0.45,3.9,0.086,1.9,1.6,"Bower S and Hull CJ (1982) Comparative pharmacokinetics of fentanyl and alfentanil.  Br. J. Anaesth. 54: 871-877.  McDonnell CG, Malkan D, Van Pelt FD, and Shorten GD (2003) Elimination of alfentanil delivered by infusion is not altered by the chronic administration of atorvastatin.    Eur. J. Anaesth. 20: 662-667.  Meuldermans WEG, Hurkmans RMA, and Heykants JJP (1982) Plasma protein binding and distribution of fentanyl, sufentanil, alfentanil and lofentanil in blood.    Arch. Int. Pharmacodyn. Ther.  257: 4-19.  Lemmens HJ, Burm AG, Bovill JG, Hennis PJ, and Gladines MP (1992)  Pharmacodynamics of alfentanil. The role of plasma protein binding.    Anesthesiol.  76: 65-70.",
18,Alfuzosin,81403-80-7,1.5,5.9,NF,4.2,4.8,"Guinebault P, Colafranceschi C, Bianchetti G, Thenot JP, Maillard D, Thiercelin JF, Larribaud J, and Morselli PL (1984) Absolute bioavailability of alfluzocine, a new alpha1 postsynaptic receptor antagonist, after oral and intravenous administration.  Biopharm. Pharmacokinet. 2nd European Congress 2: 578-583.",VDss calculated from C vs t data obtained by digitization of the plots included in the reference.
19,Alizapride,59338-93-1,1.6,6.6,NF,4.0,2.8,"Houin G, Barre J, and Tillement JP (1984) Absolute intramuscular, oral, and rectal bioavailability of alizapride.  J. Pharm. Sci. 73: 1450-1453.",VDss calculated from C vs t data obtained by digitization of the plots included in the reference.
20,Allopurinol,315-30-0,0.58,11,0.97,0.88,0.80,"Breithaupt H and Tittel M (1982) Kinetics of allopurinol after sinlge intravenous and oral doses.  Eur. J. Clin. Pharmacol. 22: 77-84.  Elion GB, Kovensky A, Hitchings GH, Metz E, and Rundles RW (1966) Metabolic studies of allopurinol, an inhibitor of xanthine oxidase.    Biochem. Pharmacol. 15: 863-889.",
21,Almotriptan,154323-57-6,2.2,8.9,0.60,4.2,3.4,"Gras J, Llenas J, Jansat JM, Jáuregui J, Cabarrocas X, Palacios JM (2002) Almotriptan, a New Anti-Migraine Agent: A Review CNS Drug Rev. 8: 217-234.  Jansat, JM, Costa J, Salva P, Fernandez FJ, and Martinez-Tobed A (2002) Absolute bioavailability, pharmacokinetics, and urinary excretion of the novel antimigraine agent almotriptan in healthy male volunteers.  J. Clin. Pharmacol. 42: 1303-1310.","VDss calculated from MRT and CL reported in Jansat, et al. "
22,Alosetron,122852-42-0,1.1,8.7,0.18,2.1,1.6,"Kock KM, Palmer JL, Noordin N, Tomlinson JJ, and Baidoo C (2002) Sex and age differences in the pharmacokinetics of alosetron.  Br. J. Clin. Pharmacol. 53: 238-242.  Lotronex Product Label",
23,Alprazolam,28981-97-7,0.80,0.74,0.29,18,12,"Smith RB, Kroboth PD, Vanderligt JT, Phillips JP, and Juhl RP (1984) Pharmacokinetics and pharmacodynamics of alprazolam after oral and IV administration.  Psychopharmacology 84: 452-456.  Greenblatt DJ and Wright CE (1993) Clinical pharmacokinetics of alprazolam. Therapeutic implications.    Clin. pharmacokinet. 24: 453-471.  ",VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.
24,Alprenolol,13655-52-2,3.2,15,0.18,3.6,2.5,"Bodin NO, Borg KO, Johansson R, Obianwu H, Svensson R (1974) The absorption, distribution, and excretion of alprenolol in man, dog, and rat.  Acta Pharmacol. Toxicol. 35: 261-269.   Imamura H, Komori T, Ismail A, Suenaga A, and Otagiri M (2002)  Stereoselective protein binding of alprenolol in the renal diseased state.  Chirality 14: 599-603.",VDss and CL calculated from C vs t data obtained by digitization of the plot provided in the reference.
25,Amantadine,768-94-5,6.6,4.8,0.33,23,16,Aoki FY and Sitar DS (1988) Clinical pharmacokinetics of amantadine hydrochloride.  Clin. Pharmacokinet. 14: 35-51.,
26,Amdinocillin,32887-01-7,0.37,6.3,NF,1.0,1.1,"Patel IH, Bornemann LD, Brocks VM, Fang LS, Tolkoff-Rubin NE, and Rubin RH (1985) Pharmacokinetics of intravenous amdinocillin in healthy subjects and patients with renal insufficiency.  Antimic. Ag. Chemother. 28: 46-50.",VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.
27,Amikacin,37517-28-5,0.16,1.1,0.88,2.4,2.4,"Lanao JM, Dominguez-Gil A, Tabernero JM, and De Castro S (1979)  Pharmacokinetics of amikacin (BB-K8) in patients with normal or impaired renal function.  Int. J. Clin. Pharmacol. Biopharm. 17: 171-175.  Clarke JT, Libke RD, Regamey C, and Kirby WMM (1974) Comparative pharmacokinetics of amikacin and kanamycin.  Clin. Pharmacol. Ther.  15: 610-616.  Brunnemann SR and Segal JR (1991) Amikacin serum protein binding in spinal cord injury.  Life Sci. 49: PL1-PL5.",CL calculated from reported compartmental model parameters. Protein binding data averaged from two papers.
28,"Aminocamptothecin, 9-",91421-43-1,2.2,6.5,0.003,5.6,7.0,"Herben VM, van Gijn R, Schellens JH, Schot M, Lieverst J, Hillebrand MJ, Schoemaker NE, Porro MG, Beijnen JH, and ten Bokkel Huinink WW (1999)  Phase I and pharmacokinetic study of a daily times 5 short intravenous infusion schedule of 9-aminocamptothecin in a colloidal dispersion formulation in patients with advanced solid tumors.  J. Clin. Oncol.17: 1906-1914.  Masubuchi N, May RD, and Atsumi R (2004)  A predictive model of human myelotoxicity using five camptothecin derivatives and the in vitro colony-forming unit granulocyte/macrophage assay.  Clin. Cancer Res. 10: 6722-6731.",
29,"Aminohexanoic acid, 6-",60-32-2,0.39,2.5,0.92,2.6,4.9,"Frederiksen  MC, Bowsher DJ, Ruo TI, Henthorn TK, Ts'ao CH, Green D, and Atkinson AJ (1984) Kinetics of epsilon-aminocaproic acid distribution, elimination, and antifibrinolytic effects in normal subjects.  Clin. Pharmacol. Ther. 35: 387-393.  McNicol GP, Fletcher AP, Alkjaersig N, and Sherry S (1962) The absorption, distribution, and excretion of e-aminocaproic acid following oral or intravenous administration to man.  J. Lab Clin. Med. 59: 15-24.",
30,"Aminosalicylic acid, 5-",89-57-6,0.33,9.3,0.39,0.59,0.61,"Bondesen S, Hegnhoj J, Larsen F, Hansen H, Hansen CP, and Rasmussen SN (1991) Pharmacokinetics of 5-aminosalicylic acid in man following administration of intravenous bolus and per os slow-release formulation.  Digest. Dis. Sci.  12: 1735-1740.  Way EL, Smith PK, Howie DL, Weiss R, and Swanson R (1948) The absorption, distribution, excretion, and fate of para-aminosalicylic acid.  J. Pharmacol. Exp. Ther. 93: 368-382.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss and t1/2 calculated from data obtained by digitization of C vs t plots provided in the references.
31,Amiodarone ,1951-25-3,60,1.9,0.0002,620,820,"Ujhelyi MR, Klamerus KJ, Vadiei K, O'Rangers E, Izard M, Neefe DL, Zimmerman JJ, and Chow MSS (1996) Disposition of intravenous amiodarone in subjects with normal and impaired renal function.  J. Clin. Pharmacol. 36: 122-130.  Veronese ME, McLean S, and Hendriks R (1988) Plasma protein binding of amiodarone in a patient population: measurement by erythrocyte partitioning and a novel glass-binding method.  Br. J. Clin. Pharmacol 26: 721-731.",
32,Amitriptyline,50-48-6,8.7,6.1,0.07,24,17,Jorgensen A and Hansen V (1976) Pharmacokinetics of amitriptyline infused intravenously in man.  Eur. J. Clin. Pharmacol.  10: 337-341.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.    Naunyn-Sch Arch. Pharmacol. 327: 260-265.,
33,Amlodipine,88150-42-9,17,7.0,0.005,40,34,"Faulkner JK, McGibney D, Chasseaud LF, Perry JL, and Taylor IW (1986) The pharmacokinetics of amlodipine in healthy volunteers after single intravenous and oral doses and after 14 repeated oral doses given once daily. Br. J. Clin. Pharmacol. 22: 21-25.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1998) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",VDss calculated from C vs t data obtained by digitization of the plot in Faulkner et al.
34,Amoxicillin,26787-78-0,0.25,3.3,0.85,1.3,1.1,"Arancibia A, Guttmann J, Gonzalez G, and Gonzalez C (1980) Absorption and disposition kinetics of amoxicillin in normal human subjects.  Antimic. Ag. Chemother. 17: 199-202.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",
35,Amphetamine,300-62-9,6.1,9.7,0.80,10,7.3,"Angagard E, Gunne LM, Jonsson LE and Niklasson F (1970) Pharmacokinetics and clinical studies on amphetamine dependent subjects.  Eur. J. Clin. Pharmacol. 3: 3-11.  Busto U, Bendayan R, and Sellers EM (1989) Clinical pharmacokinetics of non-opiate abused drugs.  Clin. Pharmacokinet. 16: 1-26.  De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",PK reported as monoexponential decline so reported VD was used as VDss.  CL calculated from VD and t1/2.
36,Ampicillin,69-53-4,0.22,2.8,0.85,1.3,1.4,"Blum RA, Kohli RK, Harrison NJ, and Schentag JJ (1989) Pharmacokinetics of ampicillin (2.0 grams) and sulbactam (1.0 gram) coadministered to subjects with normal and abnormal renal function and with end-stage renal disease on hemodialysis.    Antimic. Ag. Chemother. 33: 1470-1476.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",
37,Amrinone,60719-84-8,1.3,8.9,0.89,2.4,2.0,"Hamilton RA, Kowalsky SF, Wright EM, Cernak P, Benziger DP, Stroshane RM, and Edelson J (1986)  Effect of the acetylator phenotype on amrinone pharmacokinetics.  Clin. Pharmacol. Ther. 40: 615-619.  Koprda V, Trnovec T, and Landmann H (1986) The binding of amrinone to plasma proteins.  Pharmazie 41: 300-301.",CL value from rapid acetylators only.
38,Amsacrine,51264-14-3,1.6,4.3,0.029,6.2,4.7,"Jurlina JL, Varcoe AR, and Paxton JW (1985) Pharmacokinetics of amsacrine in patients receiving combined chemotherapy for treatment of acute myelogenous leukemia.  Canc. Chemother. Pharmacol.  14: 21-25.  Paxton JW, Kim SN, and Whitfield LR (1990) Pharmacokinetic and toxicity scaling of the antitumor agents amsacrine and CI-921, a new analogue, in mice, rats, rabbits, dogs, and humans.  Cancer Res.  50: 2692-2697.","VDss reported in Paxton, et al, and cites Jurlina, et al.,  references which has only Vdbeta at 1.7 L/kg.  Used value from Paxton report."
39,Amsalog,80841-47-0,0.30,2.6,0.0011,1.9,2.4,"Paxton JW, Hardy JR, Evans PC, Harvey VJ, and Baguley BC (1988) The clinical pharmacokinetics of N-5-dimethyl-9-[(2-methoxy-4-methyl-sulfonylamino)phenylamino]-4-acridinecarboxamide (CI-921) in a phase 1 trial.  Canc. Chemother. Pharmacol. 22: 235-240.  Fyfe D, Prce C, Langley RE, Pagonis C, Houghton J, Osborne L, Woll PJ, Gardner C, Baguley BC, and Carmichael J (2001) A phase I trial of amsalog (CI-921) administered by intravenous infusion using a 5-day schedule.  Canc. Chemoher. Pharmacol. 47: 333-337.  Paxton JW, Kim SN, and Whitfield LR (1990) Pharmacokinetic and toxicity scaling of the antitumor agents amsacrine and CI-921, a new analogue, in mice, rats, rabbits, dogs, and humans.  Cancer Res.  50: 2692-2697.",
40,Anhydrovinblastine,38390-45-3,12,12,NF,17,18,"Ramnath N, Schwartz GN, Smith P, Bong D, Kanter P, Berdzik J, and Creaven PJ (2003) Phase I and pharmacokinetic study of anhydrovinblastine every three weeks in patients with refractory solid tumors.  Canc. Chemother. Pharmacol. 51: 227-230.",VDss was calculated from C vs t data obtained by digitization of the plots provided in the reference.  Median values for CL and t1/2 were reported.
41,Anidulafungin,166663-25-8,0.57,0.21,0.16,45,40,"Dowell JA, Schranz J, Baruch A, and Foster G (2005) Safety and pharmacokinetics of coadministered voriconazole and anidulafungin.  J. Clin. Pharmacol. 45: 1373-1382.  Eraxis Product Label.",
42,Antipyrine,60-80-0,0.77,0.64,0.93,20,12,"Andreasen PB and Vesell ES (1974) Comparison of plasma levels of antipyrine, tolbutamide, and warfarin after oral and intravenous administration.  Clin. Pharmacol. Ther. 16: 1059-1065.  Danhof M, vanZuilen A, Boeijinga JK, and Breimer DD (1982) Studies of the different metabolic pathways of antipyrine in man.  Eur. J. Clin. Pharmacol.  21: 433-441.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003)  Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",Danhof reference not included for VDss (would require digitization); Andreason reference used a one-compartment model so VDc = VDss.
43,Aprepitant,170729-80-3,0.94,1.0,0.05,16,13,"Majumdar AK, Howard L, Goldberg, MR, Hickey L, Constanzer M, Rothenberg PL, Crumley TM, Panebianco D, Bradstreet TE, Bergman AJ, Waldman SA, Greenberg HE, Butler K,  Knops A, De Lepeleire I, Michiels N, and Petty KJ (2006) Pharmacokinetics of aprepitant after single and multiple oral doses in healthy volunteers.  J. Clin. Pharmacol. 46: 291-300.  Emend Product Label.",
44,Argatroban,74863-84-6,0.17,5.0,NF,0.57,0.40,"Hauptmann, J. (2002) Pharmacokinetics of an emerging new class of anticoagulant/antithrombotic drugs A review of small-molecule thrombin inhibitors.    Eur J Clin Pharmacol  57:  751-758. ",
45,Aripiprazole,129722-12-9,4.9,0.83,0.01,98,75,Abilify Product Label.,CL value in FDA documents on-line.
46,Artesunate,88495-63-0,15,1070,0.25,0.32,0.22,"Newton PN, Barnes KI, Smith PJ, Evans AC, Chierakul, W, Ruangveerayuth R, and WhiteNJ (2006) The pharmacokinetics of intravenous artesunate in adults with severe falciparum malaria.    Eur. J. Clin. Pharmacol.  62: 1003-1009.  Li Q, Xie LH, Haeberle A, Zhang J, and Weina P (2006) The evaluation of radiolabeled artesunate on tissue distribution in rats and protein binding in humans.  Am. J. Trop. Med. Hyg. 75: 817-826.",
47,Atenolol,29122-68-7,0.95,2.5,0.94,6.3,6.1,"Mason WD, Winer N, Kochak G, Cohen I, and Bell R (1979) Kinetics and absolute bioavailability of atenolol.  Clin. Pharmacol. Ther.  25: 408-415.  Henry JA and Mitchell SN (1981)  Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",VDss calculated from reported micro constants. 
48,Atomoxetine,83015-26-3,0.85,9.3,0.02,1.5,5.2,Strattera Product Label,CYP2D6 EM data MRT is calculated as VD/CL; CL was calculated as CLpo/F (F=63%)
49,Atovaquone,95233-18-4,0.60,0.15,0.001,67,63,Mepron Product Label,
50,Atracurium,64228-79-1,0.10,5.7,0.52,0.29,0.31,"Cameron M, Donati F, and Varin F (1995) In vitro plasma protein binding of neuromuscular blocking agents in different subpopulations of patients.    Anesth. Analg. 81: 1019-1025.   deBros FM, Lai A, Scott R, deBros J, Batson AG, Goudsouzian N, Ali HH, Cosimi AB, and Savarese JJ (1986) Pharmacokinetics and pharmacodynamics of atracurium during isoflurane anesthesia in normal and anephric patients.    Anesth. Analg. 65: 743-746.  Ward S, Neill EAM, Weatherly BC, and Corall IM (1983) Pharmacokinetics of atricurium besylate in healthy patients after a single i.v. bolus dose.  Br. J. Anaesth. 55: 113-118.","VDss calculated from estimated C vs t data from Cameron, et al, and from reprted microconstants from Ward, et al."
51,Atropine,51-55-8,3.3,7.6,0.61,7.2,4.1,"Adams RG, Verma P, Jackson AJ, and Miller RL (1982) Plasma pharmacokinetics of intravenously administered atropine in normal human subjects.  J. Clin. Pharmacol. 22: 477-481.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",
52,Azacitidine,320-67-2,0.47,35,NF,0.22,0.36,"Marcucci G, Silverman L, Eller M, Lintz L, and Beach CL (2005) Bioavailability of azacitidine subcutaneous versus intravenous in patients with the myelodysplastic syndromes.  J. Clin. Pharmacol. 45:  597-602. ",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.
53,Azapropazone,13539-59-8,0.12,0.14,0.004,14,17,"Gikalov I, Kaufmann R, and Schuster O (1982) Humanpharmakokinetik verschiedener i.v. dosen von azapropazon (HPLC-bestimmung).    Arzn. Forsch. 32: 423-426.",VDss was calculated from C vs t data provided in the reference.
54,Azelastine,58581-89-8,15,9.0,0.17,27,22,"Weliky I, Howard JR, and Wichmann JK (1990) Absolute bioavailability and pharmacokinetics of azelastine.  Pharm. Res. 7: S-247.  Estelle F, Simons R, and Simons KJ (1999) Clinical pharmacology of new histamine H1 receptor antagonists.  Clin. Pharmacokinet. 36: 329-352.",
55,Azimilide,149908-53-2,13,2.4,0.06,100,79,"Corey AE, Agnew JR, Valentine SN, Nesbitt JD, Wagner DL, Powell JH, and Thompson GA (1999) Azimilide pharmacokinetics following intravenous and oral administration of a solution and capsule formulation.  J. Clin. Pharmacol. 39: 1272-1276.",
56,Azithromycin,83905-01-5,33,10,0.88,57,69,"Luke DR, Foulds G, Cohen SF, and Levy B (1996) Safety, toleration, and pharmacokinetics of intravenous azithromycin.  Antimic. Ag. Chemother.  40: 2577-2581.  Foulds G, Shepard RM, and Johnson RB (1990) The pharmacokinetics of azithromycin in human serum and tissues.  J. Antimic. Chemother. 25(Suppl. A):  73-82.",Protein binding is concentration dependent; cited value measured at concentrations observed after IV dosing.
57,Azlocillin,37091-66-0,0.26,2.5,0.65,1.7,1.2,"Haen E, Remien J, Richter E, Frank U, and Adam D (1985) Uber die bedeutung der applikationsgeschwindigkeit fur die pharmakokinetischen parameter von azlocillin und mexlocillin.    Arz. Forsch. 35: 864-868.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.",Pharmacokinetic parameters were calculated from C vs t data provided in the reference.
58,Aztreonam,78110-38-0,0.18,1.5,0.40,2.1,1.5,"Burgess DS, Summers KK, and HardinTC (1999) Pharmacokinetics and pharmacodynamics of aztreonam administered by continuous intravenous infusion.  Clin. Ther. 21: 1882-1889.  Swabb EA, Sugerman A, Frantz M, Platt TB, and Stern M (1983) Renal handling of the monobactam azthreonam in healthy subjects.  Clin. Pharmacol. Ther. 33: 609-614.",
59,Bambuterol,81732-65-2,1.6,18,NF,1.4,2.6,"Nyberg L, Rosenborg J, Weibull E, Jonsson S, Kennedy BM, and Nilsson M (1998) Pharmacokinetics of bambuterol in healthy subjects.   Br. J. Clin. Pharmacol. 45: 471-478.",
60,BB 83698,325795-25-3,1.1,3.1,NF,5.9,9.4,"Ramanathan-Girish S, McColm J, Clements JM, Taupin P, Barrowcliffe S, Hevizi J, Safrin S, Moore C, Patou G, Moser H, Gadd A, Hoch U, Jiang V, Lofland D, and Johnson KW (2004) Pharmacokinetics in animals and humans of a first-in-class peptide deformylase inhibitor.    Antimic. Ag. Chemother. 48: 4835-4842.",
61,Beclomethasone dipropionate,5534-09-8,0.29,36,0.13,0.10,0.50,"Daley-Yates PT, Price AC, Sisson JR, Pereira A, and Dallow N (2001)  Beclomethasone dipropionate: absolute bioavailability, pharmacokinetics and metabolism following intravenous, oral, intranasal and inhaled administration in man.    Br. J.. Clin. Pharmacol.  51: 400-409.  Beconase AQ Product Label",
62,Benperidol,2062-84-2,3.8,8.3,NF,7.5,5.8,"Seiler W, Wetzel H, Hillert A, Schoellnhammer G, Langer M, Barlage U, and Hiemke C (1994) Pharmacokinetics and bioavailability of benperidol in schizophrenic patients after intravenous and two different kinds of oral application.  Psychopharmacology 116: 457-463.",
63,Betamethasone,378-44-9,1.3,2.8,0.36,7.9,5.6,"Petersen MC, Nation RL, McBride WG, Ashley JJ, and Moore RG (1983) Pharmacokinetics of betamethasone in healthy adults after intravenous administration.  Eur. J. Clin. Pharmacol. 25: 643-650. ",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.
64,Betamipron,3440-28-6,0.28,9.2,0.17,0.51,0.59,"Saito A (1991) Pharmacokinetics of panipenem/betamipron.  Chemotherapy (Tokyo)  39(Suppl. 3): 227-235.  Kurihara A, Naganuma H, Hisaoka M, Tokiwa H, and Kawahara Y (1992) Prediction of human pharmacokinetics of panipenem-betamipron, a new carbapenem, from animal data.    Antimic. Ag. Chemother. 36: 1810-1816.",VDss calculated from C vs t data provided in the reference.
65,Betaxolol,63659-18-7,4.8,3.4,0.40,24,17,"Ludden TM, Boyle DA, Gieseker D, Kennedy GT, Crawford MH, Ludden LK, and Clementi WA (1988) Absolute bioavailability and dose proportionality of betaxolol in normal healthy subjects.  J. Pharm. Sci. 77: 779-783.  Henry JA and Mitchell SN (1981) Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",
66,Bevantolol,59170-23-9,0.67,5.5,0.015,2.0,1.9,"McNeil JJ, Drummer OH, Anderson AIE, and Louis WJ (1986) Pharmacokinetics and concentration-effect relationships of bevantolol (CI-775) in normal volunteers.  J. Cardiovasc. Pharmacol. 8: 1201-1207.  Ichikawa M, Haruki S, Esumi Y, Takaichi M, Seki H, and Shiina M (1992) Metabolic fate of bevantolol hydrochloride.  Absorption, distribution and excretion in rats and dogs after single oral administration.  Yakuri to Chiryo 20: 1695-1708. ",VDss calculated from reported microconstants.
