Compound,Class,Set
Alprenolol,P-,Training
Ambroxol,P-,Training
Amfetamine,P-,Training
Amiflamine,P-,Training
Aminopyrine,P-,Training
Amodiaquine,P-,Training
Amoxapine,P-,Training
Amprenavir,P-,Training
Aniline,P-,Training
Anthraquinone,P-,Training
Apomorphine,P-,Training
Aprepitant,P-,Training
Aprindine,P-,Training
Argatroban,P-,Training
Aripiprazole,P-,Training
Artemisinin,P-,Training
Artesunate,P-,Training
Atomoxetine,P-,Training
Avasimibe,P-,Training
Avitriptan,P-,Training
Azacyclonol,P-,Training
Azamulin,P-,Training
Azatadine,P-,Training
Azimilide,P-,Training
Azithromycin,P-,Training
Benzene,P-,Training
Benzfetamine,P-,Training
Benzydamine,P-,Training
Bepridil,P-,Training
Betamethasone,P-,Training
Betaxolol,P-,Training
Bexarotene,P-,Training
Bezafibrate,P-,Training
Bifluranol,P-,Training
Bifonazole,P-,Training
Biperiden,P-,Training
Boldenone,P-,Training
Bortezomib,P-,Training
Bosentan,P-,Training
Brinzolamide,P-,Training
Brofaromine,P-,Training
Bromazepam,P-,Training
Bromocriptine,P-,Training
Bromperidol,P-,Training
Bropirimine,P-,Training
Brotizolam,P-,Training
Budesonide,P-,Training
Budipine,P-,Training
Buflomedil,P-,Training
Bufuralol,P-,Training
Bupivacaine,P-,Training
Bupranolol,P-,Training
Bupropion,P-,Training
Busulfan,P-,Training
Caffeine,P-,Training
Calcium folinate,P-,Training
Capravirine,P-,Training
Captopril,P-,Training
Carbaril,P-,Training
Carbimazole,P-,Training
Carisoprodol,P-,Training
Carteolol,P-,Training
Carvedilol,P-,Training
Cathinone,P-,Training
Celecoxib,P-,Training
Cevimeline,P-,Training
Chenodeoxycholic acid,P-,Training
Chloral hydrate,P-,Training
Chlordiazepoxide,P-,Training
Chlormadinone,P-,Training
Chlorphenamine,P-,Training
Chlorproguanil,P-,Training
Chlorpyrifos,P-,Training
Chlorzoxazone,P-,Training
Cibenzoline,P-,Training
Ciclosporin,P-,Training
Cilostazol,P-,Training
Ciprofibrate,P-,Training
Ciprofloxacin,P-,Training
Clarithromycin,P-,Training
Clemastine,P-,Training
Clindamycin,P-,Training
Clofazimine,P-,Training
Clofibrate,P-,Training
Clofibric acid,P-,Training
Clomethiazole,P-,Training
Clomipramine,P-,Training
Cocaine,P-,Training
Codeine,P-,Training
Colestyramine,P-,Training
Corticosterone,P-,Training
Cortisone,P-,Training
Cotinine,P-,Training
Coumarin,P-,Training
Cyclobenzaprine,P-,Training
Cyclophosphamide,P-,Training
Cyproterone,P-,Training
Dacarbazine,P-,Training
Dalfopristin,P-,Training
Danazol,P-,Training
Dantrolene,P-,Training
Dapsone,P-,Training
Daunorubicin,P-,Training
Dazoxiben,P-,Training
Debrisoquine,P-,Training
Delapril,P-,Training
Demethylcitalopram,P-,Training
Desogestrel,P-,Training
Dextromethorphan,P-,Training
Dextrorphan,P-,Training
Dieldrin,P-,Training
Diethylcarbamazine,P-,Training
Diethylstilbestrol,P-,Training
Difloxacin,P-,Training
Digitoxin,P-,Training
Digoxin,P-,Training
Dihydralazine,P-,Training
Dihydroergotamine,P-,Training
Diosmin,P-,Training
Diphenhydramine,P-,Training
Diprafenone,P-,Training
Dirithromycin,P-,Training
Disopyramide,P-,Training
Disulfamide,P-,Training
Ditiocarb sodium,P-,Training
Docetaxel,P-,Training
Dofetilide,P-,Training
Dolasetron,P-,Training
Donepezil,P-,Training
Dorzolamide,P-,Training
Doxepin,P-,Training
Doxycycline,P-,Training
Dronabinol,P-,Training
Dutasteride,P-,Training
Ebastine,P-,Training
Ebrotidine,P-,Training
Ecabapide,P-,Training
Econazole,P-,Training
Efonidipine,P-,Training
Eletriptan,P-,Training
Emedastine,P-,Training
Emivirine,P-,Training
Enalapril,P-,Training
Encainide,P-,Training
Enflurane,P-,Training
Epinastine,P-,Training
Eplerenone,P-,Training
Ergotamine,P-,Training
Estradiol,P-,Training
Ethinylestradiol,P-,Training
Ethosuximide,P-,Training
Ethylbenzene,P-,Training
Ethylmorphine,P-,Training
Etomidate,P-,Training
Etonogestrel,P-,Training
Etoperidone,P-,Training
Etoposide,P-,Training
Everolimus,P-,Training
Exemestane,P-,Training
Ezlopitant,P-,Training
Fadrozole,P-,Training
Famotidine,P-,Training
Felbamate,P-,Training
Fenfluramine,P-,Training
Fenofibrate,P-,Training
Fentanyl,P-,Training
Fexofenadine,P-,Training
Finasteride,P-,Training
Flecainide,P-,Training
Flosequinan,P-,Training
Flucloxacillin,P-,Training
Flufenamic acid,P-,Training
Flunarizine,P-,Training
Flunitrazepam,P-,Training
Fluparoxan,P-,Training
Fluperlapine,P-,Training
Fluphenazine,P-,Training
Flurazepam,P-,Training
Flurithromycin,P-,Training
Flutamide,P-,Training
Fluticasone,P-,Training
Fosphenytoin,P-,Training
Frovatriptan,P-,Training
Furafylline,P-,Training
Galantamine,P-,Training
Gallopamil,P-,Training
Ganaxolone,P-,Training
Gatifloxacin,P-,Training
Gefitinib,P-,Training
Gepirone,P-,Training
Gestodene,P-,Training
Gliclazide,P-,Training
Glimepiride,P-,Training
Glipizide,P-,Training
Glyceryl trinitrate,P-,Training
Granisetron,P-,Training
Griseofulvin,P-,Training
Guanabenz,P-,Training
Guanoxan,P-,Training
Halofantrine,P-,Training
Halothane,P-,Training
Hexobarbital,P-,Training
Hydralazine,P-,Training
Hydrocodone,P-,Training
Hydroxyamfetamine,P-,Training
Hydroxychloroquine,P-,Training
Hydroxyzine,P-,Training
Ibutilide,P-,Training
Ifosfamide,P-,Training
Iloperidone,P-,Training
Imipramine,P-,Training
Imiquimod,P-,Training
Isbogrel,P-,Training
Isoflurane,P-,Training
Isosorbide dinitrate,P-,Training
Ivermectin,P-,Training
Josamycin,P-,Training
Ketamine,P-,Training
Labetalol,P-,Training
Lacidipine,P-,Training
Lercanidipine,P-,Training
Letrozole,P-,Training
Levacetylmethadol,P-,Training
Levobupivacaine,P-,Training
Levomepromazine,P-,Training
Levothyroxine sodium,P-,Training
Liarozole,P-,Training
Lidocaine,P-,Training
Lilopristone,P-,Training
Linezolid,P-,Training
Liothyronine,P-,Training
Lisofylline,P-,Training
Lisuride,P-,Training
Lomefloxacin,P-,Training
Lomustine,P-,Training
Losigamone,P-,Training
Lumefantrine,P-,Training
Malathion,P-,Training
Maprotiline,P-,Training
m-Chlorophenylpiperazine,P-,Training
Mebendazole,P-,Training
Medazepam,P-,Training
Medroxyprogesterone,P-,Training
Mefloquine,P-,Training
Mepacrine,P-,Training
Mepyramine,P-,Training
Mequitazine,P-,Training
Metamfetamine,P-,Training
Methaqualone,P-,Training
Methiocarb,P-,Training
Methomyl,P-,Training
Methoxyflurane,P-,Training
Methylergometrine,P-,Training
Methylphenobarbital,P-,Training
Methylprednisolone,P-,Training
Metyrapone,P-,Training
Mevastatin,P-,Training
Mexazolam,P-,Training
Mibefradil,P-,Training
Midecamycin,P-,Training
Mifepristone,P-,Training
Milameline,P-,Training
Milnacipran,P-,Training
Minaprine,P-,Training
Minoxidil,P-,Training
Mirtazapine,P-,Training
Mitoxantrone,P-,Training
Montelukast,P-,Training
Moracizine,P-,Training
Mosapride,P-,Training
Nafcillin,P-,Training
Nalidixic acid,P-,Training
Naproxen,P-,Training
Nefazodone,P-,Training
Nefiracetam,P-,Training
Nevirapine,P-,Training
Niclosamide,P-,Training
Niludipine,P-,Training
Nilvadipine,P-,Training
Nimorazole,P-,Training
Nisoldipine,P-,Training
Nitrosamine,P-,Training
Norcodeine,P-,Training
Nordazepam,P-,Training
Norethisterone,P-,Training
Norfloxacin,P-,Training
Nortriptyline,P-,Training
Ofloxacin,P-,Training
Olopatadine,P-,Training
Oltipraz,P-,Training
Omapatrilat,P-,Training
Opipramol,P-,Training
Oxamniquine,P-,Training
Oxcarbazepine,P-,Training
Oxiconazole,P-,Training
Oxodipine,P-,Training
Oxybutynin,P-,Training
Paclitaxel,P-,Training
Pantoprazole,P-,Training
Papaverine,P-,Training
Pargyline,P-,Training
Pefloxacin,P-,Training
Pentamidine,P-,Training
Pentazocine,P-,Training
Pergolide,P-,Training
Perhexiline,P-,Training
Pethidine,P-,Training
Phenacetin,P-,Training
Phenazone,P-,Training
Phencyclidine,P-,Training
Phenformin,P-,Training
Phenol,P-,Training
Phensuximide,P-,Training
Pilocarpine,P-,Training
Pimozide,P-,Training
Pinacidil,P-,Training
Plomestane,P-,Training
Pramipexole,P-,Training
Pranidipine,P-,Training
Prasterone,P-,Training
Praziquantel,P-,Training
Prednisone,P-,Training
Pregnenolone,P-,Training
Primaquine,P-,Training
Primidone,P-,Training
Procainamide,P-,Training
Promazine,P-,Training
Propafenone,P-,Training
Propranolol,P-,Training
Pyrantel,P-,Training
Pyridostigmine bromide,P-,Training
Quinelorane,P-,Training
Quinine,P-,Training
Quinupristin,P-,Training
Raloxifene,P-,Training
Ranitidine,P-,Training
Ranolazine,P-,Training
Remacemide,P-,Training
Remoxipride,P-,Training
Repaglinide,P-,Training
Reserpine,P-,Training
Resiquimod,P-,Training
Rifabutin,P-,Training
Rifampicin,P-,Training
Rifamycin,P-,Training
Rifapentine,P-,Training
Riluzole,P-,Training
Risperidone,P-,Training
Rofecoxib,P-,Training
Rogletimide,P-,Training
Rokitamycin,P-,Training
Ropinirole,P-,Training
Roquinimex,P-,Training
Rosuvastatin,P-,Training
Roxatidine,P-,Training
Roxithromycin,P-,Training
Rupatadine,P-,Training
Salbutamol,P-,Training
Salicylic acid,P-,Training
Salmeterol,P-,Training
Secobarbital,P-,Training
Sertindole,P-,Training
Sevoflurane,P-,Training
Sibutramine,P-,Training
Sirolimus,P-,Training
Sparteine,P-,Training
Spironolactone,P-,Training
Sufentanil,P-,Training
Sulfasalazine,P-,Training
Sulpiride,P-,Training
Tacrine,P-,Training
Tacrolimus,P-,Training
Tadalafil,P-,Training
Tamsulosin,P-,Training
Tasosartan,P-,Training
Tauromustine,P-,Training
Tazanolast,P-,Training
Tazofelone,P-,Training
Tecastemizole,P-,Training
Tegafur,P-,Training
Telmisartan,P-,Training
Temazepam,P-,Training
Tenofovir,P-,Training
Terbinafine,P-,Training
Testolactone,P-,Training
Thalidomide,P-,Training
Theobromine,P-,Training
Theophylline,P-,Training
Thioridazine,P-,Training
Thiotepa,P-,Training
Tiagabine,P-,Training
Tiaramide,P-,Training
Timolol,P-,Training
Timoprazole,P-,Training
Tinidazole,P-,Training
Tiotixene,P-,Training
Tipranavir,P-,Training
Tirilazad,P-,Training
Tocainide,P-,Training
Tolperisone,P-,Training
Tolterodine,P-,Training
Toluene,P-,Training
Topiramate,P-,Training
Torasemide,P-,Training
Toremifene,P-,Training
Trapidil,P-,Training
Trazodone,P-,Training
Tretinoin,P-,Training
Triazolam,P-,Training
Trichloroethylene,P-,Training
Trichloromethane,P-,Training
Trifluperidol,P-,Training
Trimetazidine,P-,Training
Trimethadione,P-,Training
Trimetrexate,P-,Training
Trimipramine,P-,Training
Tripelennamine,P-,Training
Triprolidine,P-,Training
Trofosfamide,P-,Training
Troleandomycin,P-,Training
Trospium chloride,P-,Training
Valspodar,P-,Training
Vanoxerine,P-,Training
Venlafaxine,P-,Training
Vesnarinone,P-,Training
Vincristine,P-,Training
Vindesine,P-,Training
Vinorelbine,P-,Training
Vorozole,P-,Training
Yohimbine,P-,Training
Zaleplon,P-,Training
Zatosetron,P-,Training
Zidovudine,P-,Training
Ziprasidone,P-,Training
Zolmitriptan,P-,Training
Zonisamide,P-,Training
Zopiclone,P-,Training
Zotepine,P-,Training
Zoxazolamine,P-,Training
Zuclopenthixol,P-,Training
Benidipine,P+,Validation
Carbamazepine,P+,Validation
Ketoprofen,P+,Validation
Lopinavir,P+,Validation
Lornoxicam,P+,Validation
Losartan,P+,Validation
Meloxicam,P+,Validation
Norfluoxetine,P+,Validation
Pioglitazone,P+,Validation
Stiripentol,P+,Validation
Sulconazole,P+,Validation
Sulfadiazine,P+,Validation
Sulfadoxine,P+,Validation
Sulfamerazine,P+,Validation
Sulfamethizole,P+,Validation
Sulfatroxazole,P+,Validation
Sulindac,P+,Validation
Warfarin,P+,Validation
Abiraterone,P-,Validation
Alfentanil,P-,Validation
Almotriptan,P-,Validation
Alprazolam,P-,Validation
Amifloxacin,P-,Validation
Aminoglutethimide,P-,Validation
Aranidipine,P-,Validation
Atamestane,P-,Validation
Beclometasone,P-,Validation
Bisoprolol,P-,Validation
Bunitrolol,P-,Validation
Buspirone,P-,Validation
Cetirizine,P-,Validation
Chloroquine,P-,Validation
Cinnarizine,P-,Validation
Cisapride,P-,Validation
Clonazepam,P-,Validation
Cortisol,P-,Validation
Desipramine,P-,Validation
Dexamethasone,P-,Validation
Diazepam,P-,Validation
Dihydrocodeine,P-,Validation
Dipotassium clorazepate,P-,Validation
Domperidone,P-,Validation
Doxorubicin,P-,Validation
Enoxacin,P-,Validation
Ergometrine,P-,Validation
Erythromycin,P-,Validation
Estrone,P-,Validation
Ethotoin,P-,Validation
Grepafloxacin,P-,Validation
Haloperidol,P-,Validation
Homochlorcyclizine,P-,Validation
Hydrocortisone,P-,Validation
Hydroquinidine,P-,Validation
Indoramin,P-,Validation
Isoconazole,P-,Validation
Levofloxacin,P-,Validation
Levonorgestrel,P-,Validation
Litoxetine,P-,Validation
Lobeline,P-,Validation
Medifoxamine,P-,Validation
Mestranol,P-,Validation
Methadone,P-,Validation
Methylphenidate,P-,Validation
Metoclopramide,P-,Validation
Metoprolol,P-,Validation
Mexiletine,P-,Validation
Mianserin,P-,Validation
Molindone,P-,Validation
Morphine,P-,Validation
Nicotine,P-,Validation
Nilutamide,P-,Validation
Onapristone,P-,Validation
Oxomemazine,P-,Validation
Oxprenolol,P-,Validation
Oxycodone,P-,Validation
Paracetamol,P-,Validation
Paraxanthine,P-,Validation
Penbutolol,P-,Validation
Pentobarbital,P-,Validation
Pentoxifylline,P-,Validation
Perospirone,P-,Validation
Phenobarbital,P-,Validation
Pilsicainide,P-,Validation
Pimobendan,P-,Validation
Pindolol,P-,Validation
Pipemidic acid,P-,Validation
Prednisolone,P-,Validation
Proguanil,P-,Validation
Promethazine,P-,Validation
Reboxetine,P-,Validation
Ropivacaine,P-,Validation
Styrene,P-,Validation
Terguride,P-,Validation
Testosterone,P-,Validation
Tetracycline,P-,Validation
Tramadol,P-,Validation
Tranylcypromine,P-,Validation
Trifluoperazine,P-,Validation
Tropisetron,P-,Validation
Vinblastine,P-,Validation
