Compound,Class,Set
Loratadine,P+,Training
Lovastatin,P+,Training
Maprotiline,P+,Training
Mepacrine,P+,Training
Mepyramine,P+,Training
Methadone,P+,Training
Methoxsalen,P+,Training
Methylphenidate,P+,Training
Metoclopramide,P+,Training
Metoprolol,P+,Training
Mibefradil,P+,Training
Miconazole,P+,Training
Midazolam,P+,Training
Mifepristone,P+,Training
Mirtazapine,P+,Training
Mizolastine,P+,Training
Moclobemide,P+,Training
Nefazodone,P+,Training
Nelfinavir,P+,Training
Nicardipine,P+,Training
Niclosamide,P+,Training
Nifedipine,P+,Training
Olanzapine,P+,Training
Omeprazole,P+,Training
Ondansetron,P+,Training
Orphenadrine,P+,Training
Oxamniquine,P+,Training
Oxybutynin,P+,Training
Pargyline,P+,Training
Paroxetine,P+,Training
Pentamidine,P+,Training
Pergolide,P+,Training
Perhexiline,P+,Training
Perphenazine,P+,Training
Pimozide,P+,Training
Pindolol,P+,Training
Pramipexole,P+,Training
Pravastatin,P+,Training
Praziquantel,P+,Training
Primaquine,P+,Training
Proadifen,P+,Training
Promethazine,P+,Training
Propofol,P+,Training
Pyrimethamine,P+,Training
Quercetin,P+,Training
Ranitidine,P+,Training
Riluzole,P+,Training
Risperidone,P+,Training
Ritonavir,P+,Training
Ropinirole,P+,Training
Rosiglitazone,P+,Training
Saquinavir,P+,Training
Selegiline,P+,Training
Seratrodast,P+,Training
Sertindole,P+,Training
Sertraline,P+,Training
Simvastatin,P+,Training
Sparteine,P+,Training
Stiripentol,P+,Training
Tamoxifen,P+,Training
Tegaserod,P+,Training
Terbinafine,P+,Training
Terfenadine,P+,Training
Thiamazole,P+,Training
Thioridazine,P+,Training
Ticlopidine,P+,Training
Timolol,P+,Training
Tioconazole,P+,Training
Tolperisone,P+,Training
Trimethoprim,P+,Training
Trimipramine,P+,Training
Triprolidine,P+,Training
Troglitazone,P+,Training
Tropisetron,P+,Training
Trospium chloride,P+,Training
Valdecoxib,P+,Training
Valproic acid,P+,Training
Venlafaxine,P+,Training
Verapamil,P+,Training
Vinblastine,P+,Training
Vincristine,P+,Training
Yohimbine,P+,Training
Zafirlukast,P+,Training
Zileuton,P+,Training
Ziprasidone,P+,Training
Zolpidem,P+,Training
Abacavir,P-,Training
Abecarnil,P-,Training
Abiraterone,P-,Training
Aceclofenac,P-,Training
Acenocoumarol,P-,Training
Acetanilide,P-,Training
Acetazolamide,P-,Training
Acetone,P-,Training
Acetylsalicylic acid,P-,Training
Adinazolam,P-,Training
Albendazole,P-,Training
Alosetron,P-,Training
Alpidem,P-,Training
Ambroxol,P-,Training
Amfetamine,P-,Training
Amiflamine,P-,Training
Amifloxacin,P-,Training
Aminoglutethimide,P-,Training
Aminopyrine,P-,Training
Amodiaquine,P-,Training
Amprenavir,P-,Training
Anastrozole,P-,Training
Aniline,P-,Training
Anthraquinone,P-,Training
Apomorphine,P-,Training
Aprepitant,P-,Training
Aprindine,P-,Training
Argatroban,P-,Training
Aripiprazole,P-,Training
Artemisinin,P-,Training
Artesunate,P-,Training
Atazanavir,P-,Training
Atomoxetine,P-,Training
Atovaquone,P-,Training
Avasimibe,P-,Training
Avitriptan,P-,Training
Azamulin,P-,Training
Azapropazone,P-,Training
Azatadine,P-,Training
Azimilide,P-,Training
Azithromycin,P-,Training
Benzbromarone,P-,Training
Benzene,P-,Training
Benzfetamine,P-,Training
Benzydamine,P-,Training
Betamethasone,P-,Training
Bexarotene,P-,Training
Bezafibrate,P-,Training
Bifluranol,P-,Training
Bifonazole,P-,Training
Bisoprolol,P-,Training
Boldenone,P-,Training
Bortezomib,P-,Training
Bosentan,P-,Training
Brinzolamide,P-,Training
Brofaromine,P-,Training
Bromazepam,P-,Training
Bromocriptine,P-,Training
Bromperidol,P-,Training
Bropirimine,P-,Training
Brotizolam,P-,Training
Budesonide,P-,Training
Buflomedil,P-,Training
Bunitrolol,P-,Training
Busulfan,P-,Training
Caffeine,P-,Training
Calcium folinate,P-,Training
Candesartan,P-,Training
Capravirine,P-,Training
Captopril,P-,Training
Carbaril,P-,Training
Carbimazole,P-,Training
Carisoprodol,P-,Training
Carteolol,P-,Training
Carvedilol,P-,Training
Cetirizine,P-,Training
Cevimeline,P-,Training
Chenodeoxycholic acid,P-,Training
Chloral hydrate,P-,Training
Chlordiazepoxide,P-,Training
Chlormadinone,P-,Training
Chlorpyrifos,P-,Training
Chlorzoxazone,P-,Training
Cibenzoline,P-,Training
Ciclosporin,P-,Training
Cilnidipine,P-,Training
Cilostazol,P-,Training
Ciprofibrate,P-,Training
Clarithromycin,P-,Training
Clindamycin,P-,Training
Clofazimine,P-,Training
Clofibrate,P-,Training
Clofibric acid,P-,Training
Clomethiazole,P-,Training
Clopidogrel,P-,Training
Colchicine,P-,Training
Colestyramine,P-,Training
Corticosterone,P-,Training
Cortisone,P-,Training
Cotinine,P-,Training
Coumarin,P-,Training
Cyclobenzaprine,P-,Training
Cyproterone,P-,Training
Dacarbazine,P-,Training
Dalfopristin,P-,Training
Dantrolene,P-,Training
Dapsone,P-,Training
Daunorubicin,P-,Training
Dazoxiben,P-,Training
Desogestrel,P-,Training
Dexloxiglumide,P-,Training
Dextrorphan,P-,Training
Dicoumarol,P-,Training
Dieldrin,P-,Training
Diethylcarbamazine,P-,Training
Diethylstilbestrol,P-,Training
Difloxacin,P-,Training
Digitoxin,P-,Training
Digoxin,P-,Training
Dihydralazine,P-,Training
Dihydrocodeine,P-,Training
Dihydroergotamine,P-,Training
Diosmin,P-,Training
Diprafenone,P-,Training
Dirithromycin,P-,Training
Disopyramide,P-,Training
Disulfamide,P-,Training
Disulfiram,P-,Training
Ditiocarb sodium,P-,Training
Docetaxel,P-,Training
Dofetilide,P-,Training
Dolasetron,P-,Training
Domperidone,P-,Training
Dorzolamide,P-,Training
Doxycycline,P-,Training
Dronabinol,P-,Training
Drospirenone,P-,Training
Dutasteride,P-,Training
Ebastine,P-,Training
Ebrotidine,P-,Training
Ecabapide,P-,Training
Econazole,P-,Training
Efonidipine,P-,Training
Eletriptan,P-,Training
Emedastine,P-,Training
Enalapril,P-,Training
Encainide,P-,Training
Enflurane,P-,Training
Epinastine,P-,Training
Epinephrine,P-,Training
Eplerenone,P-,Training
Eprosartan,P-,Training
Ergotamine,P-,Training
Escitalopram,P-,Training
Estradiol,P-,Training
Ethanol,P-,Training
Ethosuximide,P-,Training
Ethotoin,P-,Training
Ethylbenzene,P-,Training
Ethylmorphine,P-,Training
Etomidate,P-,Training
Etonogestrel,P-,Training
Etoposide,P-,Training
Everolimus,P-,Training
Exemestane,P-,Training
Fadrozole,P-,Training
Famotidine,P-,Training
Felbamate,P-,Training
Fenfluramine,P-,Training
Fenofibrate,P-,Training
Fentanyl,P-,Training
Finasteride,P-,Training
Flosequinan,P-,Training
Flucloxacillin,P-,Training
Fluconazole,P-,Training
Flufenamic acid,P-,Training
Flunarizine,P-,Training
Flunitrazepam,P-,Training
Fluorouracil,P-,Training
Fluparoxan,P-,Training
Flurazepam,P-,Training
Flurbiprofen,P-,Training
Flurithromycin,P-,Training
Flutamide,P-,Training
Fluticasone,P-,Training
Fosphenytoin,P-,Training
Frovatriptan,P-,Training
Furafylline,P-,Training
Galantamine,P-,Training
Gallopamil,P-,Training
Ganaxolone,P-,Training
Gefitinib,P-,Training
Gemfibrozil,P-,Training
Gepirone,P-,Training
Gestodene,P-,Training
Glibenclamide,P-,Training
Gliclazide,P-,Training
Glimepiride,P-,Training
Glyceryl trinitrate,P-,Training
Granisetron,P-,Training
Grepafloxacin,P-,Training
Griseofulvin,P-,Training
Guanabenz,P-,Training
Guanoxan,P-,Training
Halothane,P-,Training
Hexobarbital,P-,Training
Homochlorcyclizine,P-,Training
Hydralazine,P-,Training
Hydrocodone,P-,Training
Hydroxyamfetamine,P-,Training
Ibuprofen,P-,Training
Ibutilide,P-,Training
Ifosfamide,P-,Training
Iloperidone,P-,Training
Imiquimod,P-,Training
Indometacin,P-,Training
Ipriflavone,P-,Training
Irinotecan,P-,Training
Isbogrel,P-,Training
Isoflurane,P-,Training
Isosorbide dinitrate,P-,Training
Isradipine,P-,Training
Itraconazole,P-,Training
Ivermectin,P-,Training
Josamycin,P-,Training
Ketamine,P-,Training
Lacidipine,P-,Training
Leflunomide,P-,Training
Letrozole,P-,Training
Levacetylmethadol,P-,Training
Levobupivacaine,P-,Training
Levofloxacin,P-,Training
Levothyroxine sodium,P-,Training
Liarozole,P-,Training
Linezolid,P-,Training
Liothyronine,P-,Training
Lisofylline,P-,Training
Litoxetine,P-,Training
Losigamone,P-,Training
Lumefantrine,P-,Training
Malathion,P-,Training
m-Chlorophenylpiperazine,P-,Training
Medazepam,P-,Training
Medifoxamine,P-,Training
Medroxyprogesterone,P-,Training
Mefenamic acid,P-,Training
Mefloquine,P-,Training
Mephenytoin,P-,Training
Mequitazine,P-,Training
Mestranol,P-,Training
Metamfetamine,P-,Training
Methaqualone,P-,Training
Methiocarb,P-,Training
Methomyl,P-,Training
Methoxyflurane,P-,Training
Methylergometrine,P-,Training
Methylprednisolone,P-,Training
Metronidazole,P-,Training
Mevastatin,P-,Training
Mexazolam,P-,Training
Midecamycin,P-,Training
Milameline,P-,Training
Milnacipran,P-,Training
Minaprine,P-,Training
Minoxidil,P-,Training
Mitoxantrone,P-,Training
Molindone,P-,Training
Montelukast,P-,Training
Moracizine,P-,Training
Mosapride,P-,Training
Nafcillin,P-,Training
Naproxen,P-,Training
Nateglinide,P-,Training
Nefiracetam,P-,Training
Nevirapine,P-,Training
Niludipine,P-,Training
Nimodipine,P-,Training
Nimorazole,P-,Training
Nisoldipine,P-,Training
Nitrendipine,P-,Training
Nitrosamine,P-,Training
Norcodeine,P-,Training
Nordazepam,P-,Training
Norethisterone,P-,Training
Norfloxacin,P-,Training
Ofloxacin,P-,Training
Olopatadine,P-,Training
Oltipraz,P-,Training
Omapatrilat,P-,Training
Onapristone,P-,Training
Oxcarbazepine,P-,Training
Oxiconazole,P-,Training
Oxodipine,P-,Training
Oxomemazine,P-,Training
Paclitaxel,P-,Training
Pantoprazole,P-,Training
Papaverine,P-,Training
Parathion,P-,Training
Parecoxib,P-,Training
Penbutolol,P-,Training
Pentazocine,P-,Training
Perospirone,P-,Training
Pethidine,P-,Training
Phenacetin,P-,Training
Phenazone,P-,Training
Phencyclidine,P-,Training
Phenformin,P-,Training
Phenobarbital,P-,Training
Phenol,P-,Training
Phenylbutazone,P-,Training
Phenytoin,P-,Training
Pilocarpine,P-,Training
Pimobendan,P-,Training
Pinacidil,P-,Training
Pioglitazone,P-,Training
Pipemidic acid,P-,Training
Piroxicam,P-,Training
Plomestane,P-,Training
Pranidipine,P-,Training
Prasterone,P-,Training
Prednisone,P-,Training
Pregnenolone,P-,Training
Probenecid,P-,Training
Procainamide,P-,Training
Proguanil,P-,Training
Promazine,P-,Training
Propanol,P-,Training
Pyrantel,P-,Training
Pyridostigmine bromide,P-,Training
Quetiapine,P-,Training
Quinelorane,P-,Training
Quinupristin,P-,Training
Rabeprazole,P-,Training
Raloxifene,P-,Training
Ranolazine,P-,Training
Rebamipide,P-,Training
Remacemide,P-,Training
Remoxipride,P-,Training
Repaglinide,P-,Training
Reserpine,P-,Training
Resiquimod,P-,Training
Rifabutin,P-,Training
Rifampicin,P-,Training
Rifamycin,P-,Training
Rifapentine,P-,Training
Rofecoxib,P-,Training
Rokitamycin,P-,Training
Ropivacaine,P-,Training
Roquinimex,P-,Training
Rosuvastatin,P-,Training
Roxatidine,P-,Training
Roxithromycin,P-,Training
Rupatadine,P-,Training
Salbutamol,P-,Training
Salicylic acid,P-,Training
Salmeterol,P-,Training
Secobarbital,P-,Training
Sevoflurane,P-,Training
Sibutramine,P-,Training
Sildenafil,P-,Training
Sirolimus,P-,Training
Spironolactone,P-,Training
Sufentanil,P-,Training
Sulfadimethoxine,P-,Training
Sulfadimidine,P-,Training
Sulfafurazole,P-,Training
Sulfamethoxazole,P-,Training
Sulfamoxole,P-,Training
Sulfanilamide,P-,Training
Sulfaphenazole,P-,Training
Sulfapyridine,P-,Training
Sulfasalazine,P-,Training
Sulfinpyrazone,P-,Training
Sulpiride,P-,Training
Suprofen,P-,Training
Tacrine,P-,Training
Tacrolimus,P-,Training
Tadalafil,P-,Training
Tamsulosin,P-,Training
Tasosartan,P-,Training
Tauromustine,P-,Training
Tazofelone,P-,Training
Tecastemizole,P-,Training
Tegafur,P-,Training
Telmisartan,P-,Training
Temazepam,P-,Training
Teniposide,P-,Training
Tenofovir,P-,Training
Tenoxicam,P-,Training
Terguride,P-,Training
Tezosentan,P-,Training
Thalidomide,P-,Training
Theobromine,P-,Training
Theophylline,P-,Training
Thiotepa,P-,Training
Tiabendazole,P-,Training
Tiagabine,P-,Training
Tiaramide,P-,Training
Tienilic acid,P-,Training
Timoprazole,P-,Training
Tinidazole,P-,Training
Tiotixene,P-,Training
Tipranavir,P-,Training
Tirilazad,P-,Training
Tocainide,P-,Training
Tolbutamide,P-,Training
Tolcapone,P-,Training
Tolterodine,P-,Training
Toluene,P-,Training
Topiramate,P-,Training
Torasemide,P-,Training
Toremifene,P-,Training
Tramadol,P-,Training
Trapidil,P-,Training
Trazodone,P-,Training
Tretinoin,P-,Training
Triazolam,P-,Training
Trichloroethylene,P-,Training
Trichloromethane,P-,Training
Trifluoperazine,P-,Training
Trifluperidol,P-,Training
Trimetazidine,P-,Training
Trimethadione,P-,Training
Trimetrexate,P-,Training
Trofosfamide,P-,Training
Troleandomycin,P-,Training
Valsartan,P-,Training
Valspodar,P-,Training
Vanoxerine,P-,Training
Vesnarinone,P-,Training
Vindesine,P-,Training
Voriconazole,P-,Training
Warfarin,P-,Training
Zaleplon,P-,Training
Zatosetron,P-,Training
Zidovudine,P-,Training
Zolmitriptan,P-,Training
Zonisamide,P-,Training
Zopiclone,P-,Training
Zotepine,P-,Training
Zoxazolamine,P-,Training
Zuclopenthixol,P-,Training
Benidipine,P+,Validation
Biperiden,P+,Validation
Fexofenadine,P+,Validation
Fluperlapine,P+,Validation
Hydroxychloroquine,P+,Validation
Imipramine,P+,Validation
Lobeline,P+,Validation
Lopinavir,P+,Validation
Manidipine,P+,Validation
Mianserin,P+,Validation
Norfluoxetine,P+,Validation
Nortriptyline,P+,Validation
Oxprenolol,P+,Validation
Propafenone,P+,Validation
Propranolol,P+,Validation
Quinine,P+,Validation
Reboxetine,P+,Validation
Sulconazole,P+,Validation
Tripelennamine,P+,Validation
Vinorelbine,P+,Validation
Alfentanil,P-,Validation
Alprazolam,P-,Validation
Aranidipine,P-,Validation
Atamestane,P-,Validation
Beclometasone,P-,Validation
Bupivacaine,P-,Validation
Buspirone,P-,Validation
Carbamazepine,P-,Validation
Chlorproguanil,P-,Validation
Cinnarizine,P-,Validation
Ciprofloxacin,P-,Validation
Clonazepam,P-,Validation
Cortisol,P-,Validation
Cyclophosphamide,P-,Validation
Danazol,P-,Validation
Delapril,P-,Validation
Demethylcitalopram,P-,Validation
Dexamethasone,P-,Validation
Diazepam,P-,Validation
Diclofenac,P-,Validation
Dipotassium clorazepate,P-,Validation
Donepezil,P-,Validation
Doxepin,P-,Validation
Emivirine,P-,Validation
Enoxacin,P-,Validation
Ergometrine,P-,Validation
Estrone,P-,Validation
Ethinylestradiol,P-,Validation
Gatifloxacin,P-,Validation
Glipizide,P-,Validation
Hydrocortisone,P-,Validation
Indoramin,P-,Validation
Irbesartan,P-,Validation
Isoconazole,P-,Validation
Ketoprofen,P-,Validation
Levonorgestrel,P-,Validation
Lilopristone,P-,Validation
Lisuride,P-,Validation
Lomefloxacin,P-,Validation
Lornoxicam,P-,Validation
Losartan,P-,Validation
Mebendazole,P-,Validation
Meloxicam,P-,Validation
Methylphenobarbital,P-,Validation
Metyrapone,P-,Validation
Mexiletine,P-,Validation
Modafinil,P-,Validation
Morphine,P-,Validation
Nalidixic acid,P-,Validation
Nicotine,P-,Validation
Nilutamide,P-,Validation
Nilvadipine,P-,Validation
Opipramol,P-,Validation
Oxycodone,P-,Validation
Paracetamol,P-,Validation
Paraxanthine,P-,Validation
Pefloxacin,P-,Validation
Pentobarbital,P-,Validation
Pentoxifylline,P-,Validation
Phenprocoumon,P-,Validation
Phensuximide,P-,Validation
Pilsicainide,P-,Validation
Prednisolone,P-,Validation
Primidone,P-,Validation
Progesterone,P-,Validation
Rogletimide,P-,Validation
Styrene,P-,Validation
Sulfadiazine,P-,Validation
Sulfadoxine,P-,Validation
Sulfamerazine,P-,Validation
Sulfamethizole,P-,Validation
Sulfatroxazole,P-,Validation
Sulindac,P-,Validation
Tazanolast,P-,Validation
Testolactone,P-,Validation
Testosterone,P-,Validation
Tetracycline,P-,Validation
Tranylcypromine,P-,Validation
Vorozole,P-,Validation
Zaltoprofen,P-,Validation
