Compound,Class,Set
Diethylstilbestrol,P-,Training
Difloxacin,P-,Training
Digitoxin,P-,Training
Digoxin,P-,Training
Dihydralazine,P-,Training
Dihydroergotamine,P-,Training
Dimethyl sulfoxide,P-,Training
Diosmin,P-,Training
Dipotassium clorazepate,P-,Training
Dirithromycin,P-,Training
Disopyramide,P-,Training
Disulfamide,P-,Training
Disulfiram,P-,Training
Ditiocarb sodium,P-,Training
Docetaxel,P-,Training
Dofetilide,P-,Training
Dorzolamide,P-,Training
Doxycycline,P-,Training
Dronabinol,P-,Training
Drospirenone,P-,Training
Dutasteride,P-,Training
Ebastine,P-,Training
Ebrotidine,P-,Training
Ecabapide,P-,Training
Econazole,P-,Training
Efavirenz,P-,Training
Efonidipine,P-,Training
Eletriptan,P-,Training
Enalapril,P-,Training
Enflurane,P-,Training
Entacapone,P-,Training
Epinephrine,P-,Training
Eplerenone,P-,Training
Eprosartan,P-,Training
Ergotamine,P-,Training
Erythromycin,P-,Training
Estrone,P-,Training
Ethanol,P-,Training
Ethinylestradiol,P-,Training
Ethosuximide,P-,Training
Ethylbenzene,P-,Training
Etomidate,P-,Training
Etonogestrel,P-,Training
Etoposide,P-,Training
Everolimus,P-,Training
Exemestane,P-,Training
Fadrozole,P-,Training
Famotidine,P-,Training
Felbamate,P-,Training
Felodipine,P-,Training
Fenofibrate,P-,Training
Fentanyl,P-,Training
Fexofenadine,P-,Training
Finasteride,P-,Training
Flosequinan,P-,Training
Flucloxacillin,P-,Training
Fluconazole,P-,Training
Flufenamic acid,P-,Training
Flunitrazepam,P-,Training
Fluorouracil,P-,Training
Fluparoxan,P-,Training
Flurazepam,P-,Training
Flurbiprofen,P-,Training
Flurithromycin,P-,Training
Flutamide,P-,Training
Fluticasone,P-,Training
Fosphenytoin,P-,Training
Frovatriptan,P-,Training
Furafylline,P-,Training
Gallopamil,P-,Training
Ganaxolone,P-,Training
Gefitinib,P-,Training
Gemfibrozil,P-,Training
Gestodene,P-,Training
Glibenclamide,P-,Training
Gliclazide,P-,Training
Glimepiride,P-,Training
Glyceryl trinitrate,P-,Training
Granisetron,P-,Training
Grepafloxacin,P-,Training
Griseofulvin,P-,Training
Guanabenz,P-,Training
Hexobarbital,P-,Training
Homochlorcyclizine,P-,Training
Hydralazine,P-,Training
Hydroxychloroquine,P-,Training
Hydroxyzine,P-,Training
Ibuprofen,P-,Training
Ibutilide,P-,Training
Ifosfamide,P-,Training
Imatinib,P-,Training
Imiquimod,P-,Training
Indometacin,P-,Training
Ipriflavone,P-,Training
Irbesartan,P-,Training
Irinotecan,P-,Training
Isbogrel,P-,Training
Isoflurane,P-,Training
Isoniazid,P-,Training
Isosorbide dinitrate,P-,Training
Isradipine,P-,Training
Itraconazole,P-,Training
Ivermectin,P-,Training
Josamycin,P-,Training
Ketoconazole,P-,Training
Ketoprofen,P-,Training
Lacidipine,P-,Training
Leflunomide,P-,Training
Letrozole,P-,Training
Levobupivacaine,P-,Training
Levofloxacin,P-,Training
Levomepromazine,P-,Training
Levothyroxine sodium,P-,Training
Liarozole,P-,Training
Lilopristone,P-,Training
Linezolid,P-,Training
Liothyronine,P-,Training
Lisofylline,P-,Training
Litoxetine,P-,Training
Lomustine,P-,Training
Lopinavir,P-,Training
Losigamone,P-,Training
Lovastatin,P-,Training
Lumefantrine,P-,Training
Malathion,P-,Training
Manidipine,P-,Training
Mebendazole,P-,Training
Medazepam,P-,Training
Medifoxamine,P-,Training
Medroxyprogesterone,P-,Training
Mefenamic acid,P-,Training
Mefloquine,P-,Training
Mepacrine,P-,Training
Mepyramine,P-,Training
Methaqualone,P-,Training
Methomyl,P-,Training
Methoxsalen,P-,Training
Methoxyflurane,P-,Training
Methylergometrine,P-,Training
Methylphenidate,P-,Training
Methylprednisolone,P-,Training
Metronidazole,P-,Training
Metyrapone,P-,Training
Mevastatin,P-,Training
Mexazolam,P-,Training
Mibefradil,P-,Training
Midecamycin,P-,Training
Mifepristone,P-,Training
Milnacipran,P-,Training
Minoxidil,P-,Training
Mitoxantrone,P-,Training
Moclobemide,P-,Training
Montelukast,P-,Training
Moracizine,P-,Training
Mosapride,P-,Training
Nafcillin,P-,Training
Nalidixic acid,P-,Training
Naproxen,P-,Training
Nateglinide,P-,Training
Nefazodone,P-,Training
Nefiracetam,P-,Training
Niclosamide,P-,Training
Niludipine,P-,Training
Nimodipine,P-,Training
Nimorazole,P-,Training
Nisoldipine,P-,Training
Nitrendipine,P-,Training
Nitrosamine,P-,Training
Norethisterone,P-,Training
Norfloxacin,P-,Training
Ofloxacin,P-,Training
Olopatadine,P-,Training
Oltipraz,P-,Training
Omapatrilat,P-,Training
Oxamniquine,P-,Training
Oxcarbazepine,P-,Training
Oxiconazole,P-,Training
Oxodipine,P-,Training
Oxprenolol,P-,Training
Oxybutynin,P-,Training
Paclitaxel,P-,Training
Pantoprazole,P-,Training
Parecoxib,P-,Training
Pargyline,P-,Training
Pefloxacin,P-,Training
Pentamidine,P-,Training
Pergolide,P-,Training
Phenazone,P-,Training
Phencyclidine,P-,Training
Phenobarbital,P-,Training
Phenol,P-,Training
Phenprocoumon,P-,Training
Phensuximide,P-,Training
Phenylbutazone,P-,Training
Pilocarpine,P-,Training
Pimozide,P-,Training
Pipemidic acid,P-,Training
Piroxicam,P-,Training
Plomestane,P-,Training
Pramipexole,P-,Training
Pranidipine,P-,Training
Prasterone,P-,Training
Pravastatin,P-,Training
Prednisolone,P-,Training
Primidone,P-,Training
Proadifen,P-,Training
Probenecid,P-,Training
Proguanil,P-,Training
Propanol,P-,Training
Pyridostigmine bromide,P-,Training
Pyrimethamine,P-,Training
Quercetin,P-,Training
Quinelorane,P-,Training
Quinine,P-,Training
Quinupristin,P-,Training
Rabeprazole,P-,Training
Raloxifene,P-,Training
Ranolazine,P-,Training
Rebamipide,P-,Training
Remacemide,P-,Training
Repaglinide,P-,Training
Reserpine,P-,Training
Resiquimod,P-,Training
Rifabutin,P-,Training
Rifampicin,P-,Training
Rifamycin,P-,Training
Rifapentine,P-,Training
Riluzole,P-,Training
Rofecoxib,P-,Training
Rokitamycin,P-,Training
Ropinirole,P-,Training
Roquinimex,P-,Training
Rosiglitazone,P-,Training
Rosuvastatin,P-,Training
Roxatidine,P-,Training
Roxithromycin,P-,Training
Rupatadine,P-,Training
Salbutamol,P-,Training
Salicylic acid,P-,Training
Salmeterol,P-,Training
Secobarbital,P-,Training
Seratrodast,P-,Training
Sevoflurane,P-,Training
Sibutramine,P-,Training
Sirolimus,P-,Training
Spironolactone,P-,Training
Sufentanil,P-,Training
Sulconazole,P-,Training
Sulfadimethoxine,P-,Training
Sulfadimidine,P-,Training
Sulfafurazole,P-,Training
Sulfamethoxazole,P-,Training
Sulfamoxole,P-,Training
Sulfanilamide,P-,Training
Sulfaphenazole,P-,Training
Sulfapyridine,P-,Training
Sulfasalazine,P-,Training
Sulfinpyrazone,P-,Training
Sulpiride,P-,Training
Tacrine,P-,Training
Tacrolimus,P-,Training
Tadalafil,P-,Training
Tasosartan,P-,Training
Tazanolast,P-,Training
Tazofelone,P-,Training
Tecastemizole,P-,Training
Tegafur,P-,Training
Telmisartan,P-,Training
Temazepam,P-,Training
Teniposide,P-,Training
Tenofovir,P-,Training
Tenoxicam,P-,Training
Terbinafine,P-,Training
Testolactone,P-,Training
Tezosentan,P-,Training
Thalidomide,P-,Training
Theobromine,P-,Training
Thiamazole,P-,Training
Thiotepa,P-,Training
Tiabendazole,P-,Training
Tiaramide,P-,Training
Ticlopidine,P-,Training
Tienilic acid,P-,Training
Timoprazole,P-,Training
Tinidazole,P-,Training
Tioconazole,P-,Training
Tiotixene,P-,Training
Tipranavir,P-,Training
Tirilazad,P-,Training
Tocainide,P-,Training
Tolbutamide,P-,Training
Tolcapone,P-,Training
Toluene,P-,Training
Topiramate,P-,Training
Torasemide,P-,Training
Toremifene,P-,Training
Tranylcypromine,P-,Training
Trapidil,P-,Training
Tretinoin,P-,Training
Trichloroethylene,P-,Training
Trifluoperazine,P-,Training
Trimetazidine,P-,Training
Trimethadione,P-,Training
Trimethoprim,P-,Training
Trimetrexate,P-,Training
Tripelennamine,P-,Training
Triprolidine,P-,Training
Trofosfamide,P-,Training
Troleandomycin,P-,Training
Trospium chloride,P-,Training
Valproic acid,P-,Training
Valspodar,P-,Training
Vanoxerine,P-,Training
Verapamil,P-,Training
Vesnarinone,P-,Training
Vinblastine,P-,Training
Vincristine,P-,Training
Vindesine,P-,Training
Voriconazole,P-,Training
Zafirlukast,P-,Training
Zaleplon,P-,Training
Zaltoprofen,P-,Training
Zatosetron,P-,Training
Zidovudine,P-,Training
Zileuton,P-,Training
Ziprasidone,P-,Training
Zolmitriptan,P-,Training
Zonisamide,P-,Training
Zopiclone,P-,Training
Zoxazolamine,P-,Training
Amitriptyline,P+,Validation
Bisoprolol,P+,Validation
Bromperidol,P+,Validation
Bufuralol,P+,Validation
Bunitrolol,P+,Validation
Carbamazepine,P+,Validation
Cinnarizine,P+,Validation
Demethylcitalopram,P+,Validation
Desipramine,P+,Validation
Dihydrocodeine,P+,Validation
Ethylmorphine,P+,Validation
Fluperlapine,P+,Validation
Gepirone,P+,Validation
Hydroxyamfetamine,P+,Validation
Indoramin,P+,Validation
Lisuride,P+,Validation
Methadone,P+,Validation
Mianserin,P+,Validation
Morphine,P+,Validation
Norfluoxetine,P+,Validation
Opipramol,P+,Validation
Oxycodone,P+,Validation
Perospirone,P+,Validation
Procainamide,P+,Validation
Promethazine,P+,Validation
Propranolol,P+,Validation
Ropivacaine,P+,Validation
Venlafaxine,P+,Validation
Zuclopenthixol,P+,Validation
Abiraterone,P-,Validation
Alfentanil,P-,Validation
Amifloxacin,P-,Validation
Aranidipine,P-,Validation
Atamestane,P-,Validation
Beclometasone,P-,Validation
Benidipine,P-,Validation
Cetirizine,P-,Validation
Chlorproguanil,P-,Validation
Ciprofloxacin,P-,Validation
Clarithromycin,P-,Validation
Clonazepam,P-,Validation
Corticosterone,P-,Validation
Delapril,P-,Validation
Desloratadine,P-,Validation
Dexamethasone,P-,Validation
Diazepam,P-,Validation
Diclofenac,P-,Validation
Domperidone,P-,Validation
Doxorubicin,P-,Validation
Emedastine,P-,Validation
Emivirine,P-,Validation
Enoxacin,P-,Validation
Ergometrine,P-,Validation
Ethotoin,P-,Validation
Gatifloxacin,P-,Validation
Glipizide,P-,Validation
Hydroquinidine,P-,Validation
Isoconazole,P-,Validation
Lansoprazole,P-,Validation
Lercanidipine,P-,Validation
Levonorgestrel,P-,Validation
Lobeline,P-,Validation
Lomefloxacin,P-,Validation
Lornoxicam,P-,Validation
Losartan,P-,Validation
Meloxicam,P-,Validation
Mephenytoin,P-,Validation
Mestranol,P-,Validation
Methylphenobarbital,P-,Validation
Miconazole,P-,Validation
Midazolam,P-,Validation
Modafinil,P-,Validation
Nilutamide,P-,Validation
Nilvadipine,P-,Validation
Nordazepam,P-,Validation
Onapristone,P-,Validation
Oxomemazine,P-,Validation
Paraxanthine,P-,Validation
Pentobarbital,P-,Validation
Pentoxifylline,P-,Validation
Pilsicainide,P-,Validation
Pimobendan,P-,Validation
Pioglitazone,P-,Validation
Prednisone,P-,Validation
Reboxetine,P-,Validation
Rogletimide,P-,Validation
Simvastatin,P-,Validation
Stiripentol,P-,Validation
Styrene,P-,Validation
Sulfadiazine,P-,Validation
Sulfadoxine,P-,Validation
Sulfamerazine,P-,Validation
Sulfamethizole,P-,Validation
Sulfatroxazole,P-,Validation
Sulindac,P-,Validation
Suprofen,P-,Validation
Tetracycline,P-,Validation
Triazolam,P-,Validation
Valsartan,P-,Validation
Vorozole,P-,Validation
