Compound,Class,Set
Dihydroergotamine,P+,Training
Diltiazem,P+,Training
Disopyramide,P+,Training
Docetaxel,P+,Training
Dofetilide,P+,Training
Dolasetron,P+,Training
Donepezil,P+,Training
Dorzolamide,P+,Training
Doxepin,P+,Training
Doxorubicin,P+,Training
Doxycycline,P+,Training
Dronabinol,P+,Training
Drospirenone,P+,Training
Dutasteride,P+,Training
Ebastine,P+,Training
Ecabapide,P+,Training
Efavirenz,P+,Training
Eletriptan,P+,Training
Emedastine,P+,Training
Emivirine,P+,Training
Enalapril,P+,Training
Epinastine,P+,Training
Eplerenone,P+,Training
Escitalopram,P+,Training
Estradiol,P+,Training
Ethanol,P+,Training
Ethinylestradiol,P+,Training
Ethosuximide,P+,Training
Ethylmorphine,P+,Training
Etonogestrel,P+,Training
Etoperidone,P+,Training
Etoposide,P+,Training
Etoricoxib,P+,Training
Everolimus,P+,Training
Exemestane,P+,Training
Ezlopitant,P+,Training
Felbamate,P+,Training
Felodipine,P+,Training
Fenofibrate,P+,Training
Fentanyl,P+,Training
Fexofenadine,P+,Training
Finasteride,P+,Training
Flosequinan,P+,Training
Flucloxacillin,P+,Training
Flunitrazepam,P+,Training
Fluoxetine,P+,Training
Flutamide,P+,Training
Fluticasone,P+,Training
Fluvastatin,P+,Training
Galantamine,P+,Training
Gallopamil,P+,Training
Ganaxolone,P+,Training
Gefitinib,P+,Training
Gemfibrozil,P+,Training
Gepirone,P+,Training
Gestodene,P+,Training
Glibenclamide,P+,Training
Glyceryl trinitrate,P+,Training
Granisetron,P+,Training
Halofantrine,P+,Training
Haloperidol,P+,Training
Halothane,P+,Training
Hydrocodone,P+,Training
Ifosfamide,P+,Training
Iloperidone,P+,Training
Imatinib,P+,Training
Imipramine,P+,Training
Imiquimod,P+,Training
Indinavir,P+,Training
Irinotecan,P+,Training
Isosorbide dinitrate,P+,Training
Isradipine,P+,Training
Itraconazole,P+,Training
Ivermectin,P+,Training
Ketamine,P+,Training
Ketoconazole,P+,Training
Lacidipine,P+,Training
Lansoprazole,P+,Training
Leflunomide,P+,Training
Lercanidipine,P+,Training
Letrozole,P+,Training
Levacetylmethadol,P+,Training
Levothyroxine sodium,P+,Training
Lidocaine,P+,Training
Lilopristone,P+,Training
Lisofylline,P+,Training
Loratadine,P+,Training
Losartan,P+,Training
Lovastatin,P+,Training
Lumefantrine,P+,Training
Medifoxamine,P+,Training
Mefloquine,P+,Training
Meloxicam,P+,Training
Methaqualone,P+,Training
Methiocarb,P+,Training
Methoxyflurane,P+,Training
Methylergometrine,P+,Training
Methylphenidate,P+,Training
Methylprednisolone,P+,Training
Metoclopramide,P+,Training
Mexazolam,P+,Training
Mibefradil,P+,Training
Miconazole,P+,Training
Midazolam,P+,Training
Mifepristone,P+,Training
Mirtazapine,P+,Training
Mizolastine,P+,Training
Modafinil,P+,Training
Montelukast,P+,Training
Morphine,P+,Training
Mosapride,P+,Training
Nateglinide,P+,Training
Nefiracetam,P+,Training
Nelfinavir,P+,Training
Nevirapine,P+,Training
Nicotine,P+,Training
Niludipine,P+,Training
Nilvadipine,P+,Training
Nimodipine,P+,Training
Nisoldipine,P+,Training
Nordazepam,P+,Training
Nortriptyline,P+,Training
Olopatadine,P+,Training
Orphenadrine,P+,Training
Oxodipine,P+,Training
Oxybutynin,P+,Training
Paclitaxel,P+,Training
Paracetamol,P+,Training
Parathion,P+,Training
Perphenazine,P+,Training
Phenacetin,P+,Training
Phenazone,P+,Training
Phencyclidine,P+,Training
Pimobendan,P+,Training
Pimozide,P+,Training
Pinacidil,P+,Training
Pioglitazone,P+,Training
Pranidipine,P+,Training
Prasterone,P+,Training
Pravastatin,P+,Training
Praziquantel,P+,Training
Prednisone,P+,Training
Pregnenolone,P+,Training
Primaquine,P+,Training
Progesterone,P+,Training
Proguanil,P+,Training
Promazine,P+,Training
Propafenone,P+,Training
Propofol,P+,Training
Propranolol,P+,Training
Quercetin,P+,Training
Quetiapine,P+,Training
Quinine,P+,Training
Rabeprazole,P+,Training
Rebamipide,P+,Training
Reboxetine,P+,Training
Repaglinide,P+,Training
Resiquimod,P+,Training
Rifabutin,P+,Training
Rifampicin,P+,Training
Risperidone,P+,Training
Ritonavir,P+,Training
Ropinirole,P+,Training
Ropivacaine,P+,Training
Roquinimex,P+,Training
Roxithromycin,P+,Training
Rupatadine,P+,Training
Salicylic acid,P+,Training
Salmeterol,P+,Training
Saquinavir,P+,Training
Selegiline,P+,Training
Seratrodast,P+,Training
Sertindole,P+,Training
Sertraline,P+,Training
Sevoflurane,P+,Training
Sibutramine,P+,Training
Sildenafil,P+,Training
Simvastatin,P+,Training
Sirolimus,P+,Training
Sufentanil,P+,Training
Sulfadiazine,P+,Training
Sulfamethoxazole,P+,Training
Sulfinpyrazone,P+,Training
Tacrolimus,P+,Training
Tadalafil,P+,Training
Tamsulosin,P+,Training
Tasosartan,P+,Training
Tauromustine,P+,Training
Tazofelone,P+,Training
Tecastemizole,P+,Training
Teniposide,P+,Training
Terguride,P+,Training
Testosterone,P+,Training
Theophylline,P+,Training
Tiagabine,P+,Training
Ticlopidine,P+,Training
Tinidazole,P+,Training
Tipranavir,P+,Training
Tirilazad,P+,Training
Tolcapone,P+,Training
Tolterodine,P+,Training
Toremifene,P+,Training
Tramadol,P+,Training
Trazodone,P+,Training
Tretinoin,P+,Training
Trichloroethylene,P+,Training
Trimethadione,P+,Training
Trimethoprim,P+,Training
Trimetrexate,P+,Training
Trimipramine,P+,Training
Trofosfamide,P+,Training
Troleandomycin,P+,Training
Valdecoxib,P+,Training
Valspodar,P+,Training
Verapamil,P+,Training
Vinblastine,P+,Training
Vincristine,P+,Training
Vindesine,P+,Training
Voriconazole,P+,Training
Warfarin,P+,Training
Zaleplon,P+,Training
Zatosetron,P+,Training
Zidovudine,P+,Training
Zileuton,P+,Training
Ziprasidone,P+,Training
Zolpidem,P+,Training
Zonisamide,P+,Training
Zopiclone,P+,Training
Abacavir,P-,Training
Abecarnil,P-,Training
Acebutolol,P-,Training
Aceclofenac,P-,Training
Acetanilide,P-,Training
Acetazolamide,P-,Training
Acetone,P-,Training
Acetylsalicylic acid,P-,Training
Ajmaline,P-,Training
Alprenolol,P-,Training
Amfetamine,P-,Training
Amiflamine,P-,Training
Aminoglutethimide,P-,Training
Amodiaquine,P-,Training
Aniline,P-,Training
Anthraquinone,P-,Training
Aprindine,P-,Training
Aranidipine,P-,Training
Artesunate,P-,Training
Atamestane,P-,Training
Atazanavir,P-,Training
Atovaquone,P-,Training
Avasimibe,P-,Training
Azacyclonol,P-,Training
Azamulin,P-,Training
Azapropazone,P-,Training
Azatadine,P-,Training
Azithromycin,P-,Training
Beclometasone,P-,Training
Benidipine,P-,Training
Benzbromarone,P-,Training
Benzene,P-,Training
Betamethasone,P-,Training
Betaxolol,P-,Training
Bifluranol,P-,Training
Bifonazole,P-,Training
Biperiden,P-,Training
Brofaromine,P-,Training
Bropirimine,P-,Training
Budipine,P-,Training
Buflomedil,P-,Training
Bupranolol,P-,Training
Calcium folinate,P-,Training
Candesartan,P-,Training
Capravirine,P-,Training
Captopril,P-,Training
Carbimazole,P-,Training
Carisoprodol,P-,Training
Carteolol,P-,Training
Cathinone,P-,Training
Chloral hydrate,P-,Training
Chloramphenicol,P-,Training
Chlormadinone,P-,Training
Chlorproguanil,P-,Training
Clemastine,P-,Training
Clofazimine,P-,Training
Colecalciferol,P-,Training
Colestyramine,P-,Training
Cotinine,P-,Training
Coumarin,P-,Training
Dacarbazine,P-,Training
Dalfopristin,P-,Training
Danazol,P-,Training
Daunorubicin,P-,Training
Dazoxiben,P-,Training
Debrisoquine,P-,Training
Delapril,P-,Training
Demethylcitalopram,P-,Training
Desipramine,P-,Training
Desogestrel,P-,Training
Dexloxiglumide,P-,Training
Dextropropoxyphene,P-,Training
Dicoumarol,P-,Training
Dieldrin,P-,Training
Diethylcarbamazine,P-,Training
Difloxacin,P-,Training
Digoxin,P-,Training
Dimethyl sulfoxide,P-,Training
Diosmin,P-,Training
Diphenhydramine,P-,Training
Diprafenone,P-,Training
Dirithromycin,P-,Training
Disulfamide,P-,Training
Disulfiram,P-,Training
Ditiocarb sodium,P-,Training
Domperidone,P-,Training
Ebrotidine,P-,Training
Econazole,P-,Training
Efonidipine,P-,Training
Encainide,P-,Training
Enflurane,P-,Training
Entacapone,P-,Training
Epinephrine,P-,Training
Eprosartan,P-,Training
Etomidate,P-,Training
Fadrozole,P-,Training
Famotidine,P-,Training
Fenfluramine,P-,Training
Flecainide,P-,Training
Fluconazole,P-,Training
Flufenamic acid,P-,Training
Flunarizine,P-,Training
Fluorouracil,P-,Training
Fluparoxan,P-,Training
Fluperlapine,P-,Training
Fluphenazine,P-,Training
Flurazepam,P-,Training
Flurbiprofen,P-,Training
Fluvoxamine,P-,Training
Fosphenytoin,P-,Training
Frovatriptan,P-,Training
Furafylline,P-,Training
Gliclazide,P-,Training
Glimepiride,P-,Training
Glipizide,P-,Training
Grepafloxacin,P-,Training
Griseofulvin,P-,Training
Guanabenz,P-,Training
Guanoxan,P-,Training
Hexobarbital,P-,Training
Homochlorcyclizine,P-,Training
Hydralazine,P-,Training
Hydroquinidine,P-,Training
Hydroxyamfetamine,P-,Training
Hydroxychloroquine,P-,Training
Hydroxyzine,P-,Training
Ibutilide,P-,Training
Indometacin,P-,Training
Indoramin,P-,Training
Ipriflavone,P-,Training
Isbogrel,P-,Training
Isoflurane,P-,Training
Isoniazid,P-,Training
Josamycin,P-,Training
Labetalol,P-,Training
Levofloxacin,P-,Training
Levomepromazine,P-,Training
Liarozole,P-,Training
Liothyronine,P-,Training
Litoxetine,P-,Training
Lomustine,P-,Training
Losigamone,P-,Training
Malathion,P-,Training
Maprotiline,P-,Training
m-Chlorophenylpiperazine,P-,Training
Mebendazole,P-,Training
Medazepam,P-,Training
Mefenamic acid,P-,Training
Mepacrine,P-,Training
Mepyramine,P-,Training
Mequitazine,P-,Training
Mestranol,P-,Training
Metamfetamine,P-,Training
Methomyl,P-,Training
Methoxsalen,P-,Training
Metoprolol,P-,Training
Metronidazole,P-,Training
Metyrapone,P-,Training
Mevastatin,P-,Training
Midecamycin,P-,Training
Milameline,P-,Training
Milnacipran,P-,Training
Minaprine,P-,Training
Minoxidil,P-,Training
Mitoxantrone,P-,Training
Moclobemide,P-,Training
Molindone,P-,Training
Moracizine,P-,Training
Nafcillin,P-,Training
Nalidixic acid,P-,Training
Niclosamide,P-,Training
Nilutamide,P-,Training
Nitrosamine,P-,Training
Norcodeine,P-,Training
Norethisterone,P-,Training
Norfloxacin,P-,Training
Norfluoxetine,P-,Training
Ofloxacin,P-,Training
Olanzapine,P-,Training
Oltipraz,P-,Training
Omapatrilat,P-,Training
Opipramol,P-,Training
Oxcarbazepine,P-,Training
Oxiconazole,P-,Training
Oxycodone,P-,Training
Papaverine,P-,Training
Parecoxib,P-,Training
Paroxetine,P-,Training
Pefloxacin,P-,Training
Penbutolol,P-,Training
Pentamidine,P-,Training
Pentoxifylline,P-,Training
Pergolide,P-,Training
Perhexiline,P-,Training
Pethidine,P-,Training
Phenformin,P-,Training
Phenobarbital,P-,Training
Phenol,P-,Training
Phenprocoumon,P-,Training
Phensuximide,P-,Training
Phenylbutazone,P-,Training
Phenytoin,P-,Training
Pilocarpine,P-,Training
Pilsicainide,P-,Training
Pindolol,P-,Training
Pipemidic acid,P-,Training
Piroxicam,P-,Training
Plomestane,P-,Training
Pramipexole,P-,Training
Primidone,P-,Training
Proadifen,P-,Training
Probenecid,P-,Training
Procainamide,P-,Training
Promethazine,P-,Training
Propanol,P-,Training
Pyrantel,P-,Training
Pyridostigmine bromide,P-,Training
Pyrimethamine,P-,Training
Quinelorane,P-,Training
Quinupristin,P-,Training
Raloxifene,P-,Training
Ranitidine,P-,Training
Remacemide,P-,Training
Remoxipride,P-,Training
Reserpine,P-,Training
Rifamycin,P-,Training
Rifapentine,P-,Training
Riluzole,P-,Training
Rofecoxib,P-,Training
Rosiglitazone,P-,Training
Rosuvastatin,P-,Training
Salbutamol,P-,Training
Secobarbital,P-,Training
Sparteine,P-,Training
Spironolactone,P-,Training
Stiripentol,P-,Training
Styrene,P-,Training
Sulconazole,P-,Training
Sulfadoxine,P-,Training
Sulfamerazine,P-,Training
Sulfamethizole,P-,Training
Sulfamoxole,P-,Training
Sulfanilamide,P-,Training
Sulfaphenazole,P-,Training
Sulfapyridine,P-,Training
Sulfasalazine,P-,Training
Sulfatroxazole,P-,Training
Sulpiride,P-,Training
Suprofen,P-,Training
Tacrine,P-,Training
Tazanolast,P-,Training
Tegafur,P-,Training
Tegaserod,P-,Training
Telmisartan,P-,Training
Tenofovir,P-,Training
Tenoxicam,P-,Training
Testolactone,P-,Training
Tetracycline,P-,Training
Tezosentan,P-,Training
Thalidomide,P-,Training
Theobromine,P-,Training
Thiamazole,P-,Training
Thioridazine,P-,Training
Thiotepa,P-,Training
Tiabendazole,P-,Training
Tiaramide,P-,Training
Tienilic acid,P-,Training
Timolol,P-,Training
Timoprazole,P-,Training
Tioconazole,P-,Training
Tiotixene,P-,Training
Tocainide,P-,Training
Tolbutamide,P-,Training
Toluene,P-,Training
Topiramate,P-,Training
Trapidil,P-,Training
Trichloromethane,P-,Training
Trifluperidol,P-,Training
Trimetazidine,P-,Training
Tripelennamine,P-,Training
Triprolidine,P-,Training
Trospium chloride,P-,Training
Valproic acid,P-,Training
Valsartan,P-,Training
Vorozole,P-,Training
Zafirlukast,P-,Training
Zaltoprofen,P-,Training
Zolmitriptan,P-,Training
Zoxazolamine,P-,Training
Zuclopenthixol,P-,Training
Alfentanil,P+,Validation
Amitriptyline,P+,Validation
Amlodipine,P+,Validation
Astemizole,P+,Validation
Azelastine,P+,Validation
Bromperidol,P+,Validation
Budesonide,P+,Validation
Bupivacaine,P+,Validation
Buspirone,P+,Validation
Chenodeoxycholic acid,P+,Validation
Chlorphenamine,P+,Validation
Cisapride,P+,Validation
Clonazepam,P+,Validation
Corticosterone,P+,Validation
Cyclobenzaprine,P+,Validation
Cyclophosphamide,P+,Validation
Dextrorphan,P+,Validation
Dihydrocodeine,P+,Validation
Dipotassium clorazepate,P+,Validation
Ergometrine,P+,Validation
Ergotamine,P+,Validation
Erythromycin,P+,Validation
Estrone,P+,Validation
Hydrocortisone,P+,Validation
Levobupivacaine,P+,Validation
Levonorgestrel,P+,Validation
Lisuride,P+,Validation
Lopinavir,P+,Validation
Manidipine,P+,Validation
Medroxyprogesterone,P+,Validation
Methadone,P+,Validation
Mianserin,P+,Validation
Nefazodone,P+,Validation
Nicardipine,P+,Validation
Nifedipine,P+,Validation
Nitrendipine,P+,Validation
Omeprazole,P+,Validation
Onapristone,P+,Validation
Ondansetron,P+,Validation
Pantoprazole,P+,Validation
Perospirone,P+,Validation
Prednisolone,P+,Validation
Ranolazine,P+,Validation
Tamoxifen,P+,Validation
Temazepam,P+,Validation
Terbinafine,P+,Validation
Terfenadine,P+,Validation
Triazolam,P+,Validation
Troglitazone,P+,Validation
Tropisetron,P+,Validation
Vanoxerine,P+,Validation
Venlafaxine,P+,Validation
Vesnarinone,P+,Validation
Vinorelbine,P+,Validation
Yohimbine,P+,Validation
Zotepine,P+,Validation
Abiraterone,P-,Validation
Amifloxacin,P-,Validation
Bunitrolol,P-,Validation
Cetirizine,P-,Validation
Cinnarizine,P-,Validation
Ciprofloxacin,P-,Validation
Desloratadine,P-,Validation
Dexmedetomidine,P-,Validation
Enoxacin,P-,Validation
Ethotoin,P-,Validation
Ethylbenzene,P-,Validation
Flurithromycin,P-,Validation
Gatifloxacin,P-,Validation
Ibuprofen,P-,Validation
Irbesartan,P-,Validation
Isoconazole,P-,Validation
Ketoprofen,P-,Validation
Linezolid,P-,Validation
Lobeline,P-,Validation
Lomefloxacin,P-,Validation
Lornoxicam,P-,Validation
Mephenytoin,P-,Validation
Methylphenobarbital,P-,Validation
Mexiletine,P-,Validation
Naproxen,P-,Validation
Nimorazole,P-,Validation
Oxamniquine,P-,Validation
Oxomemazine,P-,Validation
Oxprenolol,P-,Validation
Paraxanthine,P-,Validation
Pargyline,P-,Validation
Pentazocine,P-,Validation
Pentobarbital,P-,Validation
Rogletimide,P-,Validation
Rokitamycin,P-,Validation
Roxatidine,P-,Validation
Sulfadimethoxine,P-,Validation
Sulfadimidine,P-,Validation
Sulfafurazole,P-,Validation
Sulindac,P-,Validation
Tolperisone,P-,Validation
Torasemide,P-,Validation
Tranylcypromine,P-,Validation
Trifluoperazine,P-,Validation
