Compound,Class,Set
Oxiconazole,P+,Training
Oxybutynin,P+,Training
Paclitaxel,P+,Training
Papaverine,P+,Training
Paracetamol,P+,Training
Parathion,P+,Training
Paroxetine,P+,Training
Pergolide,P+,Training
Perphenazine,P+,Training
Phencyclidine,P+,Training
Pilsicainide,P+,Training
Pimozide,P+,Training
Piroxicam,P+,Training
Pravastatin,P+,Training
Prednisone,P+,Training
Primaquine,P+,Training
Proadifen,P+,Training
Propofol,P+,Training
Quercetin,P+,Training
Quinelorane,P+,Training
Quinine,P+,Training
Quinupristin,P+,Training
Rabeprazole,P+,Training
Raloxifene,P+,Training
Ranitidine,P+,Training
Reboxetine,P+,Training
Remacemide,P+,Training
Reserpine,P+,Training
Risperidone,P+,Training
Ritonavir,P+,Training
Rokitamycin,P+,Training
Rosiglitazone,P+,Training
Roxithromycin,P+,Training
Salbutamol,P+,Training
Saquinavir,P+,Training
Selegiline,P+,Training
Seratrodast,P+,Training
Sertindole,P+,Training
Sertraline,P+,Training
Sildenafil,P+,Training
Simvastatin,P+,Training
Sirolimus,P+,Training
Spironolactone,P+,Training
Sulfamethoxazole,P+,Training
Sulfaphenazole,P+,Training
Sulfinpyrazone,P+,Training
Sulpiride,P+,Training
Tacrolimus,P+,Training
Tamoxifen,P+,Training
Tazanolast,P+,Training
Tecastemizole,P+,Training
Tegaserod,P+,Training
Teniposide,P+,Training
Terfenadine,P+,Training
Testosterone,P+,Training
Theophylline,P+,Training
Thiamazole,P+,Training
Ticlopidine,P+,Training
Timoprazole,P+,Training
Tioconazole,P+,Training
Trimethoprim,P+,Training
Troglitazone,P+,Training
Troleandomycin,P+,Training
Valdecoxib,P+,Training
Valproic acid,P+,Training
Valspodar,P+,Training
Venlafaxine,P+,Training
Verapamil,P+,Training
Vincristine,P+,Training
Vindesine,P+,Training
Vinorelbine,P+,Training
Voriconazole,P+,Training
Zafirlukast,P+,Training
Zaltoprofen,P+,Training
Zileuton,P+,Training
Ziprasidone,P+,Training
Zolpidem,P+,Training
Abacavir,P-,Training
Abecarnil,P-,Training
Abiraterone,P-,Training
Aceclofenac,P-,Training
Acenocoumarol,P-,Training
Acetanilide,P-,Training
Acetone,P-,Training
Acetylsalicylic acid,P-,Training
Adinazolam,P-,Training
Ajmaline,P-,Training
Albendazole,P-,Training
Alosetron,P-,Training
Alpidem,P-,Training
Amiflamine,P-,Training
Aminoglutethimide,P-,Training
Aminopyrine,P-,Training
Amodiaquine,P-,Training
Amoxapine,P-,Training
Aniline,P-,Training
Anthraquinone,P-,Training
Apomorphine,P-,Training
Aprindine,P-,Training
Argatroban,P-,Training
Aripiprazole,P-,Training
Artemisinin,P-,Training
Artesunate,P-,Training
Atomoxetine,P-,Training
Atovaquone,P-,Training
Avitriptan,P-,Training
Azacyclonol,P-,Training
Azapropazone,P-,Training
Azatadine,P-,Training
Azimilide,P-,Training
Beclometasone,P-,Training
Benzbromarone,P-,Training
Benzene,P-,Training
Benzfetamine,P-,Training
Benzydamine,P-,Training
Bepridil,P-,Training
Betaxolol,P-,Training
Bexarotene,P-,Training
Bezafibrate,P-,Training
Bifluranol,P-,Training
Boldenone,P-,Training
Bortezomib,P-,Training
Bosentan,P-,Training
Brinzolamide,P-,Training
Brofaromine,P-,Training
Bromazepam,P-,Training
Bromperidol,P-,Training
Bropirimine,P-,Training
Brotizolam,P-,Training
Budesonide,P-,Training
Budipine,P-,Training
Buflomedil,P-,Training
Bufuralol,P-,Training
Bupranolol,P-,Training
Bupropion,P-,Training
Buspirone,P-,Training
Busulfan,P-,Training
Caffeine,P-,Training
Candesartan,P-,Training
Capravirine,P-,Training
Captopril,P-,Training
Carbaril,P-,Training
Carbimazole,P-,Training
Carisoprodol,P-,Training
Cathinone,P-,Training
Celecoxib,P-,Training
Cevimeline,P-,Training
Chenodeoxycholic acid,P-,Training
Chloral hydrate,P-,Training
Chlordiazepoxide,P-,Training
Chlorphenamine,P-,Training
Cibenzoline,P-,Training
Cilnidipine,P-,Training
Cilostazol,P-,Training
Ciprofibrate,P-,Training
Citalopram,P-,Training
Clofibrate,P-,Training
Clofibric acid,P-,Training
Clomethiazole,P-,Training
Clomipramine,P-,Training
Clopidogrel,P-,Training
Codeine,P-,Training
Colecalciferol,P-,Training
Colestyramine,P-,Training
Cortisone,P-,Training
Cotinine,P-,Training
Cyclobenzaprine,P-,Training
Cyproterone,P-,Training
Dacarbazine,P-,Training
Dantrolene,P-,Training
Dapsone,P-,Training
Dazoxiben,P-,Training
Debrisoquine,P-,Training
Demethylcitalopram,P-,Training
Desogestrel,P-,Training
Dexloxiglumide,P-,Training
Dextromethorphan,P-,Training
Dextrorphan,P-,Training
Dicoumarol,P-,Training
Dieldrin,P-,Training
Diethylcarbamazine,P-,Training
Diethylstilbestrol,P-,Training
Difloxacin,P-,Training
Digitoxin,P-,Training
Diosmin,P-,Training
Diphenhydramine,P-,Training
Diprafenone,P-,Training
Disopyramide,P-,Training
Disulfiram,P-,Training
Dofetilide,P-,Training
Dolasetron,P-,Training
Dorzolamide,P-,Training
Dronabinol,P-,Training
Dutasteride,P-,Training
Ebastine,P-,Training
Eletriptan,P-,Training
Enalapril,P-,Training
Encainide,P-,Training
Enflurane,P-,Training
Enoxacin,P-,Training
Epinastine,P-,Training
Epinephrine,P-,Training
Eprosartan,P-,Training
Estrone,P-,Training
Ethanol,P-,Training
Ethosuximide,P-,Training
Ethotoin,P-,Training
Ethylbenzene,P-,Training
Etomidate,P-,Training
Etonogestrel,P-,Training
Etoperidone,P-,Training
Everolimus,P-,Training
Exemestane,P-,Training
Ezlopitant,P-,Training
Fadrozole,P-,Training
Felbamate,P-,Training
Fenfluramine,P-,Training
Fenofibrate,P-,Training
Fexofenadine,P-,Training
Finasteride,P-,Training
Flecainide,P-,Training
Flucloxacillin,P-,Training
Flufenamic acid,P-,Training
Flunarizine,P-,Training
Flunitrazepam,P-,Training
Fluorouracil,P-,Training
Fluparoxan,P-,Training
Fluperlapine,P-,Training
Flurazepam,P-,Training
Flurbiprofen,P-,Training
Fluticasone,P-,Training
Fosphenytoin,P-,Training
Frovatriptan,P-,Training
Furafylline,P-,Training
Galantamine,P-,Training
Ganaxolone,P-,Training
Gatifloxacin,P-,Training
Gefitinib,P-,Training
Gliclazide,P-,Training
Glimepiride,P-,Training
Glyceryl trinitrate,P-,Training
Granisetron,P-,Training
Griseofulvin,P-,Training
Guanabenz,P-,Training
Guanoxan,P-,Training
Halofantrine,P-,Training
Halothane,P-,Training
Hexobarbital,P-,Training
Hydrocodone,P-,Training
Hydroquinidine,P-,Training
Hydroxyamfetamine,P-,Training
Hydroxychloroquine,P-,Training
Hydroxyzine,P-,Training
Ibuprofen,P-,Training
Ibutilide,P-,Training
Iloperidone,P-,Training
Imipramine,P-,Training
Imiquimod,P-,Training
Indometacin,P-,Training
Isbogrel,P-,Training
Isoconazole,P-,Training
Isoflurane,P-,Training
Isosorbide dinitrate,P-,Training
Isradipine,P-,Training
Ivermectin,P-,Training
Ketamine,P-,Training
Lacidipine,P-,Training
Leflunomide,P-,Training
Letrozole,P-,Training
Levacetylmethadol,P-,Training
Levobupivacaine,P-,Training
Levomepromazine,P-,Training
Levothyroxine sodium,P-,Training
Liarozole,P-,Training
Lidocaine,P-,Training
Linezolid,P-,Training
Liothyronine,P-,Training
Lisofylline,P-,Training
Lisuride,P-,Training
Lobeline,P-,Training
Losigamone,P-,Training
Lovastatin,P-,Training
Lumefantrine,P-,Training
Maprotiline,P-,Training
m-Chlorophenylpiperazine,P-,Training
Mebendazole,P-,Training
Medazepam,P-,Training
Medroxyprogesterone,P-,Training
Mefenamic acid,P-,Training
Meloxicam,P-,Training
Mepacrine,P-,Training
Mephenytoin,P-,Training
Mepyramine,P-,Training
Mestranol,P-,Training
Methaqualone,P-,Training
Methiocarb,P-,Training
Methomyl,P-,Training
Methoxyflurane,P-,Training
Methylergometrine,P-,Training
Metoprolol,P-,Training
Mevastatin,P-,Training
Mexazolam,P-,Training
Mianserin,P-,Training
Milameline,P-,Training
Milnacipran,P-,Training
Minaprine,P-,Training
Minoxidil,P-,Training
Moclobemide,P-,Training
Montelukast,P-,Training
Moracizine,P-,Training
Mosapride,P-,Training
Nafcillin,P-,Training
Nalidixic acid,P-,Training
Naproxen,P-,Training
Nateglinide,P-,Training
Nefiracetam,P-,Training
Niclosamide,P-,Training
Niludipine,P-,Training
Nilutamide,P-,Training
Nimorazole,P-,Training
Nitrosamine,P-,Training
Norcodeine,P-,Training
Nordazepam,P-,Training
Norethisterone,P-,Training
Nortriptyline,P-,Training
Ofloxacin,P-,Training
Olopatadine,P-,Training
Omapatrilat,P-,Training
Opipramol,P-,Training
Oxamniquine,P-,Training
Oxcarbazepine,P-,Training
Oxodipine,P-,Training
Oxprenolol,P-,Training
Parecoxib,P-,Training
Pargyline,P-,Training
Pefloxacin,P-,Training
Pentamidine,P-,Training
Perhexiline,P-,Training
Perospirone,P-,Training
Pethidine,P-,Training
Phenacetin,P-,Training
Phenazone,P-,Training
Phenformin,P-,Training
Phenobarbital,P-,Training
Phenol,P-,Training
Phenprocoumon,P-,Training
Phenylbutazone,P-,Training
Phenytoin,P-,Training
Pinacidil,P-,Training
Pindolol,P-,Training
Pipemidic acid,P-,Training
Plomestane,P-,Training
Pramipexole,P-,Training
Pranidipine,P-,Training
Prasterone,P-,Training
Praziquantel,P-,Training
Pregnenolone,P-,Training
Probenecid,P-,Training
Procainamide,P-,Training
Proguanil,P-,Training
Promazine,P-,Training
Propafenone,P-,Training
Propanol,P-,Training
Pyrantel,P-,Training
Pyridostigmine bromide,P-,Training
Pyrimethamine,P-,Training
Ranolazine,P-,Training
Rebamipide,P-,Training
Remoxipride,P-,Training
Repaglinide,P-,Training
Resiquimod,P-,Training
Rifabutin,P-,Training
Rifampicin,P-,Training
Rifamycin,P-,Training
Riluzole,P-,Training
Rofecoxib,P-,Training
Ropinirole,P-,Training
Ropivacaine,P-,Training
Roquinimex,P-,Training
Rosuvastatin,P-,Training
Rupatadine,P-,Training
Salicylic acid,P-,Training
Salmeterol,P-,Training
Secobarbital,P-,Training
Sevoflurane,P-,Training
Sibutramine,P-,Training
Sparteine,P-,Training
Sufentanil,P-,Training
Sulfadoxine,P-,Training
Sulfamerazine,P-,Training
Sulfamoxole,P-,Training
Sulfanilamide,P-,Training
Sulfapyridine,P-,Training
Sulfasalazine,P-,Training
Sulfatroxazole,P-,Training
Suprofen,P-,Training
Tacrine,P-,Training
Tadalafil,P-,Training
Tamsulosin,P-,Training
Tasosartan,P-,Training
Tauromustine,P-,Training
Tazofelone,P-,Training
Tegafur,P-,Training
Telmisartan,P-,Training
Temazepam,P-,Training
Tenofovir,P-,Training
Tenoxicam,P-,Training
Terbinafine,P-,Training
Testolactone,P-,Training
Tezosentan,P-,Training
Thalidomide,P-,Training
Theobromine,P-,Training
Thioridazine,P-,Training
Thiotepa,P-,Training
Tiabendazole,P-,Training
Tiagabine,P-,Training
Tiaramide,P-,Training
Tienilic acid,P-,Training
Timolol,P-,Training
Tinidazole,P-,Training
Tiotixene,P-,Training
Tipranavir,P-,Training
Tirilazad,P-,Training
Tocainide,P-,Training
Tolbutamide,P-,Training
Tolcapone,P-,Training
Tolperisone,P-,Training
Tolterodine,P-,Training
Toluene,P-,Training
Topiramate,P-,Training
Torasemide,P-,Training
Toremifene,P-,Training
Tramadol,P-,Training
Tranylcypromine,P-,Training
Trapidil,P-,Training
Trazodone,P-,Training
Tretinoin,P-,Training
Triazolam,P-,Training
Trichloroethylene,P-,Training
Trichloromethane,P-,Training
Trifluoperazine,P-,Training
Trifluperidol,P-,Training
Trimetazidine,P-,Training
Trimethadione,P-,Training
Trimetrexate,P-,Training
Trimipramine,P-,Training
Tripelennamine,P-,Training
Triprolidine,P-,Training
Trofosfamide,P-,Training
Trospium chloride,P-,Training
Valsartan,P-,Training
Vanoxerine,P-,Training
Vesnarinone,P-,Training
Yohimbine,P-,Training
Zaleplon,P-,Training
Zatosetron,P-,Training
Zidovudine,P-,Training
Zolmitriptan,P-,Training
Zonisamide,P-,Training
Zopiclone,P-,Training
Zotepine,P-,Training
Zoxazolamine,P-,Training
Zuclopenthixol,P-,Training
Aranidipine,P+,Validation
Benidipine,P+,Validation
Ciprofloxacin,P+,Validation
Corticosterone,P+,Validation
Cyclophosphamide,P+,Validation
Dexamethasone,P+,Validation
Domperidone,P+,Validation
Doxorubicin,P+,Validation
Erythromycin,P+,Validation
Glipizide,P+,Validation
Lercanidipine,P+,Validation
Lilopristone,P+,Validation
Lopinavir,P+,Validation
Nilvadipine,P+,Validation
Norfluoxetine,P+,Validation
Olanzapine,P+,Validation
Pantoprazole,P+,Validation
Pilocarpine,P+,Validation
Pioglitazone,P+,Validation
Prednisolone,P+,Validation
Stiripentol,P+,Validation
Sulconazole,P+,Validation
Sulfamethizole,P+,Validation
Tetracycline,P+,Validation
Vinblastine,P+,Validation
Acebutolol,P-,Validation
Alfentanil,P-,Validation
Alprazolam,P-,Validation
Alprenolol,P-,Validation
Amfetamine,P-,Validation
Amifloxacin,P-,Validation
Atamestane,P-,Validation
Biperiden,P-,Validation
Bisoprolol,P-,Validation
Bunitrolol,P-,Validation
Bupivacaine,P-,Validation
Carteolol,P-,Validation
Chlorproguanil,P-,Validation
Cinnarizine,P-,Validation
Clonazepam,P-,Validation
Desipramine,P-,Validation
Dihydrocodeine,P-,Validation
Dipotassium clorazepate,P-,Validation
Donepezil,P-,Validation
Doxepin,P-,Validation
Ecabapide,P-,Validation
Emedastine,P-,Validation
Emivirine,P-,Validation
Ergometrine,P-,Validation
Escitalopram,P-,Validation
Estradiol,P-,Validation
Ethylmorphine,P-,Validation
Flosequinan,P-,Validation
Gepirone,P-,Validation
Hydrocortisone,P-,Validation
Indoramin,P-,Validation
Ketoprofen,P-,Validation
Labetalol,P-,Validation
Levofloxacin,P-,Validation
Levonorgestrel,P-,Validation
Litoxetine,P-,Validation
Lomefloxacin,P-,Validation
Lornoxicam,P-,Validation
Medifoxamine,P-,Validation
Metamfetamine,P-,Validation
Methylphenidate,P-,Validation
Methylphenobarbital,P-,Validation
Mexiletine,P-,Validation
Modafinil,P-,Validation
Molindone,P-,Validation
Morphine,P-,Validation
Nicotine,P-,Validation
Ondansetron,P-,Validation
Oxomemazine,P-,Validation
Oxycodone,P-,Validation
Paraxanthine,P-,Validation
Penbutolol,P-,Validation
Pentazocine,P-,Validation
Pentobarbital,P-,Validation
Pentoxifylline,P-,Validation
Phensuximide,P-,Validation
Pimobendan,P-,Validation
Primidone,P-,Validation
Progesterone,P-,Validation
Promethazine,P-,Validation
Propranolol,P-,Validation
Quetiapine,P-,Validation
Rifapentine,P-,Validation
Rogletimide,P-,Validation
Roxatidine,P-,Validation
Styrene,P-,Validation
Sulfadiazine,P-,Validation
Sulfadimethoxine,P-,Validation
Sulfadimidine,P-,Validation
Sulfafurazole,P-,Validation
Sulindac,P-,Validation
Terguride,P-,Validation
Tropisetron,P-,Validation
Vorozole,P-,Validation
Warfarin,P-,Validation
