"","assay","qhtsassay","accQHTS","accQHTSCI","TN1","FN1","FP1","TP1","accCOMP","accCOMPCI","TN2","FN2","FP2","TP2","diff","sign","pval","manually","desc1","link1","desc2","link2"
"4","CHEMBL1614479","CHEMBL1614052",0.935483870967742,"[0.835,0.9791]",0,0,4,58,0.905660377358491,"[0.7858,0.9647]",1,0,5,47,-0.0298234936092513,-1,0.730540272666604,TRUE,"PUBCHEM_BIOASSAY: Confirmation Concentration-Response Assay for Antagonists of the Neuropeptide S Receptor: Calcium Signal Transduction, SAR for Probe. (Class of assay: confirmatory) [Related pubchem assays: 1493, 1492, 1461, 1489, 1491, 1464 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052","PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052"
"9","CHEMBL1614197","CHEMBL1614087",0.737931034482759,"[0.6572,0.8058]",0,4,34,107,0.711111111111111,"[0.6045,0.7994]",0,0,26,64,-0.0268199233716475,-1,0.654449853864133,TRUE,"PUBCHEM_BIOASSAY: Concentration response confirmation assay for inhibitors of ROR gamma transcriptional activity. (Class of assay: confirmatory) [Related pubchem assays: 2551 (Primary screen tested at 6 concentrations from 46 uM to 3 nM)]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614087","PUBCHEM_BIOASSAY: qHTS for inhibitors of ROR gamma transcriptional activity. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614087"
"5","CHEMBL1614539","CHEMBL1614052",0.875,"[0.724,0.9531]",0,0,5,35,0.787234042553192,"[0.6393,0.888]",1,1,9,36,-0.0877659574468085,-1,0.394825811408642,TRUE,"PUBCHEM_BIOASSAY: Confirmation Concentration-Response Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction, SAR for Probe. (Class of assay: confirmatory) [Related pubchem assays: 1493, 1492, 2566, 2570, 1461, 1489, 2567, 1491, 1464 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052","PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052"
"11","CHEMBL1738575","CHEMBL1614247",0.869565217391304,"[0.6533,0.9657]",8,3,0,12,0.75,"[0.6235,0.8462]",37,8,8,11,-0.119565217391304,-1,0.377531032704935,TRUE,"PUBCHEM_BIOASSAY: SAR analysis of compounds that inhibit NOD2 revised. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1566, AID1575, AID1578, AID1579, AID1848, AID1849, AID1852, AID2469, AID2475, AID2799, AID2800]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614247","PUBCHEM_BIOASSAY: uHTS luminescence assay for the identification of compounds that inhibit NOD2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1575, AID1578, AID1579, AID1848, AID1849, AID1852, AID2001, AID2260, AID2264, AID2334, AID2335, AID2337, AID2466, AID2475, AID2485, AID2503, AID2793, AID2798, AID2799]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614247"
"2","CHEMBL1737868","CHEMBL1738317",1,"[0.6555,1]",6,0,0,4,0.814814814814815,"[0.7098,0.8893]",57,8,7,9,-0.185185185185185,-1,0.204657661830379,TRUE,"PUBCHEM_BIOASSAY: Validation screen for small molecules that induce genotoxicity in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493143, AID504466]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1738317","PUBCHEM_BIOASSAY: qHTS screen for small molecules that induce genotoxicity in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493106, AID493143]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1738317"
"7","CHEMBL1613806","CHEMBL1613949",0.916666666666667,"[0.5975,0.9956]",0,0,1,11,0.694915254237288,"[0.5598,0.8046]",13,2,16,28,-0.221751412429378,-1,0.160903406341424,TRUE,"PUBCHEM_BIOASSAY: In Vitro HePTP Dose Response Colorimetric Assay for SAR Study. (Class of assay: confirmatory) [Related pubchem assays: 521 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613949","PUBCHEM_BIOASSAY: HTS Discovery of Chemical Inhibitors of HePTP, a Leukemia Target. Inhibition of phosphatase activity by colorimetric assay of released free phosphate (BioMol green). Secondary Screen (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613949"
"8","CHEMBL1614105","CHEMBL1614290",0.962025316455696,"[0.9267,0.9814]",1,7,2,227,0.924418604651163,"[0.8715,0.9575]",1,5,8,158,-0.0376067118045335,-1,0.120307217545979,TRUE,"PUBCHEM_BIOASSAY: AlphaScreen confirmatory assay for validation of inhibitors of SUMOylation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2006, AID2011, AID2069, AID2614, AID2658]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614290","PUBCHEM_BIOASSAY: uHTS HTRF assay for identification of inhibitors of SUMOylation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2011, AID2018, AID2069, AID2614, AID2658]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614290"
"22","CHEMBL1963940","CHEMBL1794352",1,"[0.8076,1]",1,0,0,20,0.873417721518987,"[0.775,0.9344]",23,2,8,46,-0.126582278481013,-1,0.114999332643901,TRUE,"PUBCHEM_BIOASSAY: Biochemical firefly luciferase enzyme assay for NPC. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1794352","PUBCHEM_BIOASSAY: qHTS profiling assay for firefly luciferase inhibitor/activator using purified enzyme and Km concentrations of substrates (counterscreen for miR-21 project). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2288, AID2289, AID2598, AID411]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1794352"
"12","CHEMBL1741321","CHEMBL1614110",0.992952783650458,"[0.9889,0.9956]",1005,0,20,1813,0.826971371170266,"[0.8184,0.8352]",5978,1048,330,608,-0.165981412480192,-1,5.79788321810174e-164,TRUE,"PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614110","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2D6. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614110"
"15","CHEMBL1741325","CHEMBL1614027",0.989314336598397,"[0.9839,0.993]",613,2,22,1609,0.752545824847251,"[0.7428,0.762]",4363,1236,708,1549,-0.236768511751147,-1,1.8243377550359e-198,TRUE,"PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614027","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614027"
"13","CHEMBL1741323","CHEMBL1613777",0.98741206960385,"[0.9822,0.9911]",695,2,32,1972,0.769661491473657,"[0.7602,0.7789]",3683,1016,794,2365,-0.217750578130193,-1,1.20300698644997e-204,TRUE,"PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613777","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C19. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613777"
"14","CHEMBL1741324","CHEMBL1613886",0.995312114483099,"[0.9925,0.9971]",934,2,17,3100,0.742601687444906,"[0.7328,0.7522]",4002,1302,742,1895,-0.252710427038193,-1,0,TRUE,"PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613886","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613886"
