,file_name,Size,Active,Inactive,Indeterminate
193,rdk_fp-Cytochrome_P450_17A1.npy,731,561,67,103
194,morgan_fp-Cytochrome_P450_11B2.npy,881,833,4,44
195,maccs_fp-Cytochrome_P450_19A1.npy,1242,775,168,299
196,rdk_fp-Cytochrome_b_245_heavy_chain.npy,42,22,16,4
197,ecfp6_fp-Cytochrome_P450_17A1.npy,744,572,68,104
198,ecfp2_fp-Cytochrome_P450_21.npy,28,13,15,0
199,ecfp6_fp-Cytochrome_P450_11B2.npy,881,833,4,44
200,ecfp6_fp-Cytochrome_P450_4F2.npy,8,2,4,2
201,ecfp6_fp-Cytochrome_P450_2E1.npy,119,10,78,31
202,rdk_fp-Cytochrome_P450_2B6.npy,291,23,142,126
203,avalon_fp-Cytochrome_P450_1B1.npy,214,151,18,45
204,morgan_fp-Cytochrome_P450_51.npy,53,13,28,12
205,maccs_fp-Cytochrome_P450_26A1.npy,134,103,9,22
206,ecfp2_fp-Cytochrome_P450_2C19.npy,5162,2347,1213,1602
207,morgan_fp-Cytochrome_c_oxidase_subunit_2.npy,4,3,1,0
208,maccs_fp-Cytochrome_P450_11B2.npy,687,654,3,30
209,avalon_fp-Cytochrome_P450_26B1.npy,24,11,13,0
210,avalon_fp-Apoptotic_protease_activating_factor_1_Caspase_3_Caspase_9_Cytochrome_c.npy,2,2,0,0
211,avalon_fp-Cytochrome_P450_2J2.npy,94,21,51,22
212,ecfp2_fp-Cytochrome_b5.npy,1,1,0,0
213,morgan_fp-NADPH_cytochrome_P450_reductase.npy,31,8,15,8
214,ecfp6_fp-Cytochrome_P450_24A1.npy,63,47,3,13
215,ecfp2_fp-Cytochrome_P450_2C8.npy,366,68,119,179
216,avalon_fp-Cytochrome_P450_1A.npy,2,2,0,0
217,maccs_fp-Cytochrome_P450_2J2.npy,92,20,50,22
218,ecfp6_fp-Cytochrome_P450_3A4.npy,10876,1515,6995,2366
219,ecfp2_fp-Cytochrome_P450_1A1.npy,203,122,30,51
220,morgan_fp-Cytochrome_P450_2C19.npy,5288,2413,1227,1648
221,maccs_fp-Cytochrome_P450_2A6.npy,250,74,88,88
222,avalon_fp-Cytochrome_P450_4A11.npy,2,1,1,0
