,Target,Dataset_Size,Actives,Inactives
85,Solute_carrier_family_12_member_1_sub,1525,3,1522
86,Solute_carrier_family_12_member_2_sub,1525,2,1523
87,Solute_carrier_family_12_member_4_sub,1525,1,1524
88,Solute_carrier_family_12_member_5_sub,1525,1,1524
89,Solute_carrier_family_15_member_1_sub,1525,16,1509
90,Solute_carrier_family_15_member_2_sub,1525,4,1521
91,Solute_carrier_family_22_member_11_sub,1525,1,1524
92,Solute_carrier_family_22_member_1_sub,1525,8,1517
93,Solute_carrier_family_22_member_2_sub,1525,12,1513
94,Solute_carrier_family_22_member_3_sub,1525,3,1522
95,Solute_carrier_family_22_member_4_sub,1525,2,1523
96,Solute_carrier_family_22_member_5_sub,1525,5,1520
97,Solute_carrier_family_22_member_6_sub,1525,9,1516
98,Solute_carrier_family_22_member_7_sub,1525,5,1520
99,Solute_carrier_family_22_member_8_sub,1525,18,1507
100,Solute_carrier_family_28_member_3_sub,1525,3,1522
101,Solute_carrier_organic_anion_transporter_family_member_1A2_sub,1525,20,1505
102,Solute_carrier_organic_anion_transporter_family_member_1B1_sub,1525,20,1505
103,Solute_carrier_organic_anion_transporter_family_member_1B3_sub,1525,14,1511
104,Solute_carrier_organic_anion_transporter_family_member_1C1_sub,1525,1,1524
105,Solute_carrier_organic_anion_transporter_family_member_2A1_sub,1525,1,1524
106,Solute_carrier_organic_anion_transporter_family_member_2B1_sub,1525,8,1517
107,Solute_carrier_organic_anion_transporter_family_member_3A1_sub,1525,1,1524
108,Solute_carrier_organic_anion_transporter_family_member_4A1_sub,1525,1,1524
109,Solute_carrier_organic_anion_transporter_family_member_4C1_sub,1525,2,1523
110,Steroid_11_beta_hydroxylase_sub,1525,3,1522
111,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_sub,1525,3,1522
112,Steroid_21_hydroxylase_21_OHase_sub,1525,2,1523
113,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_sub,1525,2,1523
114,Sulfotransferase_sub,1525,25,1500
115,UGT_sub,1525,66,1459
