,drug_name,Smiles,drug_type
22,amiodarone,CCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC)C(=C2)I)I)C3=C(O1)C=CC=C3,1A2
23,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,1A2
24,antipyrine,C[N]1[N]([C](=O)C=C1C)C2=CC=CC=C2,1A2
25,apigenin,OC1=CC=C(C=C1)C2=C[C](=O)C3=C(O2)C=C(O)C=C3O,1A2
26,atomoxetine,CNCC[C@@H](OC1=C(C)C=CC=C1)C2=CC=CC=C2,1A2
27,atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C,1A2
28,azelastine,CN1CCC[C@@H](CC1)[N]2N=C(CC3=CC=C(Cl)C=C3)C4=C(C=CC=C4)[C]2=O,1A2
29,azinphosmethyl,CO[P](=S)(OC)SC[N]1N=NC2=CC=CC=C2[C]1=O,1A2
30,BMAMC,CCCCNCC1=C[C](=O)OC2=CC(=CC=C12)OC,1A2
31,bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CN=CC=N2)B(O)O,1A2
32,BPR_0L075,COC1=CC=C2C(=C1)[NH]C=C2C(=O)C3=CC(=C(OC)C(=C3)OC)OC,1A2
33,BRN_4201400,C[N]1[C](=O)[N](CC2CCCCC2)C3=C([NH]C(=N3)C)[C]1=O,1A2
34,bropirimine,NC1=N[C](=O)C(=C([NH]1)C2=CC=CC=C2)Br,1A2
35,bufuralol_R,CCC1=C2OC(=CC2=CC=C1)[C@H](O)CNC(C)(C)C,1A2
36,carbaryl,CNC(=O)OC1=CC=CC2=C1C=CC=C2,1A2
37,carbofuran,CNC(=O)OC1=C2OC(C)(C)CC2=CC=C1,1A2
38,carvedilol_S,COC1=CC=CC=C1OCCNC[C@H](O)COC2=C3C(=CC=C2)[NH]C4=C3C=CC=C4,1A2
39,celecoxib,CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,1A2
40,chlorpyrifos,CCO[P](=S)(OCC)OC1=NC(=C(Cl)C=C1Cl)Cl,1A2
41,chlorzoxazone,ClC1=CC2=C(O[C](=O)[NH]2)C=C1,1A2
42,cinnarizine,C1CN(CCN1C\C=C\C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,1A2
43,cisapride,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C3=CC(=C(N)C=C3OC)Cl,1A2
44,clobazam,CN1C(=O)CC(=O)N(C2=CC=CC=C2)C3=CC(=CC=C13)Cl,1A2
45,clopidogrel,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=CC=CC=C3Cl,1A2
46,clozapine,CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(=C3)Cl,1A2
47,CMV_423,NC(=O)C1=C2CCCC[N]2C(=C1Cl)C3=CC=CN=C3,1A2
48,cp_677_623,COC1=CC=C(OC(F)(F)F)C=C1CN,1A2
49,curcumin,COC1=CC(=CC=C1O)\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C(=C2)OC,1A2
50,dacarbazine,CN(C)N\N=C1/N=CN=C1C(N)=O,1A2
51,DDB_aka_BDD,COC(=O)C1=CC(=C2OCOC2=C1C3=C4OCOC4=C(OC)C=C3C(=O)OC)OC,1A2
52,DDTC_Me,CCN(CC)C(=S)SC,1A2
53,delta_3_carene,CC1=CC[C@H]2[C@H](C2(C)C)C1,1A2
54,DETC_Me,CCN(CC)C(=O)SC,1A2
55,dexfenfluramine,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F,1A2
56,diazinion,CCO[P](=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,1A2
57,dibenzacridine,C1=CC=C2C(=C1)C=CC3=NC4=CC=C5C=CC=CC5=C4C=C23,1A2
58,diclofenac,OC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl,1A2
59,diethyl_meta_toluamide,CCN(CC)C(=O)C1=CC(=CC=C1)C,1A2
60,diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,1A2
61,disulfoton,CCO[P](=S)(OCC)SCCSCC,1A2
62,diuron,CN(C)C(=O)NC1=CC=C(Cl)C(=C1)Cl,1A2
63,DMXAA,CC1=CC=C2[C](=O)C3=C(OC2=C1C)C(=CC=C3)CC(O)=O,1A2
64,domperidone,ClC1=CC=C2[N](C3CCN(CCC[N]4[C](=O)[NH]C5=CC=CC=C45)CC3)[C](=O)[NH]C2=C1,1A2
65,DY_9760e,COC1=CC2=C(C=C1OC)C(=N[N]2CC3=C[NH]C=N3)CCN4CCN(CC4)C5=CC=CC(=C5C)Cl,1A2
66,efavirenz,FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC3CC3,1A2
67,ellipticine,CC1=C2[NH]C3=CC=CC=C3C2=C(C)C4=CN=CC=C14,1A2
68,ethanol,CCO,1A2
69,etoposide,COC1=C(O)C(=CC(=C1)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4OC5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)C6=C2C=C7OCOC7=C6)OC,1A2
70,FLU,NC1=CC=C(C(=C1)C(F)(F)F)[N](=O)=O,1A2
71,furafylline,C[N]1[C](=O)[N](CC2=CC=CO2)C3=C([NH]C(=N3)C)[C]1=O,1A2
72,H_259_31_R,FC1=CC=C2N=C([NH]C2=C1)[S@](=O)CC3=NC=CC(=C3)OCC4CC4,1A2
73,haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,1A2
74,harmaline,COC1=CC2=C(C=C1)C3=C([NH]2)C(=NCC3)C,1A2
75,harmine,COC1=CC=C2C(=C1)[NH]C3=C2C=CN=C3C,1A2
76,hesperetin,COC1=CC=C(C=C1O)[C@@H]2CC(=O)C3=C(O)C=C(O)C=C3O2,1A2
77,imidacloprid,ClC1=NC=C(CN2CCN=C2N[N](=O)=O)C=C1,1A2
78,imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C13,1A2
79,indiplon,CN(C(C)=O)C1=CC=CC(=C1)C2=CC=NC3=C(C=N[N]23)C(=O)C4=CC=CS4,1A2
80,ipriflavone_M4,CC(CO)OC1=CC=C2[C](=O)C(=COC2=C1)C3=CC=CC=C3,1A2
81,K11777,CN1CCN(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC3=CC=CC=C3)C=C[S](=O)(=O)C4=CC=CC=C4,1A2
82,lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,1A2
83,LU_2509,CC[N]1N=NC(=N1)C2=CCCN(C)C2,1A2
84,MBDB,CC[C@H](CC1=CC=C2OCOC2=C1)NC,1A2
85,MeAMFC,CC[N+](C)(CC)CCC1=C(C2=CC=C(OC)C=C2O[C]1=O)C(F)(F)F,1A2
86,melatonin,COC1=CC=C2[NH]C=C(CCNC(C)=O)C2=C1,1A2
87,methiocarb,CNC(=S)OC1=CC(=C(SC)C(=C1)C)C,1A2
88,methoxychlor,COC1=CC=C(C=C1)C(C2=CC=C(OC)C=C2)C(Cl)(Cl)Cl,1A2
89,metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(N)C=C1OC)Cl,1A2
90,mirtazapine_R,CN1CCN2[C@@H](C1)C3=CC=CC=C3CC4=CC=CN=C24,1A2
91,ML_3403,CSC1=NC(=C([NH]1)C2=CC=C(F)C=C2)C3=CC=NC(=C3)NC(C)C4=CC=CC=C4,1A2
92,MPBP,CCC(N1CCCC1)C(=O)C2=CC=C(C)C=C2,1A2
93,muraglitazar,COC1=CC=C(OC(=O)N(CC(O)=O)CC2=CC=C(OCCC3=C(C)OC(=N3)C4=CC=CC=C4)C=C2)C=C1,1A2
94,myristicin,COC1=C2OCOC2=CC(=C1)CC=C,1A2
95,N_desmethyl_clomipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=C(Cl)C=C13,1A2
96,nabumetone,COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1,1A2
97,naproxen_S,COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O,1A2
98,NN_diamyl_nitrosoamine,CCCCCN(CCCCC)N=O,1A2
99,NN_methyl_butyl_nitrosoamine,CCCCN(C)N=O,1A2
100,NNK,CN(CCCC(=O)C1=CC=CN=C1)N=O,1A2
101,nonane,CCCCCCCCC,1A2
102,O_methyl_acetaminophen,COC1=CC=C(NC(C)=O)C=C1,1A2
103,O_phenylphenol,OC1=C(C=CC=C1)C2=CC=CC=C2,1A2
104,O6_benzylguanine,NC1=NC2=C(N=C[NH]2)C(=N1)OCC3=CC=CC=C3,1A2
105,ochratoxin_A,C[C@@H]1CC2=C(C(=C(C=C2Cl)C(=O)N[C@@H](CC3=CC=CC=C3)C(O)=O)O)C(=O)O1,1A2
106,olanzapine,CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(C)S4,1A2
107,ondansetron,C[N]1C2=C(C(=O)[C@@H](CC2)C[N]3C=CN=C3C)C4=CC=CC=C14,1A2
108,p_cresol,CC1=CC=C(O)C=C1,1A2
109,parathion,CCO[P](=S)(OCC)OC1=CC=C(C=C1)[N](=O)=O,1A2
110,phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C23,1A2
111,phenytoin,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,1A2
112,phorate,CCO[P](=S)(OCC)SCSCC,1A2
113,promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C13,1A2
114,propafenone_R,CCCNC[C@@H](O)COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2,1A2
115,propofol,CC(C)C1=C(O)C(=CC=C1)C(C)C,1A2
116,propranolol_R,CC(C)NC[C@@H](O)COC1=C2C=CC=CC2=CC=C1,1A2
117,pyrazolo_acridine,COC1=CC2=C(NC3=C(C=CC4=C3C2=N[N]4CCCN(C)C)[N](=O)=O)C=C1,1A2
118,rabeprazole_thioether,COCCCOC1=CC=NC(=C1C)CSC2=NC3=CC=CC=C3[NH]2,1A2
119,ranitidine,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N](=O)=O,1A2
120,RHP+,OC(CCC[N+]1=CC=C(C=C1)C2=CC=C(Cl)C=C2)C3=CC=C(F)C=C3,1A2
121,riluzole,NC1=NC2=CC=C(OC(F)(F)F)C=C2S1,1A2
122,ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,1A2
123,ropivacaine,CCCN1CCCC[C@H]1C(=O)NC2=C(C)C=CC=C2C,1A2
124,rutaecarpine,O=[C]1[N]2CCC3=C([NH]C4=CC=CC=C34)C2=NC5=C1C=CC=C5,1A2
125,selegiline,C[C@H](CC1=CC=CC=C1)N(C)CC#C,1A2
126,sulprofos,CCCS[P](=S)(OCC)OC1=CC=C(SC)C=C1,1A2
127,tacrine,NC1=C2CCCCC2=NC3=C1C=CC=C3,1A2
128,tangeretin,COC1=CC=C(C=C1)C2=C[C](=O)C3=C(OC)C(=C(OC)C(=C3O2)OC)OC,1A2
129,tauromustine,CN(C)[S](=O)(=O)CCNC(=O)N(CCCl)N=O,1A2
130,tegafur,FC1=C[N](C2CCCO2)[C](=O)[NH][C]1=O,1A2
131,terbinafine,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,1A2
132,terbutryn,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,1A2
133,theophylline,C[N]1[C](=O)[N](C)C2=C([NH]C=N2)[C]1=O,1A2
134,thiabendazole,[NH]1C2=CC=CC=C2N=C1C3=CSC=N3,1A2
135,ticlopidine,ClC1=CC=CC=C1CN2CCC3=C(C2)C=CS3,1A2
136,tolperisone_R,C[C@H](CN1CCCCC1)C(=O)C2=CC=C(C)C=C2,1A2
137,trans_stilbene,C1=CC=C(C=C1)\C=C\C2=CC=CC=C2,1A2
138,xylene_meta,CC1=CC=CC(=C1)C,1A2
139,xylene_ortho,CC1=CC=CC=C1C,1A2
140,xylene_para,CC1=CC=C(C)C=C1,1A2
141,zileuton_R,C[C@@H](N(O)C(N)=O)C1=CC2=CC=CC=C2S1,1A2
142,zolmitriptan,CN(C)CCC1=C[NH]C2=C1C=C(C[C@H]3COC(=O)N3)C=C2,1A2
143,zotepine,CN(C)CCOC1=CC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1A2
144,11_oxo_delta_8_tetrahydro_cannabinol,CCCCCC1=CC2=C([C@@H]3CC(=CC[C@H]3C(C)(C)O2)C=O)C(=C1)O,2C19
145,18_methoxy_coronaridine,COCC[C@H]1CC2CN3CCC4=C([NH]C5=CC=CC=C45)[C@](C2)(C13)C(=O)OC,2C19
146,2_oxo_ticlopidine,ClC1=CC=CC=C1CN2CCC3SC(=O)C=C3C2,2C19
147,2n_propylquinoline,CCCC1=CC=C2C=CC=CC2=N1,2C19
148,3_O_methyl_fluorescein,COC1=CC=C2C(=C1)OC3=CC(=CC=C3C24OC(=O)C5=CC=CC=C45)O,2C19
149,4_chloro_7_ethoxycoumarin,CCOC1=CC=C2C(=C[C](=O)OC2=C1)Cl,2C19
150,4prime_hydroxy_clobazam,CN1C(=O)CC(=O)N(C2=CC=C(O)C=C2)C3=CC(=CC=C13)Cl,2C19
151,5_hydroxy_tryptamine,NCCC1=C[NH]C2=CC=C(O)C=C12,2C19
152,5beta_cholestane_3alpha_7alpha_12alpha_triol,CC(C)CCC[C@@H](C)[C@@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@@]4(C)[C@@H]3C[C@H](O)[C@]12C,2C19
153,7_benzyloxy_4_trifluoromethyl_coumarin,FC(F)(F)C1=C[C](=O)OC2=CC(=CC=C12)OCC3=CC=CC=C3,2C19
154,9_anthraldehyde,O=CC1=C2C=CC=CC2=CC3=CC=CC=C13,2C19
155,ABT_438,C[C@@H](NC(N)=O)C#CC1=CC=C(CC2=CC=C(F)C=C2)S1,2C19
156,almotriptan,CN(C)CCC1=C[NH]C2=CC=C(C[S](=O)(=O)N3CCCC3)C=C12,2C19
157,amiodarone,CCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC)C(=C2)I)I)C3=C(O1)C=CC=C3,2C19
158,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,2C19
159,amodiaquine,CCN(CC)CC1=CC(=CC=C1O)NC2=CC=NC3=CC(=CC=C23)Cl,2C19
160,atomoxetine,CNCC[C@@H](OC1=C(C)C=CC=C1)C2=CC=CC=C2,2C19
161,atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C,2C19
162,azelastine,CN1CCC[C@@H](CC1)[N]2N=C(CC3=CC=C(Cl)C=C3)C4=C(C=CC=C4)[C]2=O,2C19
163,azinphosmethyl,CO[P](=S)(OC)SC[N]1N=NC2=CC=CC=C2[C]1=O,2C19
164,BDB,CCC(N)CC1=CC=C2OCOC2=C1,2C19
165,BMAMC,CCCCNCC1=C[C](=O)OC2=CC(=CC=C12)OC,2C19
166,bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CN=CC=N2)B(O)O,2C19
167,BPR_0L075,COC1=CC=C2C(=C1)[NH]C=C2C(=O)C3=CC(=C(OC)C(=C3)OC)OC,2C19
168,bufuralol_R,CCC1=C2OC(=CC2=CC=C1)[C@H](O)CNC(C)(C)C,2C19
169,bupivacaine_R,CCCCN1CCCC[C@@H]1C(=O)NC2=C(C)C=CC=C2C,2C19
170,carbaryl,CNC(=O)OC1=CC=CC2=C1C=CC=C2,2C19
171,carbofuran,CNC(=O)OC1=C2OC(C)(C)CC2=CC=C1,2C19
172,catechol_methoxychlor,COC1=CC=C(C=C1)C(C2=CC=C(O)C(=C2)O)C(Cl)(Cl)Cl,2C19
173,celecoxib,CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,2C19
174,chlorpyrifos,CCO[P](=S)(OCC)OC1=NC(=C(Cl)C=C1Cl)Cl,2C19
175,citalopram_R,CN(C)CCC[C@@]1(OCC2=C1C=CC(=C2)C#N)C3=CC=C(F)C=C3,2C19
176,clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=C(Cl)C=C13,2C19
177,clopidogrel,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=CC=CC=C3Cl,2C19
178,clozapine,CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(=C3)Cl,2C19
179,cp_677_623,COC1=CC=C(OC(F)(F)F)C=C1CN,2C19
180,dapsone,NC1=CC=C(C=C1)[S](=O)(=O)C2=CC=C(N)C=C2,2C19
181,deoxy_podophyllotoxin,COC1=C(OC)C(=CC(=C1)[C@@H]2[C@H]3[C@@H](COC3=O)CC4=CC5=C(OCO5)C=C24)OC,2C19
182,desogestrel,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,2C19
183,dextropropoxyphene,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C2=CC=CC=C2,2C19
184,diallylsulfide,C=CCSSCC=C,2C19
185,diazepam,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC(=CC=C13)Cl,2C19
186,diazinion,CCO[P](=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,2C19
187,diclofenac,OC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl,2C19
188,diethyl_meta_toluamide,CCN(CC)C(=O)C1=CC(=CC=C1)C,2C19
189,dimemorfan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C)C=C4,2C19
190,DiMMAMC,COC1=CC=C2C(=C[C](=O)OC2=C1)CN(C)C,2C19
191,diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,2C19
192,disulfoton,CCO[P](=S)(OCC)SCCSCC,2C19
193,diuron,CN(C)C(=O)NC1=CC=C(Cl)C(=C1)Cl,2C19
194,DMZ,CN(C1=CC=N[N]1C2=CC=CC=C2)[S](=O)(=O)C3=CC=C(C)C=C3,2C19
195,domperidone,ClC1=CC=C2[N](C3CCN(CCC[N]4[C](=O)[NH]C5=CC=CC=C45)CC3)[C](=O)[NH]C2=C1,2C19
196,DY_9760e,COC1=CC2=C(C=C1OC)C(=N[N]2CC3=C[NH]C=N3)CCN4CCN(CC4)C5=CC=CC(=C5C)Cl,2C19
197,EMAMC,CCNCC1=C[C](=O)OC2=CC(=CC=C12)OC,2C19
198,endosulfan,ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,2C19
199,ethanol,CCO,2C19
200,ethinyl_estradiol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C4)O)[C@@H]1CC[C@@]2(O)C#C,2C19
201,eupatilin,COC1=CC=C(C=C1OC)C2=C[C](=O)C3=C(O)C(=C(O)C=C3O2)OC,2C19
202,fipronil,NC1=C(C(=N[N]1C2=C(Cl)C=C(C=C2Cl)C(F)(F)F)C#N)[S@](=O)C(F)(F)F,2C19
203,fluoxetine_R,CNCC[C@@H](OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2,2C19
204,fluticasone_proprionate,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,2C19
205,H_259_31_R,FC1=CC=C2N=C([NH]C2=C1)[S@](=O)CC3=NC=CC(=C3)OCC4CC4,2C19
206,haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,2C19
207,harmaline,COC1=CC2=C(C=C1)C3=C([NH]2)C(=NCC3)C,2C19
208,harmine,COC1=CC=C2C(=C1)[NH]C3=C2C=CN=C3C,2C19
209,hexobarbital_R,CN1C(=O)NC(=O)[C@](C)(C1=O)C2=CCCCC2,2C19
210,imidacloprid,ClC1=NC=C(CN2CCN=C2N[N](=O)=O)C=C1,2C19
211,indole,[NH]1C=CC2=CC=CC=C12,2C19
212,indomethacin,COC1=CC=C2[N](C(=C(CC(O)=O)C2=C1)C)C(=O)C3=CC=C(Cl)C=C3,2C19
213,ipriflavone,CC(C)OC1=CC=C2C(=C1)OC=C([C]2=O)C3=CC=CC=C3,2C19
214,licofelone,CC1(C)C[N]2C(=C(C3=CC=C(Cl)C=C3)C(=C2C1)C4=CC=CC=C4)CC(O)=O,2C19
215,limonene_S,CC(=C)[C@H]1CCC(=CC1)C,2C19
216,linalool,CC(C)=CCCC(C)(O)C=C,2C19
217,LU_2509,CC[N]1N=NC(=N1)C2=CCCN(C)C2,2C19
218,Lu_AA21004,CC1=CC=C(SC2=CC=CC=C2N3CCNCC3)C(=C1)C,2C19
219,MAMC,COC1=CC=C2C(=C[C](=O)OC2=C1)CN,2C19
220,melatonin,COC1=CC=C2[NH]C=C(CCNC(C)=O)C2=C1,2C19
221,meperidine,CCOC(=O)C1(CCN(C)CC1)C2=CC=CC=C2,2C19
222,mephenytoin_S,CC[C@]1(NC(=O)N(C)C1=O)C2=CC=CC=C2,2C19
223,mesoridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=CC=C(C=C24)[S](C)=O,2C19
224,methadone_R,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,2C19
225,methiocarb,CNC(=S)OC1=CC(=C(SC)C(=C1)C)C,2C19
226,ML_3403,CSC1=NC(=C([NH]1)C2=CC=C(F)C=C2)C3=CC=NC(=C3)NC(C)C4=CC=CC=C4,2C19
227,ML_3603,CC(NC1=NC=CC(=C1)C2=C(N=C([NH]2)[S](C)=O)C3=CC=C(F)C=C3)C4=CC=CC=C4,2C19
228,MMAMC,CNCC1=C[C](=O)OC2=C1C=CC(=C2)OC,2C19
229,montelukast,CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC2)CC(O)=O)C3=CC=CC(=C3)\C=C\C4=CC=C5C=CC(=CC5=N4)Cl,2C19
230,MOPPP_R,COC1=CC=C(C=C1)C(=O)[C@@H](C)N2CCCC2,2C19
231,muraglitazar,COC1=CC=C(OC(=O)N(CC(O)=O)CC2=CC=C(OCCC3=C(C)OC(=N3)C4=CC=CC=C4)C=C2)C=C1,2C19
232,nabumetone,COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1,2C19
233,nelfinavir,CC1=C(O)C=CC=C1C(=O)N[C@@H](CSC2=CC=CC=C2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,2C19
234,nicardipine_R,COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC=CC(=C2)[N](=O)=O)C(=O)OCCN(C)CC3=CC=CC=C3)C,2C19
235,NN_diamyl_nitrosoamine,CCCCCN(CCCCC)N=O,2C19
236,NN_diethyl_nitrosoamine,CCN(CC)N=O,2C19
237,NN_methyl_butyl_nitrosoamine,CCCCN(C)N=O,2C19
238,NN_methyl_ethyl_nitrosoamine,CCN(C)N=O,2C19
239,nordiazepam,ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,2C19
240,norLAAM,CC[C@H](OC(C)=O)C(C[C@H](C)NC)(C1=CC=CC=C1)C2=CC=CC=C2,2C19
241,OSU_6162,CCCN1CCC[C@H](C1)C2=CC(=CC=C2)[S](C)(=O)=O,2C19
242,p_cresol,CC1=CC=C(O)C=C1,2C19
243,parathion,CCO[P](=S)(OCC)OC1=CC=C(C=C1)[N](=O)=O,2C19
244,phenprocoumon_S,CC[C@@H](C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3O[C]2=O,2C19
245,phenytoin,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,2C19
246,phorate,CCO[P](=S)(OCC)SCSCC,2C19
247,PMAMC,CCCNCC1=C[C](=O)OC2=C1C=CC(=C2)OC,2C19
248,pregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2C19
249,progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,2C19
250,propofol,CC(C)C1=C(O)C(=CC=C1)C(C)C,2C19
251,quinine,COC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)C2=C1,2C19
252,R_95913,FC1=CC=CC=C1C(N2CCC3SC(=O)C=C3C2)C(=O)C4CC4,2C19
253,rabeprazole_thioether,COCCCOC1=CC=NC(=C1C)CSC2=NC3=CC=CC=C3[NH]2,2C19
254,ranitidine,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N](=O)=O,2C19
255,retinol,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,2C19
