,,,Predictions,,,,Category - training set predictions,,
31,Diphenylhydantoin,-3.26,-3.10,-3.73,,31, Diphenydramine,-2.36,-2.39
32,Enrofloxacin,-2.74,-2.69,-2.87,,32, Enrofloxacin,-2.74,-3.24
33,Famotidine,-2.18,-1.46,-2.10,,33, Fenoprofen,-3.08,-4.57
34,Fenoprofen,-3.08,-3.77,-3.58,,34, Flufenamic acid,-4.80,-5.46
35,Flufenamic acid,-4.80,-5.21,-5.26,,35, Flumequine,-3.15,-3.76
36,Flumequine,-3.15,-2.78,-3.18,,36, Flurbiprofen,-3.54,-4.49
37,Flurbiprofen,-3.54,-3.53,-3.94,,37, Glipizide,-5.14,-5.18
38,Glipizide,-5.14,-5.14,-5.00,,38, Guanine,-3.61,-3.25
39,Guanine,-3.61,-1.76,-3.36,,39, Hydroflumethiazide,-2.49,-2.76
40,Hexobarbital,-2.04,-2.87,-2.36,,40, Ibuprofen,-2.91,-4.25
41,Hydroflumethiazide,-2.49,-2.15,-2.10,,41, Lomefloxacin,-1.88,-2.76
42,Ibuprofen,-2.91,-2.77,-3.07,,42, Loperamide,-6.75,-6.96
43,Loperamide,-6.75,-5.50,-6.68,,43, Maprotiline,-4.13,-4.43
44,Maprotiline,-4.13,-3.48,-3.70,,44, Mefenamic acid,-6.12,-5.62
45,Mefenamic acid,-6.12,-4.16,-5.13,,45, Metoclopramide,-3.05,-3.49
46,Metoclopramide,-3.05,-2.45,-2.97,,46, Miconazole,-4.69,N/A - Read-across
47,Metronidazole,-0.45,-1.21,-0.47,,47, Nalidixic acid,-2.98,-2.85
48,Miconazole,-4.69,-5.71,-4.74,,48, Naloxone,-2.42,-2.87
49,Naloxone,-2.42,-1.91,-2.47,,49, Naproxen,-3.86,-3.95
50,Naproxen,-3.86,-3.03,-2.90,,50, Niflumic acid,-4.04,-5.02
51,Nitrofurantoin,-2.62,-2.54,-2.66,,51, Norfloxacin,-2.26,-2.17
52,Norfloxacin,-2.26,-1.92,-2.76,,52, Nortriptiline,-3.44,-4.44
53,Nortriptiline,-3.44,-3.66,-3.63,,53, Ofloxacin,-0.83,-2.51
54,Oxytetracycline,-2.75,-3.09,-2.80,,54, Phthalic acid,-0.71,-1.66
55,Papaverine,-3.40,-3.73,-3.79,,55, Pindolol,-3.19,-3.94
56,Phenazopyridine,-3.52,-2.57,-2.85,,56, Piroxicam,-4.32,-4.49
57,Phenobarbital,-1.66,-2.99,-1.61,,57, Procaine,-1.09,-2.74
58,Phthalic acid,-0.83,-1.49,-0.78,,58, Propranolol,-2.90,-3.57
59,Phthalic acid,-0.71,-1.50,-0.78,,59, Sarafloxacin,-2.72,-3.61
60,Procaine,-1.09,-1.78,-1.51,,60, Sertraline,-4.32,-4.01
61,Propranolol,-2.90,-2.47,-3.12,,61, Sparfloxacin,-2.96,-2.90
62,Quinine,-2.30,-3.31,-3.26,,62, Sulfacetamide,-0.85,-1.97
63,Ranitidine,-2.00,-1.31,-1.95,,63, Sulfamethazine,-5.74,-3.08
64,Sarafloxacin,-2.72,-3.29,-3.03,,64, Sulfathiazole,-2.10,-3.01
65,Sertraline,-4.32,-4.09,-4.04,,65, Tetracaine,-2.43,-2.57
66,Sparfloxacin,-2.96,-2.67,-2.80,,66, Tolmetin,-3.50,-3.76
67,Sulfacetamide,-0.85,-1.20,-1.06,,67, Trichloromethiazide,-2.76,-2.83
68,Sulfasalazine,-5.74,-5.01,-5.86,,68, Trimipramine,-4.27,-4.48
69,Sulfathiazole,-2.10,-1.86,-2.59,,69, Tryptamine,-2.50,-3.47
70,Sulindac,-4.06,-4.79,-3.66,,70, Warfarin,-4.27,-4.92
71,Sulindac,-3.23,-4.83,-3.66,,,,,
72,Thymol,-1.37,-1.92,-1.56,,,,,
73,Tolmetin,-3.50,-3.01,-3.03,,,,,
74,Trimethoprim,-2.41,-2.38,-1.94,,,,,
75,Trimipramine,-4.27,-4.16,-4.33,,,,,
76,Tryptamine,-2.50,-1.05,-2.30,,,,,
77,Verapamil,-3.63,-4.98,-3.50,,,,,
78,Warfarin,-4.27,-2.93,-3.65,,,,,
