,Target,Dataset_Size,Actives,Inactives
90,Solute_carrier_family_15_member_2_sub,1192,4,1188
91,Solute_carrier_family_22_member_11_sub,1192,1,1191
92,Solute_carrier_family_22_member_1_sub,1192,8,1184
93,Solute_carrier_family_22_member_2_sub,1192,12,1180
94,Solute_carrier_family_22_member_3_sub,1192,3,1189
95,Solute_carrier_family_22_member_4_sub,1192,2,1190
96,Solute_carrier_family_22_member_5_sub,1192,5,1187
97,Solute_carrier_family_22_member_6_sub,1192,9,1183
98,Solute_carrier_family_22_member_7_sub,1192,5,1187
99,Solute_carrier_family_22_member_8_sub,1192,18,1174
100,Solute_carrier_family_28_member_3_sub,1192,3,1189
101,Solute_carrier_organic_anion_transporter_family_member_1A2_sub,1192,20,1172
102,Solute_carrier_organic_anion_transporter_family_member_1B1_sub,1192,20,1172
103,Solute_carrier_organic_anion_transporter_family_member_1B3_sub,1192,14,1178
104,Solute_carrier_organic_anion_transporter_family_member_1C1_sub,1192,1,1191
105,Solute_carrier_organic_anion_transporter_family_member_2A1_sub,1192,1,1191
106,Solute_carrier_organic_anion_transporter_family_member_2B1_sub,1192,8,1184
107,Solute_carrier_organic_anion_transporter_family_member_3A1_sub,1192,1,1191
108,Solute_carrier_organic_anion_transporter_family_member_4A1_sub,1192,1,1191
109,Solute_carrier_organic_anion_transporter_family_member_4C1_sub,1192,2,1190
110,Steroid_11_beta_hydroxylase_sub,1192,3,1189
111,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_sub,1192,3,1189
112,Steroid_21_hydroxylase_21_OHase_sub,1192,2,1190
113,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_sub,1192,2,1190
114,Sulfotransferase_sub,1192,25,1167
115,UGT_sub,1192,66,1126
