"protein_class_id","parent_id","pref_name","short_name","protein_class_desc","definition","class_level"
23,1121,"Serine protease S11 family","S11","enzyme  protease  serine  se  s11","A carboxypeptidase that is specific for proteins that contain two ALANINE residues on their C-terminal. Enzymes in this class play an important role in bacterial CELL WALL biosynthesis. [MESH:D046929]",5
24,1121,"Serine protease S12 family","S12","enzyme  protease  serine  se  s12",,5
25,1121,"Serine protease S13 family","S13","enzyme  protease  serine  se  s13","A carboxypeptidase that is specific for proteins that contain two ALANINE residues on their C-terminal. Enzymes in this class play an important role in bacterial CELL WALL biosynthesis. [MESH:D046929]",5
27,1123,"Serine protease S21 family","S21","enzyme  protease  serine  sh  s21",,5
28,1110,"Cysteine protease C2 family","C2","enzyme  protease  cysteine  ca  c2","Cysteine proteinase found in many tissues. Hydrolyzes a variety of endogenous proteins including NEUROPEPTIDES; CYTOSKELETAL PROTEINS; proteins from SMOOTH MUSCLE; CARDIAC MUSCLE; liver; platelets; and erythrocytes. Two subclasses having high and low calcium sensitivity are known. Removes Z-discs and M-lines from myofibrils. Activates phosphorylase kinase and cyclic nucleotide-independent protein kinase. This enzyme was formerly listed as EC 3.4.22.4. [MESH:D002154]",5
29,1130,"Metallo protease M49 family","M49","enzyme  protease  metallo  mae  m49",,5
30,1113,"Metallo protease M79 family","M79","enzyme  protease  metallo  m-  m79",,5
31,1130,"Metallo protease M1 family","M1","enzyme  protease  metallo  mae  m1","A subclass of EXOPEPTIDASES that act on the free N terminus end of a polypeptide liberating a single amino acid residue. EC 3.4.11. [MESH:D000626]",5
33,1130,"Metallo protease M2 family","M2","enzyme  protease  metallo  mae  m2",,5
34,1130,"Metallo protease M4 family","M4","enzyme  protease  metallo  mae  m4","A thermostable extracellular metalloendopeptidase containing four calcium ions. (Enzyme Nomenclature, 1992) 3.4.24.27. [MESH:D013820]",5
35,1115,"Metallo protease M17 family","M17","enzyme  protease  metallo  mf  m17","A zinc containing enzyme of the hydrolase class that catalyzes the removal of the N-terminal amino acid from most L-peptides, particularly those with N-terminal leucine residues but not those with N-terminal lysine or arginine residues. This occurs in tissue cell cytosol, with high activity in the duodenum, liver, and kidney. The activity of this enzyme is commonly assayed using a leucine arylamide chromogenic substrate such as leucyl beta-naphthylamide. [MESH:D007931]",5
36,1117,"Metallo protease M18 family","M18","enzyme  protease  metallo  mh  m18","A ZINC-dependent membrane-bound aminopeptidase that catalyzes the N-terminal peptide cleavage of GLUTAMATE (and to a lesser extent ASPARTATE). The enzyme appears to play a role in the catabolic pathway of the RENIN-ANGIOTENSIN SYSTEM. [MESH:D043384]",5
37,1118,"Metallo protease M19 family","M19","enzyme  protease  metallo  mj  m19",,5
38,1136,"Serine protease S1A subfamily","S1A","enzyme  protease  serine  pas  s1a","A serine endopeptidase secreted by the pancreas as its zymogen, CHYMOTRYPSINOGEN and carried in the pancreatic juice to the duodenum where it is activated by TRYPSIN. It selectively cleaves aromatic amino acids on the carboxyl side. [MESH:D002918]",5
40,1136,"Serine protease S1B subfamily","S1B","enzyme  protease  serine  pas  s1b",,5
41,1136,"Serine protease S29 family","S29","enzyme  protease  serine  pas  s29",,5
43,1122,"Serine protease S26A subfamily","S26A","enzyme  protease  serine  sf  s26a",,5
44,1124,"Serine protease S60 family","S60","enzyme  protease  serine  sr  s60","An iron-binding protein that was originally characterized as a milk protein. It is widely distributed in secretory fluids and is found in the neutrophilic granules of LEUKOCYTES. The N-terminal part of lactoferrin possesses a serine protease which functions to inactivate the type III secretion system used by bacteria to export virulence proteins for host cell invasion. [MESH:D007781]",5
45,1125,"Protease unclassified U48 family","U48","enzyme  protease  unknown  u-  u48",,5
47,1106,"Aspartic protease A1A subfamily","A1A","enzyme  protease  aspartic  aa  a1a","Formed from pig pepsinogen by cleavage of one peptide bond. The enzyme is a single polypeptide chain and is inhibited by methyl 2-diaazoacetamidohexanoate. It cleaves peptides preferentially at the carbonyl linkages of phenylalanine or leucine and acts as the principal digestive enzyme of gastric juice. [MESH:D010434]",5
48,1106,"Aspartic protease A2A subfamily","A2A","enzyme  protease  aspartic  aa  a2a",,5
49,1109,"Cysteine protease C18 family","C18","enzyme  protease  cysteine  cm  c18",,5
50,1110,"Cysteine protease C1A family","C1A","enzyme  protease  cysteine  ca  c1a","A proteolytic enzyme obtained from Carica papaya. It is also the name used for a purified mixture of papain and CHYMOPAPAIN that is used as a topical enzymatic debriding agent. EC 3.4.22.2. [MESH:D010206]",5
51,1110,"Cysteine protease C2A subfamily","C2A","enzyme  protease  cysteine  ca  c2a","Cysteine proteinase found in many tissues. Hydrolyzes a variety of endogenous proteins including NEUROPEPTIDES; CYTOSKELETAL PROTEINS; proteins from SMOOTH MUSCLE; CARDIAC MUSCLE; liver; platelets; and erythrocytes. Two subclasses having high and low calcium sensitivity are known. Removes Z-discs and M-lines from myofibrils. Activates phosphorylase kinase and cyclic nucleotide-independent protein kinase. This enzyme was formerly listed as EC 3.4.22.4. [MESH:D002154]",5
52,1111,"Cysteine protease C13 family","C13","enzyme  protease  cysteine  cd  c13",,5
53,1111,"Cysteine protease C14 family","C14","enzyme  protease  cysteine  cd  c14","A family of intracellular CYSTEINE ENDOPEPTIDASES that play a role in regulating INFLAMMATION and APOPTOSIS. They specifically cleave peptides at a CYSTEINE amino acid that follows an ASPARTIC ACID residue. Caspases are activated by proteolytic cleavage of a precursor form to yield large and small subunits that form the enzyme. Since the cleavage site within precursors matches the specificity of caspases, sequential activation of precursors by activated caspases can occur. [MESH:D020169]",5
54,1111,"Cysteine protease C25 family","C25","enzyme  protease  cysteine  cd  c25",,5
55,1130,"Metallo protease M13 family","M13","enzyme  protease  metallo  mae  m13","Enzyme that is a major constituent of kidney brush-border membranes and is also present to a lesser degree in the brain and other tissues. It preferentially catalyzes cleavage at the amino group of hydrophobic residues of the B-chain of insulin as well as opioid peptides and other biologically active peptides. The enzyme is inhibited primarily by EDTA, phosphoramidon, and thiorphan and is reactivated by zinc. Neprilysin is identical to common acute lymphoblastic leukemia antigen (CALLA Antigen), an important marker in the diagnosis of human acute lymphocytic leukemia. There is no relationship with CALLA PLANT. [MESH:D015260]",5
57,1130,"Metallo protease M27 family","M27","enzyme  protease  metallo  mae  m27",,5
59,1117,"Metallo protease M28 family","M28","enzyme  protease  metallo  mh  m28",,5
60,1130,"Metallo protease M34 family","M34","enzyme  protease  metallo  mae  m34",,5
61,1130,"Metallo protease M9B subfamily","M9B","enzyme  protease  metallo  mae  m9b","A metalloproteinase which degrades helical regions of native collagen to small fragments. Preferred cleavage is -Gly in the sequence -Pro-Xaa-Gly-Pro-. Six forms (or 2 classes) have been isolated from Clostridium histolyticum that are immunologically cross-reactive but possess different sequences and different specificities. Other variants have been isolated from Bacillus cereus, Empedobacter collagenolyticum, Pseudomonas marinoglutinosa, and species of Vibrio and Streptomyces. EC 3.4.24.3. [MESH:D003012]",5
62,1114,"Metallo protease M14A subfamily","M14A","enzyme  protease  metallo  mc  m14a",,5
63,1114,"Metallo protease M14B subfamily","M14B","enzyme  protease  metallo  mc  m14b",,5
65,1116,"Metallo protease M24A subfamily","M24A","enzyme  protease  metallo  mg  m24a",,5
66,1116,"Metallo protease M24B subfamily","M24B","enzyme  protease  metallo  mg  m24b",,5
67,1117,"Metallo protease M20A subfamily","M20A","enzyme  protease  metallo  mh  m20a",,5
68,59,"Metallo protease M28A subfamily","M28A","enzyme  protease  metallo  mh  m28  m28a",,6
69,59,"Metallo protease M28B subfamily","M28B","enzyme  protease  metallo  mh  m28  m28b",,6
71,1107,"Aspartic protease A22A subfamily","A22A","enzyme  protease  aspartic  ad  a22a","Integral membrane proteins and essential components of the gamma-secretase complex that catalyzes the cleavage of membrane proteins such as NOTCH RECEPTORS and AMYLOID BETA-PEPTIDES precursors. Mutations of presenilins lead to presenile ALZHEIMER DISEASE with onset before age 65 years. [MESH:D053763]",5
72,1108,"Aspartic protease A26 family","A26","enzyme  protease  aspartic  af  a26",,5
73,1110,"Cysteine protease C12 family","C12","enzyme  protease  cysteine  ca  c12","A thioester hydrolase which acts on esters formed between thiols such as DITHIOTHREITOL or GLUTATHIONE and the C-terminal glycine residue of UBIQUITIN. [MESH:D043222]",5
74,1110,"Cysteine protease C19 family","C19","enzyme  protease  cysteine  ca  c19",,5
76,1111,"Cysteine protease C11 family","C11","enzyme  protease  cysteine  cd  c11",,5
77,53,"Cysteine protease C14A subfamily","C14A","enzyme  protease  cysteine  cd  c14  c14a","A family of intracellular CYSTEINE ENDOPEPTIDASES that play a role in regulating INFLAMMATION and APOPTOSIS. They specifically cleave peptides at a CYSTEINE amino acid that follows an ASPARTIC ACID residue. Caspases are activated by proteolytic cleavage of a precursor form to yield large and small subunits that form the enzyme. Since the cleavage site within precursors matches the specificity of caspases, sequential activation of precursors by activated caspases can occur. [MESH:D020169]",6
78,1135,"Cysteine protease C3A subfamily","C3A","enzyme  protease  cysteine  pac  c3a",,5
79,1138,"Cysteine protease C26 family","C26","enzyme  protease  cysteine  pcc  c26","Catalyzes the hydrolysis of pteroylpolyglutamic acids in gamma linkage to pterolylmonoglutamic acid and free glutamic acid. EC 3.4.19.9. [MESH:D011623]",5
80,1112,"Protease inhibitor I49 family","I49","enzyme  protease  inhibitor  i-  i49",,5
81,1130,"Metallo protease M48A subfamily","M48A","enzyme  protease  metallo  mae  m48a",,5
82,1131,"Metallo protease M10A subfamily","M10A","enzyme  protease  metallo  mam  m10a","A member of the metalloproteinase family of enzymes that is principally responsible for cleaving FIBRILLAR COLLAGEN. It can degrade interstitial collagens, types I, II and III. [MESH:D020781]",5
83,1131,"Metallo protease M12A subfamily","M12A","enzyme  protease  metallo  mam  m12a","A bone morphogenetic protein family member that includes an active tolloid-like metalloproteinase domain. The metalloproteinase activity of bone morphogenetic protein 1 is specific for the removal of the C-propeptide of PROCOLLAGEN and may act as a regulator of EXTRACELLULAR MATRIX deposition. Alternative splicing of MRNA for bone morphogenetic protein 1 results in the production of several PROTEIN ISOFORMS. [MESH:D055395]",5
84,1131,"Metallo protease M12B subfamily","M12B","enzyme  protease  metallo  mam  m12b","A family of membrane-anchored glycoproteins that contain a disintegrin and metalloprotease domain. They are responsible for the proteolytic cleavage of many transmembrane proteins and the release of their extracellular domain. [MESH:D051722]",5
87,1137,"Threonine protease T2 family","T2","enzyme  protease  threonine  pbt  t2",,5
89,1137,"Threonine protease T1A subfamily","T1A","enzyme  protease  threonine  pbt  t1a",,5
90,1079,"Serine protease unclassified","Unclassified","enzyme  protease  serine  unclassified",,4
92,28,"Cysteine protease C2 regulatory subfamily","Reg","enzyme  protease  cysteine  ca  c2  reg",,6
93,41,"Serine protease S29 regulatory subfamily","Reg","enzyme  protease  serine  pas  s29  reg",,6
94,1061,"Phosphodiesterase 1A","PDE_1A","enzyme  phosphodiesterase  pde_1  pde_1a",,4
95,1061,"Phosphodiesterase 1B","PDE_1B","enzyme  phosphodiesterase  pde_1  pde_1b",,4
96,1061,"Phosphodiesterase 1C","PDE_1C","enzyme  phosphodiesterase  pde_1  pde_1c",,4
97,1062,"Phosphodiesterase 2A","PDE_2A","enzyme  phosphodiesterase  pde_2  pde_2a",,4
98,1063,"Phosphodiesterase 3A","PDE_3A","enzyme  phosphodiesterase  pde_3  pde_3a",,4
99,1063,"Phosphodiesterase 3B","PDE_3B","enzyme  phosphodiesterase  pde_3  pde_3b",,4
100,1064,"Phosphodiesterase 4A","PDE_4A","enzyme  phosphodiesterase  pde_4  pde_4a",,4
101,1064,"Phosphodiesterase 4B","PDE_4B","enzyme  phosphodiesterase  pde_4  pde_4b",,4
102,1064,"Phosphodiesterase 4C","PDE_4C","enzyme  phosphodiesterase  pde_4  pde_4c",,4
103,1064,"Phosphodiesterase 4D","PDE_4D","enzyme  phosphodiesterase  pde_4  pde_4d",,4
104,1065,"Phosphodiesterase 5A","PDE_5A","enzyme  phosphodiesterase  pde_5  pde_5a",,4
105,1066,"Phosphodiesterase 6A","PDE_6A","enzyme  phosphodiesterase  pde_6  pde_6a",,4
106,1066,"Phosphodiesterase 6B","PDE_6B","enzyme  phosphodiesterase  pde_6  pde_6b",,4
107,1066,"Phosphodiesterase 6C","PDE_6C","enzyme  phosphodiesterase  pde_6  pde_6c",,4
108,1066,"Phosphodiesterase 6D","PDE_6D","enzyme  phosphodiesterase  pde_6  pde_6d",,4
109,1066,"Phosphodiesterase 6G","PDE_6G","enzyme  phosphodiesterase  pde_6  pde_6g",,4
110,1066,"Phosphodiesterase 6H","PDE_6H","enzyme  phosphodiesterase  pde_6  pde_6h",,4
111,1067,"Phosphodiesterase 7A","PDE_7A","enzyme  phosphodiesterase  pde_7  pde_7a",,4
112,1067,"Phosphodiesterase 7B","PDE_7B","enzyme  phosphodiesterase  pde_7  pde_7b",,4
113,1068,"Phosphodiesterase 8A","PDE_8A","enzyme  phosphodiesterase  pde_8  pde_8a",,4
114,1068,"Phosphodiesterase 8B","PDE_8B","enzyme  phosphodiesterase  pde_8  pde_8b",,4
115,1069,"Phosphodiesterase 9A","PDE_9A","enzyme  phosphodiesterase  pde_9  pde_9a",,4
116,63,"Metallo protease M14B regulatory subfamily","Reg","enzyme  protease  metallo  mc  m14b  reg",,6
118,667,"Voltage-gated potassium channel","VG K","ion channel  vgc  k  vg k","Potassium channel whose permeability to ions is extremely sensitive to the transmembrane potential difference. The opening of these channels is induced by the membrane depolarization of the ACTION POTENTIAL. [MESH:D024642]",4
119,1452,"Atypical protein kinase PDHK subfamily","Pdhk","enzyme  kinase  protein kinase  atypical  pdhk",,5
120,71,"Aspartic protease A22A regulatory subfamily","Reg","enzyme  protease  aspartic  ad  a22a  reg",,6
123,1077,"Phosphodiesterase 10A","PDE_10A","enzyme  phosphodiesterase  pde_10  pde_10a",,4
124,1078,"Phosphodiesterase 11A","PDE_11A","enzyme  phosphodiesterase  pde_11  pde_11a",,4
129,6,"Protein kinase regulatory subunit","Reg","enzyme  kinase  reg",,3
130,1285,"Tyrosine protein kinase Abl family","Abl","enzyme  kinase  protein kinase  tk  abl",,5
131,1285,"Tyrosine protein kinase Ack family","Ack","enzyme  kinase  protein kinase  tk  ack",,5
132,1285,"Tyrosine protein kinase Alk family","Alk","enzyme  kinase  protein kinase  tk  alk",,5
133,1285,"Tyrosine protein kinase Axl family","Axl","enzyme  kinase  protein kinase  tk  axl",,5
134,1285,"Tyrosine protein kinase Csk family","Csk","enzyme  kinase  protein kinase  tk  csk",,5
135,1285,"Tyrosine protein kinase Eph family","Eph","enzyme  kinase  protein kinase  tk  eph","A large family of receptor protein-tyrosine kinases that are structurally-related. The name of this family of proteins derives from original protein Eph (now called the EPHA1 RECEPTOR), which was named after the cell line it was first discovered in: Erythropoietin-Producing human Hepatocellular carcinoma cell line. Members of this family have been implicated in regulation of cell-cell interactions involved in nervous system patterning and development. [MESH:D036081]",5
136,1285,"Tyrosine protein kinase Fak family","Fak","enzyme  kinase  protein kinase  tk  fak","A family of non-receptor, PROLINE-rich protein-tyrosine kinases. [MESH:D051416]",5
137,1285,"Tyrosine protein kinase Fer family","Fer","enzyme  kinase  protein kinase  tk  fer",,5
139,1285,"Tyrosine protein kinase Met family","Met","enzyme  kinase  protein kinase  tk  met",,5
140,1285,"Tyrosine protein kinase Ret family","Ret","enzyme  kinase  protein kinase  tk  ret","Receptor protein-tyrosine kinases involved in the signaling of GLIAL CELL-LINE DERIVED NEUROTROPHIC FACTOR ligands. They contain an extracellular cadherin domain and form a receptor complexes with GDNF RECEPTORS. Mutations in ret protein are responsible for HIRSCHSPRUNG DISEASE and MULTIPLE ENDOCRINE NEOPLASIA TYPE 2. [MESH:D051096]",5
141,1285,"Tyrosine protein kinase Src family","Src","enzyme  kinase  protein kinase  tk  src","A PROTEIN-TYROSINE KINASE family that was originally identified by homology to the Rous sarcoma virus ONCOGENE PROTEIN PP60(V-SRC). They interact with a variety of cell-surface receptors and participate in intracellular signal transduction pathways. Oncogenic forms of src-family kinases can occur through altered regulation or expression of the endogenous protein and by virally encoded src (v-src) genes. [MESH:D019061]",5
142,1285,"Tyrosine protein kinase Syk family","Syk","enzyme  kinase  protein kinase  tk  syk",,5
143,1285,"Tyrosine protein kinase Tec family","Tec","enzyme  kinase  protein kinase  tk  tec",,5
144,1285,"Tyrosine protein kinase Tie family","Tie","enzyme  kinase  protein kinase  tk  tie","A family of structurally-related tyrosine kinase receptors that are expressed predominantly in ENDOTHELIAL CELLS and are essential for development of BLOOD VESSELS (NEOVASCULARIZATION, PHYSIOLOGIC). The name derives from the fact that they are tyrosine kinases that contain Ig and EGF domains. [MESH:D042764]",5
146,1285,"Tyrosine protein kinase Trk family","Trk","enzyme  kinase  protein kinase  tk  trk","Cell surface receptors that bind NERVE GROWTH FACTOR; (NGF) and a NGF-related family of neurotrophic factors that includes neurotrophins, BRAIN-DERIVED NEUROTROPHIC FACTOR and CILIARY NEUROTROPHIC FACTOR. [MESH:D017475]",5
147,1259,"GABA-B receptor","GABA-B receptor","membrane receptor  7tm3  smallmol  neurotransmitter  gaba-b receptor","A subset of GABA RECEPTORS that signal through their interaction with HETEROTRIMERIC G-PROTEINS. [MESH:D018080]",5
148,1100,"CMGC protein kinase group","Cmgc","enzyme  kinase  protein kinase  cmgc",,4
149,1285,"Tyrosine protein kinase EGFR family","Egfr","enzyme  kinase  protein kinase  tk  egfr",,5
150,1285,"Tyrosine protein kinase FGFR family","Fgfr","enzyme  kinase  protein kinase  tk  fgfr","Specific molecular sites or structures on cell membranes that react with FIBROBLAST GROWTH FACTORS (both the basic and acidic forms), their analogs, or their antagonists to elicit or to inhibit the specific response of the cell to these factors. These receptors frequently possess tyrosine kinase activity. [MESH:D017468]",5
151,1285,"Tyrosine protein kinase InsR family","InsR","enzyme  kinase  protein kinase  tk  insr",,5
152,1285,"Tyrosine protein kinase JakA family","Jaka","enzyme  kinase  protein kinase  tk  jaka","A family of intracellular tyrosine kinases that participate in the signaling cascade of cytokines by associating with specific CYTOKINE RECEPTORS. They act upon STAT TRANSCRIPTION FACTORS in signaling pathway referred to as the JAK/STAT pathway. The name Janus kinase refers to the fact the proteins have two phosphate-transferring domains. [MESH:D053612]",5
153,1285,"Tyrosine protein kinase JakB family","Jakb","enzyme  kinase  protein kinase  tk  jakb","A family of intracellular tyrosine kinases that participate in the signaling cascade of cytokines by associating with specific CYTOKINE RECEPTORS. They act upon STAT TRANSCRIPTION FACTORS in signaling pathway referred to as the JAK/STAT pathway. The name Janus kinase refers to the fact the proteins have two phosphate-transferring domains. [MESH:D053612]",5
154,1103,"Protein phosphatase regulatory subunit","Reg","enzyme  phosphatase  protein phosphatase  reg",,4
155,1103,"Serine protein phosphatase","Ser","enzyme  phosphatase  protein phosphatase  ser",,4
156,1103,"Tyrosine protein phosphatase","Tyr","enzyme  phosphatase  protein phosphatase  tyr",,4
158,1100,"Other protein kinase group","Other","enzyme  kinase  protein kinase  other",,4
159,1285,"Tyrosine protein kinase PDGFR family","Pdgfr","enzyme  kinase  protein kinase  tk  pdgfr","Specific receptors on cell membranes that react with PLATELET-DERIVED GROWTH FACTOR, its analogs, or antagonists. The alpha PDGF receptor (RECEPTOR, PLATELET-DERIVED GROWTH FACTOR ALPHA) and the beta PDGF receptor (RECEPTOR, PLATELET-DERIVED GROWTH FACTOR BETA) are the two principle types of PDGF receptors. Activation of the protein-tyrosine kinase activity of the receptors occurs by ligand-induced dimerization or heterodimerization of PDGF receptor types. [MESH:D017479]",5
160,1285,"Tyrosine protein kinase VEGFR family","Vegfr","enzyme  kinase  protein kinase  tk  vegfr","A family of closely related RECEPTOR PROTEIN-TYROSINE KINASES that bind vascular endothelial growth factors. They share a cluster of seven extracellular Ig-like domains which are important for ligand binding. They are highly expressed in vascular endothelial cells and are critical for the physiological and pathological growth, development and maintenance of blood and lymphatic vessels. [MESH:D040262]",5
165,1251,"Glucagon receptor","Glucagon receptor","membrane receptor  7tm2  peptide  glucagon-like  glucagon receptor","Cell surface receptors that bind glucagon with high affinity and trigger intracellular changes which influence the behavior of cells. Activation of glucagon receptors causes a variety of effects; the best understood is the initiation of a complex enzymatic cascade in the liver which ultimately increases the availability of glucose to body organs. [MESH:D018027]",5
166,1251,"Secretin receptor receptor","Secretin receptor","membrane receptor  7tm2  peptide  glucagon-like  secretin receptor",,5
167,1179,"Cytochrome P450 1A1","CYP_1A1","enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a1","A liver microsomal cytochrome P-450 monooxygenase capable of biotransforming xenobiotics such as polycyclic hydrocarbons and halogenated aromatic hydrocarbons into carcinogenic or mutagenic compounds. They have been found in mammals and fish. This enzyme, encoded by CYP1A1 gene, can be measured by using ethoxyresorufin as a substrate for the ethoxyresorufin O-deethylase activity. [MESH:D019363]",5
168,1179,"Cytochrome P450 1A2","CYP_1A2","enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a2","A cytochrome P-450 monooxygenase that can be induced by polycyclic aromatic xenobiotics in the liver of human and several animal species. This enzyme is of significant clinical interest due to the large number of drug interactions associated with its induction and its metabolism of THEOPHYLLINE. Caffeine is considered to be a model substrate for this enzyme. CYP1A2 activity can also be increased by environmental factors such as cigarette smoking, charbroiled meat, cruciferous vegetables, and a number of drugs including phenytoin, phenobarbital, and omeprazole. [MESH:D019388]",5
169,1180,"Cytochrome P450 1B1","CYP_1B1","enzyme  cytochrome p450  cyp_1  cyp_1b  cyp_1b1",,5
170,1181,"Cytochrome P450 2A2","CYP_2A2","enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a2",,5
171,1181,"Cytochrome P450 2A5","CYP_2A5","enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a5",,5
172,1181,"Cytochrome P450 2A6","CYP_2A6","enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a6",,5
173,1182,"Cytochrome P450 2B1","CYP_2B1","enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b1","A major cytochrome P-450 enzyme which is inducible by PHENOBARBITAL in both the LIVER and SMALL INTESTINE. It is active in the metabolism of compounds like pentoxyresorufin, TESTOSTERONE, and ANDROSTENEDIONE. This enzyme, encoded by CYP2B1 gene, also mediates the activation of CYCLOPHOSPHAMIDE and IFOSFAMIDE to MUTAGENS. [MESH:D019362]",5
174,1182,"Cytochrome P450 2B6","CYP_2B6","enzyme  cytochrome p450  cyp_2  cyp_2b  cyp_2b6",,5
175,1183,"Cytochrome P450 2C8","CYP_2C8","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c8",,5
176,1183,"Cytochrome P450 2C9","CYP_2C9","enzyme  cytochrome p450  cyp_2  cyp_2c  cyp_2c9",,5
177,1184,"Cytochrome P450 2D1","CYP_2D1","enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d1",,5
178,1184,"Cytochrome P450 2D2","CYP_2D2","enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d2",,5
179,1184,"Cytochrome P450 2D3","CYP_2D3","enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d3",,5
180,1184,"Cytochrome P450 2D6","CYP_2D6","enzyme  cytochrome p450  cyp_2  cyp_2d  cyp_2d6","A cytochrome P450 enzyme that catalyzes the hydroxylation of many drugs and environmental chemicals, such as DEBRISOQUINE; ADRENERGIC RECEPTOR ANTAGONISTS; and TRICYCLIC ANTIDEPRESSANTS. This enzyme is deficient in up to 10 percent of the Caucasian population. [MESH:D019389]",5
181,1185,"Cytochrome P450 2E1","CYP_2E1","enzyme  cytochrome p450  cyp_2  cyp_2e  cyp_2e1","An ethanol-inducible cytochrome P450 enzyme that metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Substrates include alcohol; NITROSAMINES; BENZENE; URETHANE; and other low molecular weight compounds. CYP2E1 has been used as an enzyme marker in the study of alcohol abuse. [MESH:D019392]",5
