Compound,Total clearance (ml/min/kg),Set,SMILES
Torasemide,0.71,Training,c1(c(Nc2cc(ccc2)C)ccnc1)S(NC(NC(C)C)=O)(=O)=O
Theophylline,0.73,Training,c12c(n(c(=O)n(c1=O)C)C)nc[nH]2
Vigabatrin,0.74,Training,C([C@H](C=C)N)CC(O)=O
Cetirizine,0.75,Training,N1([C@@H](c2ccc(Cl)cc2)c2ccccc2)CCN(CCOCC(O)=O)CC1
Glimepiride,0.76,Validation,N1(C(C(CC)=C(C1)C)=O)C(NCCc1ccc(S(NC(NC2CCC(C)CC2)=O)(=O)=O)cc1)=O
Acivicin,0.78,Training,N[C@@H]([C@H]1ON=C(C1)Cl)C(=O)O
Bromazepam,0.82,Training,C=1(c2c(NC(CN1)=O)ccc(c2)Br)c1ccccn1
Sulfinpyrazone,0.82,Training,N1(N(c2ccccc2)C(=O)C(C1=O)CC[S@@](c1ccccc1)=O)c1ccccc1
Cefazolin,0.84,Training,N12[C@@H]([C@H](NC(Cn3cnnn3)=O)C2=O)SCC(=C1C(O)=O)CSc1sc(C)nn1
Alprazolam,0.86,Training,c12c(C(c3ccccc3)=NCc3n1c(nn3)C)cc(Cl)cc2
Modafinil,0.88,Training,C(c1ccccc1)(c1ccccc1)[S@](CC(N)=O)=O
Minocycline,0.89,Training,C1[C@H]2[C@](C(=C3C(c4c(ccc(c4C[C@H]13)N(C)C)O)=O)O)(C(C(C(N)=O)=C([C@@H]2N(C)C)O)=O)O
Trimetrexate,0.89,Training,c12c(ccc(CNc3cc(c(OC)c(c3)OC)OC)c1C)nc(N)nc2N
Tiaprofenic acid,0.91,Validation,c1([C@H](C(O)=O)C)sc(cc1)C(c1ccccc1)=O
Trimazosin,0.94,Training,c12c(cc(OC)c(c1OC)OC)c(nc(n2)N1CCN(C(OCC(C)(C)O)=O)CC1)N
Terodiline,0.95,Training,C(c1ccccc1)(c1ccccc1)C[C@H](NC(C)(C)C)C
Cefoperazone,0.96,Training,N12[C@@H]([C@H](NC([C@H](c3ccc(O)cc3)NC(N3C(C(N(CC)CC3)=O)=O)=O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C
Levetiracetam,0.96,Training,C1CC(N(C1)[C@H](CC)C(N)=O)=O
Procyclidine,0.97,Training,c1([C@](C2CCCCC2)(CCN2CCCC2)O)ccccc1
Tegafur,0.98,Training,n1([C@@H]2CCCO2)c([nH]c(=O)c(c1)F)=O
Prednisolone,1.00,Training,C1[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@H](O)C[C@@]2([C@](C(CO)=O)(O)C1)C
Chlortalidone,1.02,Training,c12[C@](c3cc(c(Cl)cc3)S(N)(=O)=O)(NC(=O)c1cccc2)O
Aprepitant,1.07,Training,[nH]1[nH]c(nc1C[N@@]1[C@H]([C@@H](OCC1)O[C@@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C)c1ccc(cc1)F)=O
Oxazepam,1.08,Training,c12C(c3ccccc3)=N[C@H](O)C(Nc1ccc(c2)Cl)=O
Edetate,1.09,Training,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(O)=O
Lorazepam,1.10,Validation,C=1(c2c(NC([C@H](N1)O)=O)ccc(c2)Cl)c1c(cccc1)Cl
Terazosin,1.10,Training,c12c(nc(N3CCN(C([C@@H]4CCCO4)=O)CC3)nc2N)cc(OC)c(c1)OC
Carbamazepine,1.11,Training,N1(c2c(cccc2)C=Cc2c1cccc2)C(N)=O
Ibuprofen,1.12,Training,c1([C@@H](C(O)=O)C)ccc(CC(C)C)cc1
Mizolastine,1.15,Training,n1(c(N2CCC(N(c3[nH]c(ccn3)=O)C)CC2)nc2c1cccc2)Cc1ccc(F)cc1
Iohexol,1.17,Training,c1(c(c(c(c(c1C(=O)NC[C@H](CO)O)I)N(C(=O)C)C[C@H](CO)O)I)C(=O)NC[C@H](CO)O)I
Carbenicillin,1.18,Training,N12[C@@H]([C@H](NC([C@H](c3ccccc3)C(=O)O)=O)C2=O)SC([C@@H]1C(=O)O)(C)C
Pidotimod,1.19,Training,N1([C@@H](C(O)=O)CSC1)C([C@H]1NC(=O)CC1)=O
Ketoprofen,1.20,Training,c1(cc(ccc1)[C@@H](C(O)=O)C)C(c1ccccc1)=O
Pemetrexed,1.20,Training,c1cc(ccc1CCc1c[nH]c2c1c([nH]c(N)n2)=O)C(N[C@H](CCC(O)=O)C(O)=O)=O
Toremifene,1.21,Validation,C(=C(/c1ccccc1)CCCl)(\c1ccc(OCCN(C)C)cc1)c1ccccc1
Alendronic acid,1.22,Validation,C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O
Ifosfamide,1.23,Training,C1[N@]([P@@](OCC1)(NCCCl)=O)CCCl
Metronidazole,1.26,Training,n1(c(cnc1C)[N+](=O)[O-])CCO
Temazepam,1.27,Training,c12C(c3ccccc3)=N[C@@H](O)C(N(c1ccc(c2)Cl)C)=O
Azosemide,1.29,Training,NS(=O)(=O)c1cc(c(NCc2cccs2)cc1Cl)c1n[nH]nn1
Cefixime,1.30,Training,N12[C@@H]([C@H](NC(\C(c3nc(N)sc3)=N/OCC(O)=O)=O)C2=O)SCC(=C1C(O)=O)C=C
Glibenclamide,1.30,Training,c1(c(ccc(c1)Cl)OC)C(NCCc1ccc(S(NC(NC2CCCCC2)=O)(=O)=O)cc1)=O
Piracetam,1.30,Training,N1(C(CCC1)=O)CC(N)=O
Tolmetin,1.30,Training,c1(C(c2ccc(C)cc2)=O)n(c(CC(O)=O)cc1)C
Latamoxef,1.32,Training,n1(nnnc1SCC1=C(N2[C@@H]([C@](C2=O)(NC([C@H](c2ccc(cc2)O)C(O)=O)=O)OC)OC1)C(O)=O)C
Iobitridol,1.33,Validation,c1(c(c(c(I)c(c1I)NC(C(CO)CO)=O)C(N(C[C@@H](CO)O)C)=O)I)C(N(C[C@@H](CO)O)C)=O
Zoledronic acid,1.33,Training,C(P(O)(O)=O)(P(O)(O)=O)(Cn1ccnc1)O
Flunitrazepam,1.34,Training,c12C(c3c(cccc3)F)=NCC(N(c1ccc(c2)[N+](=O)[O-])C)=O
Tobramycin,1.35,Training,C1([C@@H](O[C@H]2O[C@H]([C@H](O)[C@H]([C@@H]2O)N)CO)[C@@H](C[C@@H]([C@H]1O[C@@H]1O[C@@H]([C@@H](O)C[C@H]1N)CN)N)N)O
Indometacin,1.40,Training,c12c(c(CC(O)=O)c(n1C(c1ccc(Cl)cc1)=O)C)cc(OC)cc2
Tamoxifen,1.40,Training,C(=C(/c1ccccc1)CC)(\c1ccc(OCCN(C)C)cc1)c1ccccc1
Ticarcillin,1.41,Validation,N12[C@@H]([C@H](NC([C@H](c3ccsc3)C(=O)O)=O)C2=O)SC(C)(C)[C@@H]1C(=O)O
Flufenamic acid,1.43,Training,c1(c(cccc1)C(O)=O)Nc1cc(ccc1)C(F)(F)F
Pioglitazone,1.43,Training,C([C@@H]1C(NC(S1)=O)=O)c1ccc(OCCc2ccc(CC)cn2)cc1
Valdecoxib,1.43,Validation,c1cc(ccc1c1c(onc1c1ccccc1)C)S(=O)(=O)N
Ioxilan,1.44,Training,c1(c(c(c(I)c(c1I)C(NCCO)=O)C(NC[C@@H](CO)O)=O)I)N(C[C@@H](CO)O)C(C)=O
Levocarnitine,1.45,Training,C([C@@H](CC(O)=O)OC(C)=O)[N+](C)(C)C
Trovafloxacin,1.46,Training,c12n(c3c(cc(F)cc3)F)cc(C(O)=O)c(c1cc(F)c(n2)N1C[C@H]2C(N)[C@@H]2C1)=O
Linezolid,1.49,Training,N1(c2cc(c(N3CCOCC3)cc2)F)C[C@H](CNC(C)=O)OC1=O
Candesartan,1.50,Training,c12n(c(OCC)nc1cccc2C(O)=O)Cc1ccc(c2c(c3[nH]nnn3)cccc2)cc1
Iopromide,1.53,Validation,c1(c(c(c(I)c(c1I)NC(COC)=O)C(NC[C@@H](CO)O)=O)I)C(N(C[C@@H](CO)O)C)=O
Acetylcysteine,1.55,Training,N([C@@H](C(O)=O)CS)C(C)=O
Clonazepam,1.55,Validation,c12C(c3c(cccc3)Cl)=NCC(Nc1ccc(c2)[N+](=O)[O-])=O
Foscarnet,1.58,Training,P(C(=O)O)(=O)(O)O
Tolcapone,1.58,Training,c1(C(c2ccc(C)cc2)=O)cc(c(O)c(c1)O)[N+](=O)[O-]
Temozolomide,1.59,Training,Cn1nnc2c(ncn2c1=O)C(N)=O
Cefozopran,1.60,Training,N12[C@@H]([C@@H](NC(\C(c3nsc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(=O)O)CN1C=2N(NC=CC2)C=C1
Dicloxacillin,1.60,Training,N12[C@@H]([C@H](NC(c3c(c4c(cccc4Cl)Cl)noc3C)=O)C2=O)SC([C@@H]1C(O)=O)(C)C
Gabapentin,1.60,Validation,C1(CC(O)=O)(CCCCC1)CN
Hydroxycarbamide,1.60,Training,C(NO)(N)=O
Zanamivir,1.60,Training,N([C@@H]1[C@H](OC(C(O)=O)=C[C@H]1NC(N)=[NH2])[C@H]([C@H](CO)O)O)C(C)=O
Tranexamic acid,1.61,Training,C1(CCC(CN)CC1)C(O)=O
Furosemide,1.66,Training,c1(c(cc(Cl)c(c1)S(N)(=O)=O)NCc1ccco1)C(O)=O
Bezafibrate,1.67,Training,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O
Tetracycline,1.67,Training,C1[C@@H]2[C@@](C(=C3C(c4c(cccc4[C@@]([C@@H]13)(C)O)O)=O)O)(C(C(C(N)=O)=C([C@H]2N(C)C)O)=O)O
Trandolaprilat,1.67,Training,N1([C@@H]2[C@@H](CCCC2)C[C@H]1C(O)=O)C([C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)=O
Pentostatin,1.68,Training,n1(c2c([C@H](CNC=N2)O)nc1)[C@@H]1O[C@H](CO)C(C1)O
Chlorphenamine,1.70,Validation,c1([C@@H](c2ccccn2)CCN(C)C)ccc(Cl)cc1
Gemfibrozil,1.70,Training,c1(c(ccc(c1)C)C)OCCCC(C(O)=O)(C)C
Remoxipride,1.70,Training,c1(c(c(ccc1OC)Br)OC)C(NCC1[N@](CCC1)CC)=O
Rofecoxib,1.70,Training,c1c(ccc(c1)S(=O)(C)=O)C1=C(C(OC1)=O)c1ccccc1
Etanidazole,1.73,Training,c1cn(CC(NCCO)=O)c(n1)[N+]([O-])=O
Methadone,1.77,Training,C(c1ccccc1)(c1ccccc1)(C[C@@H](N(C)C)C)C(CC)=O
Tiagabine,1.78,Training,C(\c1c(ccs1)C)(c1c(ccs1)C)=C/CC[N@]1C[C@H](CCC1)C(O)=O
Ceftizoxime,1.79,Training,CO\N=C(/C(=O)N[C@@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)c1csc(=N)[nH]1
Fleroxacin,1.79,Training,c12c(c(c(C(O)=O)cn1CCF)=O)cc(F)c(c2F)N1CCN(C)CC1
Cefepime,1.83,Training,N12[C@@H]([C@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(=O)O)C[N+]1(CCCC1)C
Cefmetazole,1.84,Validation,Cn1c(nnn1)SCC=1CS[C@H]2[C@](C(N2C1C(O)=O)=O)(NC(CSCC#N)=O)OC
Tertatolol,1.86,Validation,c12c(OC[C@@H](CNC(C)(C)C)O)cccc1CCCS2
Ceftazidime,1.88,Training,N12[C@H](SCC(=C1C(=O)O)C[n+]1ccccc1)[C@@H](C2=O)CC(\C(c1csc(n1)N)=N/OC(C(=O)O)(C)C)=O
Amiodarone,1.90,Validation,c1(c2c(cccc2)oc1CCCC)C(c1cc(c(OCCN(CC)CC)c(c1)I)I)=O
Caffeine,1.90,Training,c12c(n(c(=O)n(c1=O)C)C)ncn2C
Melagatran,1.90,Training,N1([C@@H](CC1)C(NCc1ccc(C(N)=[NH2])cc1)=O)C([C@@H](C1CCCCC1)NCC(O)=O)=O
Trimethoprim,1.90,Training,c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC
Trospectomycin,1.90,Validation,O1[C@]2(C(C[C@H](O[C@H]2O[C@H]2[C@H]([C@@H]([C@@H]([C@@H]([C@H]12)NC)O)NC)O)CCCC)=O)O
Aztreonam,1.91,Validation,C1([C@@H]([C@H](N1S(=O)(=O)O)C)NC(\C(c1csc(n1)N)=N/OC(C(O)=O)(C)C)=O)=O
Lamifiban,1.91,Validation,C([C@@H](Cc1ccc(O)cc1)NC(c1ccc(C(N)=[NH2])cc1)=O)(N1CCC(OCC(O)=O)CC1)=O
Cefsulodin,1.92,Training,N12[C@H]([C@H](NC([C@@H](c3ccccc3)S(=O)(=O)O)=O)C2=O)SCC(=C1C(=O)O)C[n+]1ccc(C(N)=O)cc1
Pefloxacin,1.93,Validation,CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1
Cefpirome,1.98,Validation,N12[C@H]([C@H](NC(\C(c3csc(n3)N)=N\OC)=O)C2=O)SCC(=C1C(=O)O)C[n+]1c2c(CCC2)ccc1
Lincomycin,1.98,Training,O1[C@H]([C@H](NC([C@@H]2C[C@H](CCC)C[N@]2C)=O)[C@H](C)O)[C@H]([C@H](O)[C@H]([C@@H]1SC)O)O
Cefetamet,2.00,Validation,N12[C@H]([C@H](NC(\C(c3nc(N)sc3)=N/OC)=O)C2=O)SCC(=C1C(O)=O)C
Rosoxacin,2.00,Training,CCN1C[C@@H](C(c2ccc(cc12)c1ccncc1)=O)C(O)=O
N-acetylhomocysteine,2.06,Validation,C([C@H](NC(=O)C)CCS)(=O)O
Bromfenac,2.10,Training,c1(C(c2ccc(Br)cc2)=O)c(c(ccc1)CC(=O)O)N
Cefuroxime,2.10,Validation,C1([C@H]([C@@H]2N1C(=C(CS2)COC(N)=O)C(O)=O)NC(=O)\C(c1occc1)=N/OC)=O
Methotrexate,2.10,Validation,c12c(ncc(n1)CN(c1ccc(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)C)nc(N)nc2N
Trazodone,2.10,Training,n12c(nn(c1=O)CCCN1CCN(c3cc(ccc3)Cl)CC1)cccc2
Troxacitabine,2.13,Training,c1cn(c(nc1N)=O)[C@H]1CO[C@@H](CO)O1
Anagrelide,2.14,Training,c12c(N=C3NC(CN3C1)=O)ccc(c2Cl)Cl
Pheniramine,2.14,Training,c1([C@@H](c2ccccn2)CCN(C)C)ccccc1
Sotalol,2.14,Training,c1([C@@H](CNC(C)C)O)ccc(NS(C)(=O)=O)cc1
Cefclidin,2.15,Training,CO\N=C(/c1nc(N)sn1)C(N[C@@H]1C(N2C(=C(CS[C@H]12)C[N+]12CCC(CC1)(CC2)C(N)=O)C([O-])=O)=O)=O
Clodronic acid,2.20,Training,O[P+](O)(O)C(Cl)(Cl)[P+](O)(O)O
Thalidomide,2.20,Validation,N1([C@H]2C(NC(=O)CC2)=O)C(c2ccccc2C1=O)=O
Piritrexim,2.21,Training,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
Cefmenoxime,2.22,Validation,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C
Ibandronic acid,2.29,Validation,C(CC[N@](CCCCC)C)(P(O)(O)=O)(P(O)(=O)O)O
Cidofovir,2.30,Training,n1(C[C@@H](OCP(O)(O)=O)CO)c(nc(N)cc1)=O
Finasteride,2.30,Training,C1[C@H]2[C@H]3[C@@H]([C@@]4([C@@H](NC(=O)C=C4)CC3)C)CC[C@@]2([C@@H](C(NC(C)(C)C)=O)C1)C
Pirmenol,2.34,Validation,C[C@@H]1CCC[C@@H](C)N1CCC[C@@](O)(c1ccccc1)c1ccccn1
Nolatrexed,2.36,Training,c1(c2c(ccc1C)nc(N)[nH]c2=O)Sc1ccncc1
Cefpodoxime,2.38,Training,N12[C@@H]([C@H](NC(\C(c3nc(N)sc3)=N/OC)=O)C2=O)SCC(=C1C(O)=O)COC
Eplerenone,2.38,Training,C1[C@]2(C(=CC(C1)=O)C[C@H]([C@H]1[C@@]32[C@H](C[C@]2([C@@H]1CC[C@]12OC(CC1)=O)C)O3)C(=O)OC)C
Cinoxacin,2.50,Training,CCn1nc(C(O)=O)c(=O)c2cc3OCOc3cc12
Irbesartan,2.51,Validation,C12(C(N(Cc3ccc(c4c(c5[nH]nnn5)cccc4)cc3)C(=N1)CCCC)=O)CCCC2
Azlocillin,2.52,Validation,CC1(C)[C@H](C(O)=O)N2C(C([C@@H]2S1)NC([C@H](c1ccccc1)NC(N1CCNC1=O)=O)=O)=O
Norfloxacin,2.52,Training,c12c(c(c(C(O)=O)cn1CC)=O)cc(F)c(c2)N1CCNCC1
Donepezil,2.53,Training,c12c(cc(OC)c(c2)OC)C[C@@H](C1=O)CC1CCN(Cc2ccccc2)CC1
Atenolol,2.54,Training,c1(ccc(CC(N)=O)cc1)OC[C@@H](CNC(C)C)O
Cyclophosphamide,2.54,Validation,N([P@@]1(NCCCO1)=O)(CCCl)CCCl
Pantoprazole,2.57,Training,c12c(nc([nH]1)[S@@](Cc1c(c(ccn1)OC)OC)=O)cc(OC(F)F)cc2
Levofloxacin,2.58,Validation,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@H](C)CO3)=O
Amoxicillin,2.60,Validation,N12[C@@H]([C@H](NC([C@H](c3ccc(O)cc3)N)=O)C2=O)SC([C@@H]1C(O)=O)(C)C
Chlorambucil,2.60,Training,c1(N(CCCl)CCCl)ccc(CCCC(O)=O)cc1
Tocainide,2.60,Validation,c1(NC([C@@H](C)N)=O)c(cccc1C)C
Thiamphenicol,2.62,Validation,N([C@@H]([C@@H](O)c1ccc(S(=O)(=O)C)cc1)CO)C(=O)C(Cl)Cl
Bumetanide,2.64,Training,c1(c(cc(C(O)=O)cc1S(N)(=O)=O)NCCCC)Oc1ccccc1
CI-921,2.67,Training,Cc1cccc2c1nc1c(cccc1C(NC)=O)c2Nc1ccc(cc1OC)NS(C)(=O)=O
Isosorbide mononitrate,2.67,Validation,O1[C@H]2[C@@H]([C@H](O)C1)OC[C@@H]2O[N+](=O)[O-]
Urapidil,2.69,Training,c1(N2CCN(CCCNc3n(c(n(C)c(c3)=O)=O)C)CC2)c(cccc1)OC
Disopyramide,2.70,Training,c1(ccccc1)[C@@](CCN(C(C)C)C(C)C)(C(N)=O)c1ccccn1
Mezlocillin,2.71,Training,CC1(C)[C@H](C(O)=O)N2C(C([C@@H]2S1)NC([C@@H](c1ccccc1)NC(N1CCN(C1=O)S(C)(=O)=O)=O)=O)=O
Sparfloxacin,2.71,Training,c12c(c(c(C(O)=O)cn1C1CC1)=O)c(c(F)c(c2F)N1C[C@H](N[C@H](C1)C)C)N
Baclofen,2.72,Training,c1([C@@H](CC(O)=O)CN)ccc(Cl)cc1
Brotizolam,2.74,Training,c12c(n3c(nnc3C)CN=C1c1c(cccc1)Cl)sc(c2)Br
Biapenem,2.77,Training,N12[C@H]([C@H]([C@H](C)O)C2=O)[C@H](C)C(=C1C(=O)O)SC1Cn2cnc[n+]2C1
Bosentan,2.81,Training,c1(c(nc(c2ncccn2)nc1OCCO)NS(c1ccc(C(C)(C)C)cc1)(=O)=O)Oc1c(cccc1)OC
Cefamandole,2.82,Training,N12[C@@H]([C@H](NC([C@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(=O)[O-])CSc1n(nnn1)C
Chloramphenicol,2.82,Training,c1([C@@H]([C@@H](NC(C(Cl)Cl)=O)CO)O)ccc([N+](=O)[O-])cc1
Gatifloxacin,2.85,Training,c12n(C3CC3)cc(C(O)=O)c(c1cc(F)c(c2OC)N1C[C@@H](NCC1)C)=O
Cefoxitin,2.89,Validation,C1([C@@]([C@@H]2N1C(=C(COC(N)=O)CS2)C(=O)O)(NC(Cc1cccs1)=O)OC)=O
Cefadroxil,2.90,Training,N12[C@@H]([C@H](NC([C@H](c3ccc(O)cc3)N)=O)C2=O)SCC(=C1C(O)=O)C
Tazobactam,2.91,Training,S1([C@]([C@@H](N2C(=O)C[C@H]12)C(=O)O)(Cn1ccnn1)C)(=O)=O
Nadolol,2.94,Training,c12c(C[C@H](O)[C@H](C2)O)cccc1OC[C@@H](CNC(C)(C)C)O
Tenofovir,2.97,Training,c1(ncnc2c1ncn2C[C@@H](C)OCP(=O)(O)O)N
Cerivastatin,2.98,Training,c1(c(c(nc(c1COC)C(C)C)C(C)C)\C=C\[C@@H](C[C@@H](CC(=O)O)O)O)c1ccc(F)cc1
Cilastatin,3.00,Validation,C1([C@H](C1)C(N\C(=C\CCCCSC[C@@H](C(O)=O)N)C(O)=O)=O)(C)C
Prazosin,3.00,Training,c12c(nc(N3CCN(C(c4ccco4)=O)CC3)nc2N)cc(OC)c(c1)OC
Thiopental,3.02,Training,C1([C@](C(N=C(N1)S)=O)([C@H](CCC)C)CC)=O
Fludarabine,3.06,Training,c12n([C@H]3O[C@@H](CO)[C@@H]([C@@H]3O)O)cnc1c(nc(n2)F)N
Imipenem,3.08,Training,N12[C@@H]([C@@H]([C@H](C)O)C2=O)CC(=C1C(O)=O)SCCNC=[NH2]
Frovatriptan,3.09,Training,c12c3c(CC[C@@H](C3)NC)[nH]c1ccc(c2)C(N)=O
