CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL1405	342897	CHEMBL1405	342897	ESTRONE	17-beta-estrone	270.37	3.82	37.3	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O	6074793	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL214133	361250	CHEMBL214133	361250		1	233.27	0.33	61.44	0	CN1CNC(=O)N[C@@H](Cc2ccccc2)C1=O	1777910	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL83	6968	CHEMBL83	6968	TAMOXIFEN	tamoxifen	371.52	6	12.47	1	CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3	6074800	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL1743301	1122121	CHEMBL1743301	1122121		4-hydroxylonazolac	328.76	3.53	75.35	0	OC(=O)Cc1cn(nc1c2ccc(Cl)cc2)c3ccc(O)cc3	6074801	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL438632	361286	CHEMBL438632	361286		28	365.43	2.05	70.67	0	O=C1N[C@@H](Cc2ccccc2)C(=O)N3C[C@@H](C[C@H]3N1)OCc4ccccc4	1777933	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL1412489	836373	CHEMBL1412489	836373		4-hydroxy-estradiol	288.39	3.31	60.69	0	C[C@]12CC[C@H]3[C@@H](CCc4c(O)c(O)ccc34)[C@@H]1CC[C@@H]2O	6074798	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL216493	361304	CHEMBL216493	361304		37	271.32	1.08	52.65	0	O=C1N[C@@H]2CCCN2C(=O)[C@@H]3Cc4ccccc4CN13	1777931	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL1743300	1122120	CHEMBL1743300	1122120		4-hydroxy-estrone	286.37	3.52	57.53	0	C[C@]12CC[C@H]3[C@@H](CCc4c(O)c(O)ccc34)[C@@H]1CCC2=O	6074797	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL411	860	CHEMBL411	860	DIETHYLSTILBESTROL	diethylstilbestrol	268.36	4.83	40.46	0	CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2	6074799	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL225546	375083	CHEMBL225546	375083	EQUILENIN	equilenin	266.34	3.94	37.3	0	C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O	6074794	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL9352	5170	CHEMBL9352	5170	NARINGENIN	naringenin	272.26	2.51	86.99	0	Oc1ccc(cc1)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2	6074805	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL213764	361263	CHEMBL213764	361263		16	172.19	-1.96	87.46	0	CN1CNC(=O)N[C@@H](CN)C1=O	1777937	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL467987	488841	CHEMBL467987	488841		2-hydroxy-estradiol	288.39	3.31	60.69	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2O	6074796	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL1405	342897	CHEMBL1405	342897	ESTRONE	17-beta-estrone	270.37	3.82	37.3	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O	6074791	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL387087	361295	CHEMBL387087	361295		33	365.43	1.74	72.88	0	O[C@@H]1C[C@H]2N(Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N2C1	1777932	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
